Stock,Call Capital,Put Capital,OI Ratio,Sentiment,Unusual CALLs,Unusual PUTs,Risk Score,Max Pain,Put/Call Volume Ratio,ATM Strike,Implied Move,IV Skew,OI Ratio Numeric,Market_Segment
AARTIIND,8092253,2640748,1.36,Bullish,3,4,60,465.0,1.43,470.0,28.65,1.79,1.36,Bearish Pressure
ABB,118313040,121359180,1.3,Bullish,2,3,50,,1.22,,,-1.13,1.3,Bearish Pressure
ABBOTINDIA,1026972750,713231800,1.11,Neutral,10,6,55,,0.68,,,-0.07,1.11,Bearish Pressure
ABCAPITAL,1775772,8873376,1.02,Neutral,0,0,50,177.5,0.47,170.0,10.4,0.03,1.02,Bearish Pressure
ABFRL,1870620,3896970,0.96,Neutral,1,0,55,290.0,0.4,280.0,19.950000000000003,-1.02,0.96,Bearish Pressure
ACC,14078835,24225071,1.21,Bullish,4,5,60,,1.15,,,-3.45,1.21,Bearish Pressure
ADANIENSOL,3927840,3402157,1.41,Bullish,0,0,60,820.0,0.42,780.0,61.15,1.38,1.41,Bearish Pressure
ADANIENT,25245682,44741418,0.87,Neutral,2,2,50,,0.73,,,-1.58,0.87,Bearish Pressure
ADANIGREEN,3336678,4196598,1.29,Bullish,1,1,50,,0.73,980.0,92.65,-13.02,1.29,Bearish Pressure
ADANIPORTS,6322395,6283862,0.58,Bearish,1,0,65,,1.14,,,-9.85,0.58,Bearish Pressure
ALKEM,11572683,5457653,1.32,Bullish,4,6,55,,1.22,,,-13.19,1.32,Bearish Pressure
AMBUJACEM,50663300,195949900,0.77,Bearish,0,3,50,520.0,0.91,515.0,27.75,-0.85,0.77,Bearish Pressure
ANGELONE,318452400,395584350,0.94,Neutral,0,0,60,,1.26,,,-22.29,0.94,Bearish Pressure
APLAPOLLO,37058750,104938600,1.49,Bullish,4,3,60,,0.72,,,-1.59,1.49,Bearish Pressure
APOLLOHOSP,69587806,53563831,1.35,Bullish,6,6,40,,0.79,,,-2.45,1.35,High Volatility
APOLLOTYRE,3765056,10203531,1.55,Bullish,1,3,35,450.0,0.94,410.0,29.8,-17.01,1.55,High Volatility
ASHOKLEY,3457268,6106281,1.01,Neutral,0,5,50,212.5,1.4,210.0,14.399999999999999,-2.62,1.01,Bearish Pressure
ASIANPAINT,544984875,1397718990,0.74,Bearish,1,1,50,,1.27,,,0.71,0.74,Bearish Pressure
ASTRAL,175576275,789853005,0.82,Neutral,3,3,60,,0.63,,,-6.11,0.82,Bearish Pressure
ATGL,83609550,71528400,2.53,Bullish,0,0,35,700.0,0.2,630.0,52.75,-20.29,2.53,High Volatility
ATUL,77143150,62323900,3.27,Bullish,0,1,45,,0.29,,,-0.98,3.27,High Volatility
AUBANK,135352360,155162150,1.22,Bullish,2,2,50,605.0,0.81,590.0,35.849999999999994,-7.25,1.22,Bearish Pressure
AUROPHARMA,376229620,527724470,1.0,Neutral,3,2,50,920.0,1.3,,,-1.42,1.0,Bearish Pressure
AXISBANK,484291600,484554330,0.96,Neutral,0,0,50,,1.17,,,-4.66,0.96,Bearish Pressure
BAJAJ,1216406700,1266807750,0.86,Neutral,0,0,50,,1.03,,,0.76,0.86,Bearish Pressure
BAJAJFINSV,51112650,66743010,0.44,Bearish,0,0,65,,1.18,,,-4.62,0.44,Bearish Pressure
BAJFINANCE,521907270,147083970,1.34,Bullish,0,0,50,,1.53,,,-4.64,1.34,Bearish Pressure
BALKRISIND,41138531,26125156,1.89,Bullish,1,5,55,,0.59,,,-0.24,1.89,High Volatility
BANDHANBNK,9771031,41611562,0.51,Bearish,1,0,65,147.5,0.96,152.5,10.149999999999999,-4.83,0.51,Bearish Pressure
BANKBARODA,27053343,69947125,0.76,Bearish,0,2,50,217.5,0.81,220.0,12.8,-3.81,0.76,Bearish Pressure
BANKINDIA,3048645,2937990,1.03,Neutral,0,0,50,110.0,0.55,108.0,7.25,-0.49,1.03,Bearish Pressure
BATAINDIA,114352400,52485650,1.45,Bullish,4,1,40,,0.31,,,-2.86,1.45,High Volatility
BEL,16240830,20900625,0.83,Neutral,0,0,55,270.0,0.95,280.0,18.2,-1.7,0.83,Bearish Pressure
BERGEPAINT,5851695,8757180,0.97,Neutral,4,1,50,480.0,0.61,480.0,29.0,-7.84,0.97,Bearish Pressure
BHARATFORG,28739850,109668450,1.06,Neutral,0,0,50,920.0,0.71,,,0.84,1.06,Bearish Pressure
BHARTIARTL,44731537,72785268,0.69,Bearish,0,1,80,,2.81,,,-5.95,0.69,Bearish Pressure
BHEL,9665831,44793881,0.78,Bearish,0,0,50,210.0,0.66,205.0,15.55,-0.71,0.78,Bearish Pressure
BIOCON,30709660,8559120,1.17,Neutral,8,5,40,380.0,1.02,400.0,28.85,-7.53,1.17,High Volatility
BOSCHLTD,241063420,136302020,2.57,Bullish,2,1,45,,0.61,,,-1.37,2.57,High Volatility
BPCL,9150300,30352920,0.46,Bearish,0,0,65,245.0,0.92,265.0,14.2,-5.86,0.46,Bearish Pressure
BRITANNIA,37081650,76756550,0.75,Bearish,1,4,50,,0.92,,,-6.23,0.75,Bearish Pressure
BSE,136455535,99651450,1.41,Bullish,0,6,50,,4.08,,,-2.53,1.41,Bearish Pressure
BSOFT,3287030,6093220,1.36,Bullish,1,3,55,560.0,0.82,530.0,42.75,0.95,1.36,Bearish Pressure
CAMS,431932680,595732590,1.48,Bullish,1,2,40,,1.14,,,-12.95,1.48,High Volatility
CANBK,20185425,20183625,0.97,Neutral,1,2,50,93.0,1.47,95.0,6.05,-4.17,0.97,Bearish Pressure
CANFINHOME,35197500,38989250,2.15,Bullish,0,0,35,710.0,0.3,670.0,44.8,-1.51,2.15,High Volatility
CDSL,207736245,451451835,1.06,Neutral,0,2,50,960.0,0.91,,,-10.07,1.06,Bearish Pressure
CESC,1218860,2128870,1.84,Bullish,0,0,45,150.0,0.64,140.0,9.55,-3.92,1.84,High Volatility
CGPOWER,11373720,13507080,0.92,Neutral,1,0,50,600.0,0.5,620.0,47.9,-4.22,0.92,Bearish Pressure
CHAMBLFERT,8088090,3550630,1.42,Bullish,2,8,60,520.0,1.72,520.0,33.900000000000006,-11.71,1.42,Bearish Pressure
CHOLAFIN,86876020,24853762,1.01,Neutral,5,5,50,960.0,1.01,,,-3.73,1.01,Bearish Pressure
