Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 21
-,-,-,-,-,-,875,"1,675.15","1,716.45",500,"4,000.00",125,1.1,6,125,-,-,-,-,-,-,
-,-,-,-,-,-,875,"1,473.60","1,519.40",500,"4,200.00","1,000",5,5.95,125,-0.3,5.7,63.36,21,-10,92,
-,-,-,-,"1,338.55",-,875,"1,274.60","1,321.15",500,"4,400.00","1,500",6,9.35,"2,500",0.8,7.4,57.4,39,-,127,
-,-,-,-,-,-,875,"1,176.95","1,223.35",500,"4,500.00","1,250",7,11.8,125,1.55,9.8,55.88,64,9,59,
1,-,-,-,"1,173.00",-,875,"1,079.55","1,126.00",500,"4,600.00",125,9.6,13.2,125,-1.4,10.3,52.05,170,-15,280,
15,-,-,-,"1,060.00",-,250,986.5,"1,033.55",375,"4,700.00",125,14.05,19.65,250,0.8,16.15,52.32,26,-7,93,
10,-,-,-,983.05,-,875,891.95,938.8,375,"4,800.00","3,750",17.3,20,125,-0.45,20.2,50.26,267,-16,229,
20,-,-,-,614.15,-,875,800.2,845.8,375,"4,900.00","1,250",25.5,33,125,0.1,26.7,48.89,61,-1,130,
65,14,32,-,710,-95.35,125,713.35,745,125,"5,000.00",125,34.65,47.2,125,1.3,35.6,47.73,"1,153",-35,481,
54,1,4,56.26,698.3,-24.8,125,622.85,667.25,250,"5,100.00",125,45.9,56.6,125,3.05,47,46.56,353,43,225,
107,-3,7,74.37,700,78,125,538.85,582.25,500,"5,200.00",250,61.4,66.45,125,4.65,62.1,45.57,691,25,387,
101,-,15,37.72,475,-85,250,462.5,502.3,125,"5,300.00",125,74.4,98,125,7.9,81.15,44.59,730,-29,279,
204,-19,42,39.86,409,-43.25,125,396,412.15,125,"5,400.00",125,100.1,119.95,250,11.75,106.6,44.02,911,-30,316,
366,-81,234,39.64,340.5,-46.85,125,320.25,358.75,375,"5,500.00",125,127.2,142.3,250,15.75,137,43.31,"1,597",-44,674,
283,-211,"1,030",38.78,275.5,-38.4,125,270.05,281.95,125,"5,600.00",125,160.6,185.35,125,22.1,177.2,43.31,"1,505",26,374,
446,51,"2,074",39.11,224,-37.85,125,220.05,228.9,125,"5,700.00",375,219.6,223.2,"1,125",27.45,223.2,43.15,"2,620",235,516,
551,22,"5,151",38.65,175.65,-36.15,125,170.85,185.95,125,"5,800.00",125,267,286.95,125,30.95,273.9,42.62,"1,931",2,300,
686,200,"5,247",39.8,143,-25.15,250,141,153.95,125,"5,900.00",125,330.55,365.6,125,50.75,351,45.83,281,13,100,
"1,184",154,"5,990",39.99,111.65,-19.95,125,111.05,112.5,250,"6,000.00",125,402.7,432.4,375,45.15,414,45.34,222,-6,326,
378,28,"1,964",40.3,86.7,-15.35,125,86.35,93.95,125,"6,100.00",125,472.8,503.9,250,43.9,498.85,48.24,75,-13,91,
789,109,"3,290",40.78,67.3,-13.05,125,65.8,73.2,125,"6,200.00",125,547.75,586.1,250,53.75,559.9,45.12,9,-7,196,
639,174,"1,507",41.13,51.5,-10.95,250,50.05,59.4,125,"6,300.00",500,629.2,667.55,125,49.05,616.4,38.52,17,-7,135,
276,21,931,41.63,39.6,-6.15,125,37.65,44.15,250,"6,400.00",250,721.6,759.85,625,-70.55,601.1,-,8,1,45,
762,75,"2,171",43,32.65,-4.1,125,28.85,33.3,375,"6,500.00",375,810.05,850.35,125,60.15,823.15,48.99,9,3,89,
272,37,618,42.53,22.95,-5.8,125,22.15,27.4,125,"6,600.00",500,896.55,941.05,125,9.3,853.85,-,2,2,22,
216,30,246,43.5,18.35,-4.3,125,16.55,25.95,125,"6,700.00",500,990.15,"1,036.05",875,-504.95,880.55,-,7,2,6,
172,14,153,44.05,14.1,-3.3,125,13.55,19.95,125,"6,800.00",500,"1,085.45","1,131.40",875,-,"1,309.60",-,-,-,5,
30,-,5,41,6.75,-6.8,125,6.75,16.6,125,"6,900.00",500,"1,180.50","1,226.50",875,-,"1,355.15",-,-,-,4,
675,23,927,45.53,8.75,-2.05,125,8.9,10,875,"7,000.00",250,"1,279.40","1,323.65",250,-131.35,"1,164.30",-,8,1,181,
16,-,-,-,5.75,-,125,5.65,19.75,750,"7,100.00",-,-,-,-,-,-,-,-,-,-,-
21,-,-,-,6.5,-,125,3.55,21.7,750,"7,200.00",500,"1,478.05","1,529.75",875,-,"1,444.00",-,-,-,5,
13,-,-,-,3.9,-,125,2.55,8.7,125,"7,300.00",-,-,-,-,-,-,-,-,-,-,-
304,1,13,47.87,3.25,-0.05,125,3.25,4.95,250,"7,400.00",500,"1,673.20","1,719.80",250,-1.2,"2,167.90",-,-,-,305,
39,-,1,51.42,4,-,125,2.55,6.75,"3,750","7,500.00",500,"1,772.50","1,815.75",500,-,"1,725.40",-,-,-,15,
456,-1,21,60.09,3.3,0.3,"1,250",1.85,2.65,125,"8,000.00",500,"2,268.40","2,318.10",250,-,"2,100.00",-,-,-,28,
9,-,-,-,3,-,"3,750",0.7,2.95,250,"8,200.00",500,"2,470.60","2,517.55",875,-,"2,180.00",-,-,-,9,
