Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,60,"7,502.95","7,866.15",80,"21,500.00",20,0.15,20.05,20,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"6,991.00","7,439.15",60,"22,000.00",20,5.05,-,-,-,29.00,-,-,-,1,
,-,-,-,-,-,-,60,"6,488.45","6,941.40",60,"22,500.00",60,0.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"6,010.05","6,430.45",60,"23,000.00",20,2.05,20.10,20,-,22.80,-,-,-,6,
,-,-,-,-,-,-,60,"5,742.65","6,215.30",60,"23,250.00",60,1.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"5,494.65","5,966.40",60,"23,500.00",20,1.30,-,-,-,31.70,-,-,-,1,
,-,-,-,-,-,-,60,"5,273.40","5,717.50",60,"23,750.00",20,5.00,-,-,-,181.95,-,-,-,11,
,10,1,1,-,"5,050.00","1,453.15",60,"4,999.00","5,311.70",80,"24,000.00",40,4.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"4,750.05","5,219.75",60,"24,250.00",80,4.05,-,-,-,-,-,-,-,-,
,33,-4,5,39.80,"4,788.00","1,612.95",60,"4,571.30","4,813.95",80,"24,500.00",60,7.00,-,-,-270.15,19.95,37.13,2,-,2,
,-,-,-,-,-,-,60,"4,269.25","4,722.00",60,"24,750.00",200,21.00,-,-,-,-,-,-,-,-,
,23,-1,1,-,"4,239.80","1,331.45",60,"4,039.70","4,310.35",20,"25,000.00",40,35.10,45.00,20,-59.40,35.15,36.92,608,-19,198,
,-,-,-,-,-,-,60,"3,773.55","4,208.30",200,"25,250.00",200,23.10,-,-,-,235.00,-,-,-,6,
,2,1,1,-,"3,569.10","1,296.25",60,"3,585.55","3,960.85",200,"25,500.00",60,48.00,55.00,40,-95.15,53.15,35.86,746,6,158,
,3,-,1,-,"3,174.25","2,018.75",60,"3,325.40","3,780.25",60,"25,750.00",160,30.00,97.55,"1,000",-99.70,65.35,35.37,2,-,14,
,80,-14,54,39.83,"3,399.95","1,274.35",100,"3,250.10","3,400.00",20,"26,000.00",60,65.00,79.85,20,-144.75,78.00,34.66,"2,110",230,563,
,-,-,-,-,-,-,60,"2,805.70","3,347.50",60,"26,250.00",20,21.25,328.50,80,-,285.75,-,-,-,3,
,15,-6,9,43.22,"3,025.00","1,566.55",80,"2,617.40","3,017.85",200,"26,500.00",20,100.05,127.55,400,-219.65,110.00,33.17,326,14,106,
,6,3,6,23.35,"2,555.25","1,833.60",60,"2,379.15","3,059.55",100,"26,750.00",200,72.45,375.85,80,-,-,-,-,-,-,
,184,-26,208,27.66,"2,370.75","1,043.20",20,"2,243.50","2,519.90",60,"27,000.00",20,156.50,159.00,20,-324.55,156.50,31.79,"2,157",255,472,
,-,-,-,-,-,-,60,"1,939.75","2,453.90",60,"27,250.00",20,72.65,278.55,"1,000",-16.80,545.80,-,-,-,1,
,34,-32,114,29.40,"1,977.50",959.70,20,"1,887.00","2,129.85",20,"27,500.00",40,183.20,443.35,20,-,-,-,-,-,-,
,10,-2,33,28.48,"1,763.80",841.20,60,"1,532.00","1,966.90",60,"27,750.00",20,150.45,470.65,"1,000",-528.40,253.80,29.29,14,3,9,
,463,-399,"2,213",28.19,"1,570.00",795.25,60,"1,500.05","1,590.00",20,"28,000.00",20,310.00,321.10,20,-595.70,320.00,29.44,"3,635",742,799,
,-,-,-,-,-,-,60,"1,215.95","1,624.55",60,"28,250.00",40,306.90,703.60,60,-,-,-,-,-,-,
,33,5,391,27.53,"1,209.90",633.60,60,"1,083.80","1,245.00",20,"28,500.00",40,381.75,601.30,60,-,-,-,-,-,-,
,4,4,8,24.22,968.00,-352.25,60,959.60,"1,100.00",80,"28,750.00",40,471.60,722.65,60,-,-,-,-,-,-,
,451,171,"7,616",27.78,920.00,500.45,40,915.00,920.00,60,"29,000.00",40,652.05,663.00,20,"-1,439.00",661.00,28.67,"3,000",327,328,
,92,92,656,27.42,781.00,-305.25,20,781.00,804.95,20,"29,250.00",20,765.40,785.00,20,-594.55,778.00,28.57,372,70,70,
,112,112,"1,004",27.62,670.00,-130.25,20,627.50,670.00,60,"29,500.00",20,850.00,943.95,60,"-1,466.75",923.15,29.04,165,36,36,
,1,1,6,25.54,509.65,-373.90,60,378.20,766.00,20,"29,750.00",20,900.00,"1,292.80",60,-491.90,"1,171.65",32.84,7,4,4,
,588,295,"8,801",27.91,482.00,288.70,20,475.05,482.00,20,"30,000.00",20,"1,200.00","1,235.90",20,"-2,560.80","1,239.20",29.65,112,37,44,
,1,1,6,28.65,420.00,-290.35,60,196.35,559.15,60,"30,250.00",60,"1,156.15","1,636.90",80,-,-,-,-,-,-,
,86,85,"1,007",27.76,327.95,267.95,100,312.00,328.00,80,"30,500.00",20,"1,489.70","1,771.90",60,-,-,-,-,-,-,
,34,-,6,27.38,260.00,200.05,60,109.90,428.40,60,"30,750.00",60,"1,539.30","2,018.95",60,-,-,-,-,-,-,
,347,247,"4,790",27.64,215.15,96.95,20,215.10,229.90,20,"31,000.00",60,"1,834.75","2,184.45",60,-,-,-,-,-,-,
,26,16,64,28.54,189.00,143.80,20,160.00,195.90,20,"31,250.00",20,"2,087.10","2,394.40",60,-,-,-,-,-,-,
,262,262,658,28.72,154.90,-198.95,20,135.00,160.00,80,"31,500.00",20,"2,289.60","2,609.80",60,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"31,750.00",100,"2,332.75","2,841.85",80,-,-,-,-,-,-,
,71,71,584,29.24,104.80,-178.50,80,98.00,126.00,20,"32,000.00",20,"2,737.15","3,044.15",60,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"32,250.00",20,"2,967.75","3,304.05",80,-,-,-,-,-,-,
,128,128,595,30.68,79.95,-145.30,20,70.00,80.00,40,"32,500.00",60,"3,202.95","3,539.30",60,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"32,750.00",20,"3,440.55","3,780.05",80,-,-,-,-,-,-,
,37,37,49,31.40,55.95,-121.90,60,30.00,55.95,20,"33,000.00",20,"3,671.85","4,007.20",80,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"33,250.00",20,"3,627.95","4,269.75",80,-,-,-,-,-,-,
