Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,7,-,-,-,71.20,-,"10,400",58.75,62.05,"7,800",220.0,"2,600",0.2,0.9,"5,200",-,-,-,-,-,-,
,1,-,-,-,42.00,-,"7,800",44.75,52.35,"10,400",230.0,"44,200",0.25,1.5,"7,800",-,0.45,-,-,-,21,
,1,-,-,-,37.15,-,"10,400",39.45,42.7,"7,800",240.0,"5,200",1.0,1.25,"5,200",0.35,1.20,47.75,22,-7,128,
,-,-,-,-,-,-,"7,800",33.8,40.4,"7,800",245.0,"26,000",0.75,3.0,"10,400",-,5.50,-,-,-,1,
,26,2,2,57.57,34.20,-7.15,"2,600",30.6,32.7,"5,200",250.0,"2,600",1.95,2.05,"2,600",0.35,1.90,43.44,64,27,207,
,23,7,8,37.99,26.95,-5.95,"2,600",26.3,28.5,"7,800",255.0,"2,600",2.55,2.65,"2,600",0.60,2.75,43.41,23,1,150,
,36,-4,13,40.56,23.40,-4.60,"5,200",22.15,24.15,"2,600",260.0,"2,600",3.35,3.55,"2,600",0.70,3.50,41.55,62,17,219,
,15,-,-,-,25.95,-,"10,400",17.0,22.35,"10,400",265.0,"5,200",3.5,6.55,"78,000",-0.05,3.70,-,-,-,53,
,149,-3,19,37.88,15.80,-4.35,"2,600",14.65,16.2,"2,600",270.0,"72,800",5.1,6.2,"2,600",1.15,6.10,39.74,184,34,266,
,69,-2,36,37.48,12.70,-6.90,"5,200",10.8,14.65,"10,400",275.0,"54,600",6.7,8.55,"2,600",1.45,7.95,39.14,142,7,97,
,275,20,292,36.40,9.80,-3.80,"2,600",9.65,10.05,"5,200",280.0,"5,200",8.95,10.9,"2,600",1.80,10.15,38.49,317,-24,228,
,108,14,218,35.89,7.45,-3.35,"54,600",6.5,7.75,"2,600",285.0,"2,600",11.9,13.8,"2,600",2.15,12.65,37.54,38,2,89,
,724,101,609,35.98,5.65,-2.85,"2,600",5.55,6.8,"2,600",290.0,"5,200",14.85,17.1,"2,600",2.50,15.65,37.03,76,2,193,
,78,-12,137,35.61,4.10,-2.35,"2,600",4.05,4.3,"2,600",295.0,"5,200",18.0,20.15,"2,600",2.50,19.05,36.66,12,3,26,
,"1,044",31,637,35.79,3.00,-1.95,"2,600",2.95,3.1,"5,200",300.0,"2,600",22.15,23.9,"7,800",3.55,22.95,37.13,16,-3,535,
,122,1,57,35.92,2.15,-1.65,"2,600",2.1,2.3,"2,600",305.0,"7,800",25.7,28.15,"2,600",5.05,27.20,38.19,5,-3,17,
,374,71,205,36.64,1.60,-1.20,"2,600",1.55,1.7,"5,200",310.0,"13,000",30.4,32.45,"7,800",6.70,32.10,42.20,3,3,86,
,29,-1,6,36.61,1.10,-0.90,"2,600",0.95,1.2,"2,600",315.0,"13,000",34.65,37.8,"26,000",6.50,36.00,39.11,6,1,37,
,191,-4,158,38.24,0.90,-0.60,"5,200",0.85,1.0,"7,800",320.0,"10,400",39.55,42.75,"18,200",3.40,39.00,-,12,5,59,
,-,-,-,-,-,-,"2,600",0.25,1.9,"78,000",325.0,"7,800",43.9,48.55,"7,800",-,-,-,-,-,-,
,145,-4,47,38.86,0.45,-0.45,"2,600",0.45,0.55,"5,200",330.0,"7,800",48.5,52.15,"10,400",-,39.50,-,-,-,52,
,-,-,-,-,-,-,"2,600",0.15,0.65,"5,200",340.0,"10,400",58.8,62.2,"7,800",-,-,-,-,-,-,
