Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"2,500",174.9,180.25,"2,500",600.0,"1,250",0.8,1.2,625,-0.80,0.95,55.98,46,-26,48,
,12,1,1,44.08,136.85,7.40,"2,500",135.5,141.85,"2,500",640.0,625,1.95,2.2,"6,875",-0.90,2.2,51.64,59,-,68,
,8,-,1,46.13,118.45,18.50,"2,500",116.75,122.25,"3,125",660.0,625,2.55,2.9,625,-2.15,2.6,46.72,66,9,56,
,6,-,-,-,95.55,-,"2,500",97.65,103.7,"3,750",680.0,625,3.85,4.65,625,-2.60,4.2,45.31,48,8,202,
,69,-9,59,46.05,83.75,-7.05,625,81.55,87.85,"3,750",700.0,625,6.0,7.1,"1,875",-3.25,6.7,44.16,134,16,249,
,48,4,12,41.88,66.05,-7.65,625,65.5,68.8,625,720.0,625,8.55,12.75,"12,500",-4.30,10.0,42.40,87,14,139,
,181,-3,30,44.81,53.75,-5.70,625,50.2,54.5,625,740.0,"18,750",13.3,17.65,"1,250",-4.25,16.0,42.80,271,69,409,
,340,-29,273,41.40,39.25,-7.85,625,36.85,41.95,"1,250",760.0,625,22.05,23.75,"1,250",-5.95,22.1,40.57,247,1,340,
,"1,294",-24,659,41.66,29.20,-8.30,"2,500",27.8,30.4,625,780.0,625,30.9,33.15,625,-5.10,31.95,40.88,224,30,289,
,"1,165",-36,"1,405",41.26,20.70,-7.60,625,20.6,22.0,625,800.0,625,41.45,46.4,"1,250",-1.35,46.15,44.37,59,15,180,
,569,-57,561,40.99,14.20,-6.15,625,14.05,16.3,625,820.0,625,54.25,60.2,"1,250",-7.85,52.65,33.62,7,3,15,
,372,28,399,41.39,9.75,-5.25,"18,750",8.25,10.0,625,840.0,625,66.9,73.9,625,-0.90,73.5,42.74,45,18,63,
,265,131,410,42.72,7.00,-4.05,625,6.1,7.9,625,860.0,"1,875",85.1,92.6,625,-8.10,87.75,37.97,3,1,7,
,50,-8,70,44.57,5.25,-2.75,625,4.1,6.9,"12,500",880.0,"2,500",104.45,111.3,"1,250",-12.95,98.15,-,3,-,2,
,737,55,559,45.49,3.70,-2.25,"3,750",3.65,3.8,625,900.0,625,123.7,127.8,625,0.85,123.5,33.43,14,-,17,
,52,-4,18,47.91,3.00,-1.70,625,2.65,3.0,625,920.0,"2,500",142.05,149.05,"1,875",-,178.0,-,-,-,1,
,239,25,44,52.21,2.00,-1.00,"8,750",1.75,2.0,625,960.0,"2,500",180.35,186.4,"1,250",-,201.55,-,-,-,5,
