Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"1,400",221.85,238.05,"1,050","1,200.00",350,3.25,3.55,700,-0.15,3.30,45.40,409,-3,200,
,-,-,-,-,-,-,"1,750",202.65,222.6,"1,750","1,220.00",350,3.95,5.55,"7,000",-0.40,3.95,43.58,749,-48,35,
,-,-,-,-,-,-,"1,750",183.95,199.7,"1,050","1,240.00",700,4.75,5.20,350,-0.30,5.00,42.30,546,-64,108,
,-,-,-,-,-,-,"1,050",165.6,177.7,"1,400","1,260.00","10,500",4.40,7.90,"7,000",-1.10,5.65,39.82,50,33,49,
,6,-,-,-,163.10,-,"1,050",145.2,164.75,"1,400","1,280.00",700,4.00,14.20,"14,000",-0.70,7.50,39.03,11,4,33,
,-,-,-,-,-,-,"1,400",129.1,144.5,"1,050","1,300.00",700,7.80,12.10,"7,000",-0.60,9.30,37.51,88,-11,142,
,-,-,-,-,-,-,"1,400",111.35,128.7,"1,050","1,320.00","12,250",9.25,15.80,"7,000",-0.40,12.40,36.96,89,63,75,
,-,-,-,-,-,-,"2,450",94.65,106.15,"1,400","1,340.00","10,500",12.10,15.70,700,-0.30,15.65,35.76,113,51,99,
,11,1,1,33.31,86.10,-9.10,700,80.0,96.7,"1,050","1,360.00",350,19.10,24.90,"7,000",-2.15,19.10,34.04,100,30,111,
,-,-,-,-,-,-,"2,450",63.95,85.0,"1,750","1,380.00",350,20.85,30.85,350,-0.50,25.30,33.91,32,-,64,
,36,4,53,32.23,58.80,-9.10,350,57.0,64.1,"1,400","1,400.00",350,28.35,33.90,350,-0.95,32.90,33.87,206,9,184,
,37,11,60,32.38,48.05,-9.50,"9,450",41.9,58.3,"5,950","1,420.00","2,450",29.10,50.00,350,-3.15,39.45,32.04,7,-,49,
,85,6,52,32.34,38.50,-11.10,"10,500",33.4,47.45,"7,000","1,440.00","8,400",43.60,60.45,"5,600",2.00,52.00,33.64,23,8,102,
,262,-45,249,32.42,30.50,-9.20,"10,500",26.45,35.0,350,"1,460.00","1,050",55.65,71.20,"1,400",7.40,71.75,39.67,10,1,119,
,63,2,41,32.53,23.85,-8.85,350,20.0,29.65,"7,000","1,480.00","1,400",71.65,86.95,"3,500",-0.40,75.95,33.01,4,1,54,
,432,88,433,32.43,18.15,-8.15,350,18.05,19.9,"1,050","1,500.00","3,150",83.10,99.40,"2,450",0.90,90.70,33.43,17,2,349,
,92,34,67,34.30,15.60,-4.95,700,13.0,18.4,"7,000","1,520.00",350,101.95,116.25,"3,500",-,96.60,-,-,-,16,
,98,29,91,33.79,11.35,-4.55,"10,500",8.5,14.25,"7,000","1,540.00","3,500",115.95,130.95,"1,050",-0.25,120.15,-,-,-,22,
,55,25,117,33.56,8.25,-6.40,"10,500",6.0,11.1,"7,000","1,560.00","1,050",136.00,148.90,"1,050",-,79.55,-,-,-,6,
,384,338,402,34.59,6.70,-3.80,"10,500",4.9,6.75,"5,950","1,580.00","1,050",150.25,167.10,"1,050",-,89.00,-,-,-,1,
,532,119,351,35.64,5.50,-3.25,350,5.2,7.0,700,"1,600.00","1,400",165.20,185.10,350,5.45,176.70,36.27,3,-,179,
,17,-,-,-,7.20,0.25,"14,000",1.35,12.0,350,"1,620.00","1,050",187.15,210.05,"2,450",-,117.40,-,-,-,5,
,37,3,53,38.20,4.00,-1.85,"10,500",2.45,4.95,"7,000","1,640.00","3,500",209.05,222.70,"1,050",-,196.15,-,-,-,5,
,48,13,39,38.33,3.00,-1.15,"10,500",2.1,4.5,"7,000","1,660.00","3,500",228.50,243.90,"1,050",-,-,-,-,-,-,
,81,-14,64,40.83,3.05,-1.05,350,2.55,3.8,"3,500","1,680.00","3,500",247.25,262.80,"1,750",-,-,-,-,-,-,
,204,26,152,41.21,2.40,-0.80,700,2.3,2.6,"1,400","1,700.00",-,-,-,-,-,-,-,-,-,-,-
,81,65,354,43.24,2.35,-0.10,"10,500",1.3,4.0,350,"1,720.00","1,400",287.75,301.00,"1,400",-,-,-,-,-,-,
,185,173,422,45.98,1.95,0.05,350,1.7,2.05,350,"1,760.00","1,050",327.40,340.60,"1,750",-,-,-,-,-,-,
,68,45,236,47.15,1.75,0.05,"1,050",0.65,2.0,"1,750","1,780.00",-,-,-,-,-,-,-,-,-,-,-
,155,55,166,48.64,1.65,-0.25,350,1.4,1.7,700,"1,800.00",-,-,-,-,-,-,-,-,-,-,-
,28,-,1,53.83,1.95,0.80,"7,000",0.4,2.0,700,"1,840.00",-,-,-,-,-,-,-,-,-,-,-
