Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,160.0,"2,82,500",0.05,0.20,"60,000",-,0.25,-,-,-,5,
-,-,-,-,-,-,-,-,-,-,-,165.0,"47,500",0.10,1.00,"7,500",-,0.20,51.30,2,-,61,
,-,-,-,-,41.50,-,"17,500",39.85,41.45,"10,000",170.0,"35,000",0.20,0.40,"7,500",-,0.30,49.15,33,1,155,
,-,-,-,-,-,-,"12,500",34.90,37.05,"10,000",175.0,"12,500",0.30,0.80,"2,500",-,0.35,-,-,-,45,
,-,-,-,-,-,-,"7,500",32.40,34.75,"10,000",177.5,"2,500",0.15,1.00,"2,500",-,-,-,-,-,-,
,18,1,1,-,30.40,-1.60,"7,500",30.40,31.85,"10,000",180.0,"15,000",0.50,0.60,"10,000",-0.05,0.55,43.01,122,-8,348,
,20,-,-,-,27.95,-,"10,000",27.80,29.85,"17,500",182.5,"7,500",0.65,0.80,"2,500",0.10,0.75,43.04,21,14,45,
,14,-,-,-,19.05,-,"10,000",25.50,27.65,"7,500",185.0,"7,500",0.80,0.90,"17,500",0.05,0.85,41.18,201,-15,312,
,11,-,2,-,23.00,-3.20,"10,000",23.25,25.50,"10,000",187.5,"15,000",1.05,1.15,"10,000",0.10,1.10,40.79,359,68,140,
,63,-,-,-,22.60,-0.10,"2,500",21.35,22.45,"7,500",190.0,"25,000",1.30,1.40,"17,500",-,1.30,39.37,735,32,612,
,23,-1,7,36.26,19.45,-0.45,"5,000",19.10,21.00,"7,500",192.5,"5,000",1.65,1.75,"10,000",0.15,1.70,39.31,473,12,152,
,75,3,4,30.37,16.70,-2.05,"2,500",17.40,18.15,"2,500",195.0,"17,500",2.00,2.10,"10,000",0.10,2.05,38.23,701,11,323,
,37,-3,10,36.47,15.50,-1.60,"10,000",14.80,16.35,"17,500",197.5,"5,000",2.55,2.65,"5,000",0.25,2.60,38.04,698,7,187,
,195,-2,95,35.08,13.45,-1.15,"2,500",13.40,14.20,"5,000",200.0,"7,500",3.10,3.20,"10,000",0.20,3.10,36.91,"1,099",-64,739,
,84,-4,9,34.35,11.60,-1.10,"5,000",11.40,12.65,"7,500",202.5,"2,500",3.85,3.95,"5,000",0.35,3.85,36.68,682,23,197,
,274,-12,229,34.87,10.10,-0.90,"2,500",10.20,10.90,"10,000",205.0,"5,000",4.65,4.75,"5,000",0.50,4.80,36.87,518,40,370,
,120,-6,150,35.91,8.85,-0.70,"5,000",8.05,9.90,"25,000",207.5,"75,000",5.05,6.10,"2,500",0.50,5.70,36.12,108,9,150,
,707,20,640,35.95,7.55,-0.50,"2,500",7.30,7.60,"2,500",210.0,"12,500",6.50,6.80,"10,000",0.60,6.85,35.97,526,66,671,
,237,39,283,34.80,6.15,-0.60,"2,500",6.20,6.40,"2,500",212.5,"7,500",7.50,8.90,"10,000",0.75,8.20,36.15,145,-8,176,
,438,-15,551,35.22,5.20,-0.45,"2,500",5.15,5.25,"45,000",215.0,"5,000",9.25,10.30,"7,500",0.65,9.50,35.39,196,-8,233,
,216,14,68,34.72,4.20,-0.45,"2,500",4.25,4.40,"2,500",217.5,"2,500",10.45,11.80,"2,500",0.95,11.35,36.81,66,13,177,
,"1,135",-21,532,35.13,3.50,-0.30,"5,000",3.50,3.60,"7,500",220.0,"7,500",12.35,13.20,"2,500",0.90,12.85,35.76,54,-6,352,
,186,-20,164,35.52,2.90,-0.20,"5,000",2.90,3.05,"12,500",222.5,"5,000",14.15,15.35,"12,500",1.10,14.85,36.86,3,-2,62,
,682,-11,520,35.29,2.30,-0.20,"10,000",2.30,2.35,"2,500",225.0,"7,500",15.55,17.00,"2,500",1.10,16.75,36.85,11,1,110,
,163,5,65,35.43,1.85,-0.15,"2,500",1.85,1.95,"2,500",227.5,"15,000",17.00,19.70,"7,500",1.85,19.40,41.26,5,-,39,
,803,11,292,35.75,1.50,-0.15,"10,000",1.50,1.55,"17,500",230.0,"5,000",20.10,21.20,"2,500",1.80,21.00,38.24,28,12,225,
,92,1,23,35.96,1.20,-0.10,"12,500",1.15,1.30,"5,000",232.5,"5,000",21.70,23.65,"2,500",3.20,24.05,45.37,6,-3,26,
,478,16,49,36.12,0.95,-0.10,"2,500",0.85,1.05,"7,500",235.0,"10,000",24.00,25.70,"2,500",0.40,24.50,28.39,1,-,52,
,122,13,17,36.30,0.75,-0.10,"7,500",0.70,0.85,"7,500",237.5,"12,500",26.15,28.35,"12,500",-,25.35,-,-,-,19,
,675,-66,266,37.32,0.65,-0.05,"7,500",0.60,0.70,"15,000",240.0,"7,500",29.05,30.45,"2,500",2.15,30.15,41.84,15,-8,129,
