Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"1,468",275.90,288.75,"1,101","1,200.00",734,0.25,2.3,"3,670",-,-,-,-,-,-,
,-,-,-,-,-,-,367,236.40,253.00,"3,670","1,240.00",367,1.4,7.0,367,-1.10,1.40,40.01,8,-,1,
-,-,-,-,-,-,-,-,-,-,-,"1,260.00","14,680",0.3,7.7,"1,468",-,10.90,-,-,-,2,
,-,-,-,-,-,-,"2,569",197.75,214.25,"1,101","1,280.00","14,680",0.3,7.65,"14,680",-,3.80,-,-,-,1,
,1,-,-,-,219.70,-,"2,569",178.55,190.80,"1,101","1,300.00",367,2.4,2.85,734,0.40,2.45,34.63,407,96,243,
,-,-,-,-,-,-,"2,569",160.30,171.60,"1,101","1,320.00",367,3.1,4.1,367,-11.25,3.75,34.57,41,29,34,
,2,-,-,-,172.95,-,"1,101",140.40,152.80,"1,835","1,340.00",367,3.95,5.0,367,1.95,5.10,33.71,171,-10,35,
,12,1,1,24.38,130.65,-25.75,"1,101",122.60,134.85,"1,468","1,360.00","11,010",5.45,7.75,367,3.30,7.00,33.01,166,40,65,
,7,4,5,-,104.75,-34.95,"1,101",104.95,116.75,734,"1,380.00","11,010",7.4,11.3,367,4.85,9.90,32.78,160,35,100,
,41,14,48,23.06,94.00,-45.00,367,95.00,100.25,"1,835","1,400.00",734,12.0,13.45,367,5.85,12.50,31.37,364,11,262,
,18,6,10,20.92,75.50,-42.40,"1,101",73.60,92.05,"1,468","1,420.00","11,010",14.45,20.9,"7,340",9.10,17.70,31.65,105,14,91,
,42,4,8,21.16,60.20,-40.15,367,60.50,71.10,734,"1,440.00",367,20.0,24.95,367,11.15,23.15,31.08,406,14,207,
,118,38,142,27.17,54.40,-29.80,367,54.20,55.00,367,"1,460.00",367,30.0,36.9,"7,340",14.80,30.70,31.16,486,-15,265,
,300,68,450,27.43,43.50,-26.00,"1,468",43.55,44.95,367,"1,480.00",367,39.5,44.45,367,18.45,40.15,31.58,451,-26,266,
,"1,236",338,"1,758",28.22,35.00,-21.05,367,34.40,34.95,367,"1,500.00",367,48.35,53.65,"1,101",22.60,50.75,31.79,"1,499",81,723,
,574,82,849,28.27,27.00,-18.15,367,25.80,27.35,367,"1,520.00",367,59.65,68.8,"1,835",26.10,63.25,32.40,160,-39,345,
,394,-23,825,28.61,20.80,-14.40,367,19.85,20.95,367,"1,540.00","1,468",73.05,81.95,"1,468",31.05,77.95,33.74,107,-22,166,
,327,19,707,28.91,15.80,-11.25,"1,101",14.95,15.95,367,"1,560.00","2,569",87.5,97.15,"1,101",42.50,96.65,37.52,35,1,65,
,193,21,400,29.34,12.00,-8.60,367,11.90,13.75,734,"1,580.00","1,468",103.95,113.75,"1,101",-,65.75,-,-,-,12,
,"1,101",52,"1,760",29.89,9.15,-6.15,367,9.15,9.20,367,"1,600.00",367,122.45,130.9,"1,835",39.65,126.00,36.77,45,4,453,
,183,-65,238,30.29,6.85,-4.50,367,6.60,8.10,367,"1,620.00",367,139.5,149.4,"2,569",18.70,120.90,-,2,-1,62,
,172,-80,206,30.29,4.85,-3.45,734,5.00,5.50,367,"1,640.00",734,157.35,166.35,"2,202",1.35,138.25,-,1,-,32,
,203,14,182,30.94,3.70,-2.50,367,3.50,4.25,367,"1,660.00","1,835",174.35,187.1,734,44.50,171.25,25.56,11,-6,11,
,111,16,90,31.75,2.90,-2.00,734,2.40,3.35,367,"1,680.00","1,468",193.75,206.45,"2,569",-,170.50,-,-,-,6,
,"1,006",20,786,33.40,2.60,-1.35,367,2.40,2.60,"7,340","1,700.00","1,468",212.45,219.6,367,24.10,218.00,44.13,2,2,87,
,69,-,-,-,2.20,-,"1,101",0.75,2.75,734,"1,720.00","1,468",231.8,244.95,"1,101",-,260.00,-,-,-,2,
,68,-,-,-,2.40,-,"3,670",0.65,2.00,367,"1,740.00","2,569",251.6,264.1,"1,101",-,232.75,-,-,-,4,
,87,-,2,34.62,1.10,-0.80,734,0.60,1.90,367,"1,760.00","2,569",271.45,283.9,"1,101",-,-,-,-,-,-,
,101,-,-,-,1.15,-,367,0.80,3.50,"3,670","1,780.00","1,101",291.55,305.45,"1,101",-,275.75,-,-,-,19,
,"1,089",-44,"1,498",39.22,1.25,-0.40,"4,037",1.20,1.25,"2,202","1,800.00","1,101",311.35,322.45,"1,468",-0.15,284.50,-,-,-,157,
,19,1,22,41.11,1.25,-0.55,367,1.15,1.55,367,"1,820.00","1,101",331.6,343.05,"1,835",-,322.00,-,-,-,2,
,6,-1,5,42.70,1.20,-0.40,"14,680",0.30,1.70,"1,835","1,840.00","1,101",350.8,363.5,"2,569",-,340.00,-,-,-,2,
,19,-,19,44.77,0.95,0.20,"14,680",0.35,3.45,"14,680","1,880.00","1,101",390.85,402.75,"2,569",-,394.15,-,-,-,13,
,23,1,1,48.51,1.00,-,"15,047",0.25,1.00,367,"1,920.00","1,101",430.6,442.0,367,-,433.65,-,-,-,63,
,26,-1,1,48.47,0.60,-,"12,478",0.20,0.80,734,"1,960.00","1,101",470.15,480.75,"2,569",-,447.00,-,-,-,16,
