Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,2,-,-,-,"2,146.35",-,300,"1,855.20","1,908.95",300,"7,000.00",300,1.45,1.85,75,-0.30,1.45,39.72,31,-5,279,
-,-,-,-,-,-,-,-,-,-,-,"7,200.00",75,1.55,11.80,150,-0.50,4.00,40.38,3,1,43,
,-,-,-,-,-,-,300,"1,459.55","1,522.10",300,"7,400.00",150,1.75,17.00,300,-,4.00,-,-,-,3,
-,-,-,-,-,-,-,-,-,-,-,"7,500.00",150,3.20,6.35,75,0.05,3.20,32.43,73,-,492,
,-,-,-,-,-,-,300,"1,259.55","1,317.90",225,"7,600.00",225,3.55,8.80,150,-0.50,3.55,30.67,32,-12,310,
-,-,-,-,-,-,-,-,-,-,-,"7,700.00",75,5.15,6.25,"2,025",-0.60,5.20,30.15,80,24,315,
,-,-,-,-,-,-,300,"1,063.40","1,123.35",225,"7,800.00",75,8.10,11.00,300,-0.35,8.00,29.94,83,-52,407,
,-,-,-,-,-,-,300,968.85,"1,026.25",225,"7,900.00",75,9.90,16.00,75,-1.60,10.35,28.85,48,21,54,
,87,-2,4,31.05,907.90,-122.60,75,878.50,915.60,75,"8,000.00",150,15.05,16.00,150,0.20,15.65,28.70,941,-51,"1,035",
,3,-,-,-,717.00,-,150,780.65,835.30,300,"8,100.00",75,11.55,25.95,75,1.15,21.45,28.03,475,71,476,
,26,-,-,-,845.55,-,150,685.30,736.65,75,"8,200.00",75,14.45,32.95,75,-0.80,28.05,27.05,593,-35,538,
,76,-,-,-,706.30,-,300,596.35,657.95,150,"8,300.00",75,40.20,52.60,150,3.85,40.25,26.87,595,-55,572,
,148,-25,61,29.35,560.00,-63.90,150,524.75,571.55,600,"8,400.00",75,53.00,54.00,"1,725",5.05,54.00,26.23,939,-23,667,
,267,-2,28,27.08,470.00,-67.80,150,446.75,486.00,225,"8,500.00",75,71.05,72.95,75,7.50,71.25,25.52,"1,971",-1,"1,037",
,317,-16,51,24.86,382.85,-77.05,150,370.80,397.35,75,"8,600.00",75,91.95,95.95,150,12.15,93.85,24.90,"1,704",63,941,
,512,-3,200,24.48,313.60,-65.65,75,301.15,340.15,225,"8,700.00",75,107.80,125.95,75,17.65,125.95,24.77,"1,296",-1,661,
,660,244,"1,729",24.22,252.25,-66.70,75,252.40,259.45,75,"8,800.00",75,153.60,163.00,75,23.80,164.00,24.49,"4,263",86,655,
,812,242,"2,109",24.16,200.00,-56.90,75,198.35,203.00,825,"8,900.00",75,204.65,212.00,150,30.70,209.00,24.17,"2,466",74,727,
,"2,013",73,"3,188",24.17,156.00,-49.25,75,157.00,158.00,75,"9,000.00",75,265.05,281.90,75,35.65,264.05,24.13,"1,049",-56,918,
,885,-55,"1,545",24.38,121.00,-39.95,75,117.05,121.00,75,"9,100.00",75,318.70,334.65,75,44.05,326.60,24.10,112,-6,410,
,"1,179",13,"2,038",24.20,89.65,-34.75,75,87.45,90.55,75,"9,200.00",375,369.70,410.40,75,60.25,410.00,25.99,24,2,240,
,761,164,"1,417",24.33,66.75,-28.25,75,66.15,69.95,75,"9,300.00",75,450.85,503.25,75,56.15,480.15,25.37,26,13,152,
,753,171,993,24.77,50.65,-21.70,75,50.25,52.00,150,"9,400.00",150,532.70,575.85,75,22.80,526.35,18.52,2,-,68,
,"2,028",119,"2,907",25.37,39.00,-16.15,150,38.10,38.95,75,"9,500.00",150,626.55,656.95,150,71.80,645.80,25.64,33,6,212,
,501,91,722,25.83,29.50,-12.65,75,27.05,36.95,75,"9,600.00",750,720.90,762.00,75,-,669.25,-,-,-,25,
,411,35,587,26.49,22.95,-9.00,75,14.85,22.95,75,"9,700.00",300,802.15,876.85,525,-,772.45,-,-,-,4,
,576,191,751,26.76,16.80,-7.35,75,16.80,17.55,300,"9,800.00",300,894.70,969.40,525,0.15,870.45,-,-,-,3,
,356,147,342,27.55,13.45,-5.55,75,12.80,14.00,75,"9,900.00",300,993.20,"1,063.05",225,-,-,-,-,-,-,
,"2,688",207,"1,174",28.42,11.00,-4.20,75,11.10,12.00,600,"10,000.00",75,"1,102.55","1,131.55",225,60.45,"1,095.00",-,7,5,464,
,-,-,-,-,-,-,75,4.15,42.50,525,"10,100.00",300,"1,186.25","1,253.60",75,-,"1,125.75",-,-,-,4,
,203,-6,80,29.39,6.50,-2.95,300,6.50,8.00,75,"10,200.00",75,"1,281.10","1,357.95",525,-,"1,300.15",-,-,-,7,
,956,15,170,30.96,4.45,-1.75,225,4.10,4.50,75,"10,400.00",300,"1,480.10","1,523.35",150,-22.40,"1,219.40",-,-,-,103,
,46,-,4,32.72,3.30,0.15,75,3.35,5.95,75,"10,600.00",225,"1,659.95","1,759.25",225,-,-,-,-,-,-,
