Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,3,-,-,-,"1,755.00",-,875,"2,478.20","2,542.55",500,"6,000.00",125,2.20,2.35,125,-0.20,2.30,60.15,109,-21,352,
-,-,-,-,-,-,-,-,-,-,-,"6,100.00","3,750",1.25,9.90,"3,000",-,3.00,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"6,400.00",250,2.00,2.55,125,-0.50,2.35,50.35,96,-2,"1,168",
,18,-,-,-,"1,915.00",-,"1,500","1,981.35","2,043.75",500,"6,500.00","3,750",2.85,3.50,"1,125",-0.55,3.05,49.52,13,-1,436,
,6,-,-,-,"1,350.00",-,875,"1,884.65","1,949.20",500,"6,600.00",250,2.65,5.00,125,-0.60,3.00,46.98,67,8,476,
,2,-,-,-,"1,305.00",-,875,"1,783.60","1,844.95",125,"6,700.00",125,3.05,6.90,"3,750",-1.50,3.60,45.64,39,-12,247,
,9,-,-,-,"1,680.00",-,875,"1,685.20","1,744.50",500,"6,800.00",500,5.00,5.25,125,-1.10,4.85,45.04,69,-12,770,
,11,-,-,-,804.65,-,875,"1,586.60","1,649.70",500,"6,900.00",625,5.70,9.10,"2,500",-0.90,6.00,43.91,65,-7,731,
,156,-4,4,-,"1,510.10",-28.10,250,"1,503.50","1,533.15",250,"7,000.00",875,7.15,7.75,125,-0.85,7.05,42.44,"1,219",55,"3,670",
,23,-,-,-,"1,335.00",-,375,"1,389.45","1,453.00",500,"7,100.00",125,7.30,8.80,125,-0.75,8.45,41.08,307,-23,557,
,341,-15,16,49.71,"1,383.65",86.65,125,"1,299.40","1,354.75",125,"7,200.00","2,875",9.35,9.95,125,-0.60,9.70,39.40,580,-28,938,
,262,-95,106,-,"1,220.00",-7.70,125,"1,208.25","1,255.90",875,"7,300.00","1,250",11.45,13.00,750,-1.35,11.60,37.98,681,66,"1,435",
,389,-1,2,-,"1,134.40",3.00,125,"1,114.35","1,136.15",125,"7,400.00",125,13.05,14.45,125,-1.35,13.90,36.56,972,-108,"1,414",
,678,-118,148,-,"1,010.10",-20.05,250,"1,020.90","1,055.05",125,"7,500.00",125,16.25,16.90,250,-1.85,16.80,35.17,"2,714",-1,"3,623",
,420,-28,59,-,940.00,-2.10,125,924.85,945.95,250,"7,600.00",125,20.10,21.25,125,-2.70,21.35,34.15,"1,046",-163,"1,281",
,424,-3,18,-,835.00,-19.45,875,807.65,868.30,875,"7,700.00",125,24.15,26.60,375,-3.80,26.45,32.91,"3,623",-431,"1,360",
,"1,025",-65,128,-,743.00,-12.65,375,717.45,777.30,125,"7,800.00",250,33.15,33.70,"3,875",-4.85,33.60,31.88,"2,015",-168,"2,060",
,630,-30,70,-,650.05,-27.60,125,650.00,669.45,250,"7,900.00",375,42.40,43.95,125,-5.50,43.00,30.93,"1,984",-169,"1,574",
,"2,617",-11,260,20.97,574.90,-4.00,250,557.15,579.35,125,"8,000.00",125,54.25,55.80,"1,000",-6.45,55.80,30.16,"5,335",165,"4,509",
,900,-21,67,19.45,480.75,-22.20,500,460.55,496.25,125,"8,100.00",125,69.25,70.50,250,-7.95,70.50,29.14,"2,267",201,"1,629",
,"1,680",11,384,21.94,410.00,-7.75,125,402.50,419.60,250,"8,200.00",125,91.00,91.90,125,-8.40,91.95,28.59,"3,835",18,"2,204",
,"3,144",-45,811,22.26,337.55,-8.60,125,330.00,341.95,125,"8,300.00",125,116.65,119.00,"1,000",-9.15,118.95,28.10,"4,138",20,"2,195",
,"1,550",-82,"2,277",22.60,273.50,-7.85,125,273.50,287.60,125,"8,400.00",125,153.50,154.35,125,-9.25,154.00,27.93,"5,257",12,"1,849",
,"2,949",213,"8,409",22.81,217.05,-7.55,125,215.05,218.65,"1,625","8,500.00",125,196.00,197.60,125,-7.85,197.00,27.86,"10,303",568,"2,197",
,"2,322",596,"10,808",23.30,171.50,-3.75,125,170.00,172.00,250,"8,600.00",125,244.10,251.20,125,-8.30,247.05,27.83,"3,946",181,647,
,"2,660",359,"6,506",23.39,130.80,-3.50,500,130.00,131.00,250,"8,700.00",125,296.40,310.90,125,-3.65,309.10,28.45,"1,247",81,603,
,"1,806",54,"5,506",23.66,99.15,-3.85,125,99.00,100.55,125,"8,800.00",250,367.35,386.85,125,-0.80,381.65,29.65,112,24,134,
,899,148,"3,508",24.13,75.35,-2.50,125,75.05,76.00,125,"8,900.00",125,428.25,468.25,375,-25.20,464.35,31.57,1,1,5,
,"4,197",819,"10,617",24.75,57.75,-1.35,375,57.45,58.40,125,"9,000.00",125,524.40,544.25,125,8.35,547.35,33.06,51,15,115,
,604,55,"2,056",25.26,43.65,-0.65,375,43.00,43.70,375,"9,100.00",125,597.20,654.15,625,"-1,062.45",567.35,22.73,1,1,1,
,733,-28,"2,777",25.68,32.50,-0.70,250,32.00,33.00,125,"9,200.00",250,685.70,734.90,375,"-1,842.25",690.45,30.46,1,1,1,
,"1,474",-133,"2,875",26.13,24.20,-0.70,250,24.20,24.75,125,"9,300.00",500,770.00,826.80,375,-,-,-,-,-,-,
,687,234,"1,492",26.65,18.20,-1.20,250,18.25,18.75,125,"9,400.00",500,863.50,928.90,375,-,-,-,-,-,-,
,"1,301",192,"2,875",27.38,14.20,-0.80,125,14.00,14.45,250,"9,500.00",500,958.95,"1,026.95",375,-,-,-,-,-,-,
,859,176,"2,533",27.99,10.90,-1.20,125,10.70,11.45,250,"9,600.00",375,"1,054.70","1,119.10",375,-,-,-,-,-,-,
