Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"2,120.00",300,0.4,-,-,-,3.00,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"2,160.00",300,0.6,-,-,-,3.95,-,-,-,2,
-,-,-,-,-,-,-,-,-,-,-,"2,200.00",300,0.25,-,-,-3.65,3.00,50.13,4,-,1,
,-,-,-,-,-,-,900,479.65,508.05,900,"2,280.00",300,0.25,13.25,"2,100",-,-,-,-,-,-,
,2,-,-,-,390.00,-,"1,200",460.15,478.50,900,"2,300.00",300,0.3,3.50,300,-0.35,10.50,-,-,-,6,
,-,-,-,-,-,-,900,439.85,472.70,900,"2,320.00",300,0.3,17.70,"9,000",-,-,-,-,-,-,
,-,-,-,-,-,-,900,399.65,431.50,"1,200","2,360.00","2,700",0.55,17.70,"1,200",-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"2,380.00",300,1.2,17.65,600,-,37.30,-,-,-,7,
,-,-,-,-,-,-,300,362.05,382.65,"1,200","2,400.00",600,2.1,7.40,300,2.35,5.85,38.48,154,10,78,
,-,-,-,-,-,-,"1,200",320.95,355.25,"1,200","2,440.00",300,2.5,21.25,900,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"2,460.00",300,4.5,20.90,"1,200",-,9.40,-,-,-,8,
,-,-,-,-,-,-,"2,100",283.70,315.00,"1,200","2,480.00",300,4.0,20.90,"1,200",-,-,-,-,-,-,
,2,-,-,-,240.00,-,"1,500",266.15,289.90,"2,100","2,500.00",300,6.0,13.00,300,3.95,11.75,35.43,65,7,101,
,-,-,-,-,-,-,"1,500",239.35,275.05,"2,100","2,520.00","2,700",2.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",234.00,253.75,900,"2,540.00",300,15.25,16.95,300,6.45,16.20,34.73,43,-5,18,
,-,-,-,-,-,-,"3,000",212.05,236.55,"1,200","2,560.00","9,000",14.4,19.95,300,5.15,17.05,33.16,42,4,35,
,-,-,-,-,-,-,"2,100",183.70,228.70,"3,000","2,580.00",300,6.65,-,-,-,-,-,-,-,-,
,8,-,-,-,231.10,-,"1,500",181.25,205.35,"2,100","2,600.00",300,20.95,30.50,"6,000",8.05,24.50,33.09,93,-,145,
,-,-,-,-,-,-,300,148.55,204.35,"3,000","2,620.00","3,000",9.1,-,-,-,24.20,-,-,-,3,
,1,-,-,-,143.15,-1.50,-,-,181.75,900,"2,640.00",300,18.4,44.85,300,11.00,32.50,32.23,9,-1,23,
,3,-,-,-,133.00,-,"2,100",137.05,159.50,900,"2,660.00",300,36.65,42.75,300,14.05,38.90,32.53,26,-4,19,
,-,-,-,-,-,-,900,114.90,153.40,900,"2,680.00",900,27.05,57.55,"1,500",-39.90,44.00,31.95,8,5,5,
,61,-3,21,32.05,126.15,-50.30,"1,500",107.50,128.70,900,"2,700.00","1,500",48.0,52.00,300,18.65,51.95,32.31,160,28,165,
,1,-,-,-,139.75,-,900,86.75,129.00,900,"2,720.00",900,42.5,78.15,900,-,81.25,-,-,-,10,
