Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,120.0,"2,800",0.20,0.30,"5,600",-,0.20,54.38,20,4,297,
,3,-,-,-,28.15,-,"8,400",28.40,29.30,"8,400",125.0,"5,600",0.25,0.40,"5,600",0.05,0.30,50.27,8,-2,154,
-,-,-,-,-,-,-,-,-,-,-,127.5,"14,000",0.20,1.00,"19,600",0.20,0.35,47.71,1,-1,1,
,73,-,-,-,25.00,-,"8,400",23.35,24.35,"28,000",130.0,"14,000",0.30,0.45,"22,400",-0.05,0.35,43.63,233,-59,554,
,18,-1,3,-,19.85,-,"8,400",20.95,21.80,"8,400",132.5,"50,400",0.30,0.50,"2,800",-,0.55,43.92,51,-21,102,
,56,1,6,32.64,18.65,0.85,"2,800",18.75,19.55,"11,200",135.0,"47,600",0.50,0.60,"5,600",-0.05,0.60,40.47,248,28,383,
,39,2,9,32.90,16.35,-2.55,"2,800",16.40,17.15,"5,600",137.5,"8,400",0.70,0.80,"5,600",-,0.80,39.11,238,67,153,
,252,16,81,37.69,14.50,-1.20,"8,400",14.30,15.00,"14,000",140.0,"19,600",1.00,1.10,"14,000",-0.05,1.05,37.61,353,22,964,
,26,5,17,30.23,11.80,-2.20,"8,400",12.10,12.85,"8,400",142.5,"8,400",1.35,1.45,"5,600",-0.05,1.40,36.37,251,-16,201,
,85,-3,18,35.35,10.35,-1.35,"5,600",10.05,10.75,"8,400",145.0,"8,400",1.80,1.90,"8,400",-,1.90,35.54,440,10,447,
,152,1,24,29.71,7.90,-1.85,"2,800",8.25,8.85,"2,800",147.5,"8,400",2.45,2.60,"5,600",0.10,2.65,35.58,366,-8,231,
,"1,186",46,539,35.04,7.00,-1.05,"2,800",6.90,7.30,"11,200",150.0,"2,800",3.35,3.45,"5,600",0.15,3.40,34.33,567,-28,971,
,459,43,509,34.54,5.55,-0.95,"2,800",5.50,5.65,"2,800",152.5,"2,800",4.35,4.50,"8,400",0.35,4.60,34.98,437,74,382,
,"1,877",558,"2,575",34.77,4.40,-0.80,"11,200",4.35,4.40,"8,400",155.0,"8,400",5.60,5.75,"8,400",0.30,5.70,33.60,201,27,464,
,267,54,606,33.67,3.25,-0.80,"2,800",3.30,3.40,"2,800",157.5,"8,400",6.80,7.70,"19,600",0.70,7.55,36.11,81,13,115,
,"2,174",79,"1,130",34.49,2.55,-0.60,"11,200",2.55,2.65,"22,400",160.0,"2,800",8.60,9.20,"5,600",0.70,8.95,34.17,79,8,571,
,340,70,228,34.94,1.95,-0.45,"5,600",1.90,2.00,"11,200",162.5,"19,600",10.45,10.95,"5,600",1.15,11.25,38.01,14,-2,58,
,703,61,604,35.13,1.45,-0.35,"19,600",1.40,1.50,"92,400",165.0,"8,400",12.45,13.10,"8,400",2.00,14.00,45.11,17,-6,72,
,204,33,102,35.16,1.05,-0.30,"2,800",1.00,1.15,"2,800",167.5,"28,000",14.45,15.40,"5,600",1.45,15.55,41.36,15,-5,22,
,"1,159",148,704,37.17,0.90,-0.15,"14,000",0.85,0.90,"19,600",170.0,"2,800",16.85,17.75,"5,600",1.15,17.40,38.58,21,11,172,
,81,-1,57,37.23,0.65,-0.10,"2,800",0.55,0.65,"2,800",172.5,"8,400",19.10,19.95,"16,800",1.60,19.95,43.02,5,3,45,
,163,5,38,37.97,0.50,-0.10,"8,400",0.45,0.55,"8,400",175.0,"28,000",21.30,22.15,"2,800",2.15,22.80,50.95,6,-1,63,
,139,44,69,39.01,0.40,-0.10,"5,600",0.35,0.45,"8,400",177.5,"28,000",23.70,24.75,"19,600",-,22.45,-,-,-,7,
,"1,211",51,177,40.72,0.35,-0.05,"86,800",0.30,0.35,"28,000",180.0,"8,400",26.20,26.95,"5,600",2.40,26.75,42.37,10,2,494,
,696,9,27,39.65,0.15,-0.10,"16,800",0.15,0.20,"72,800",185.0,"28,000",30.90,31.80,"2,800",2.35,32.65,63.41,1,1,880,
,188,-,-,-,0.20,-,"2,38,000",0.10,0.15,"2,800",200.0,-,-,-,-,-,-,-,-,-,-,-
