Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"14,625",49.5,51.45,"20,475",170.0,"2,95,425",0.05,0.25,"2,925",-,0.15,-,-,-,122,
,-,-,-,-,-,-,"20,475",44.75,46.7,"8,775",175.0,"1,25,775",0.10,0.60,"2,925",-,0.20,-,-,-,211,
,-,-,-,-,-,-,"20,475",39.75,41.8,"8,775",180.0,"1,40,400",0.20,0.25,"26,325",-0.05,0.25,45.67,134,-20,418,
,-,-,-,-,-,-,"20,475",36.95,39.95,"11,700",182.5,"26,325",0.05,1.15,"11,700",-,-,-,-,-,-,
,-,-,-,-,-,-,"20,475",34.85,36.85,"8,775",185.0,"20,475",0.30,0.35,"5,850",-0.05,0.35,43.06,58,-23,208,
,-,-,-,-,-,-,"20,475",32.35,35.15,"8,775",187.5,"20,475",0.15,1.15,"5,850",-,0.45,-,-,-,24,
,48,-,-,-,29.90,-,"11,700",30.05,31.9,"5,850",190.0,"32,175",0.45,0.50,"23,400",-0.05,0.50,40.58,304,-85,574,
,18,-,-,-,18.20,-0.30,"11,700",27.6,29.35,"11,700",192.5,"8,775",0.55,0.65,"8,775",-0.05,0.60,39.36,55,-11,55,
,57,-,-,-,24.50,-,"11,700",25.4,27.3,"20,475",195.0,"29,250",0.65,0.75,"14,625",-,0.80,39.15,159,32,470,
,84,-3,3,38.03,24.60,4.45,"20,475",23.0,24.65,"11,700",197.5,"8,775",0.80,0.95,"2,925",-0.05,0.95,37.84,22,-6,150,
,288,-23,117,27.12,21.50,-0.05,"17,550",20.75,22.3,"11,700",200.0,"8,775",1.05,1.15,"87,750",-0.20,1.05,35.74,666,4,"1,235",
,108,-13,33,29.39,19.40,-0.05,"20,475",18.4,20.15,"11,700",202.5,"11,700",1.30,1.40,"14,625",-0.05,1.50,36.52,304,10,206,
