Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,80.0,"43,425",0.05,0.20,"48,250",-,0.15,-,-,-,18,
-,-,-,-,-,-,-,-,-,-,-,85.0,"9,650",0.10,0.25,"4,825",-,0.20,-,-,-,4,
-,-,-,-,-,-,-,-,-,-,-,86.0,"4,825",0.20,0.30,"14,475",-,1.00,-,-,-,1,
,-,-,-,-,-,-,"24,125",19.65,20.70,"14,475",88.0,"4,825",0.15,0.70,"19,300",-,0.30,-,-,-,2,
,-,-,-,-,-,-,"4,825",18.00,18.60,"19,300",90.0,"24,125",0.25,0.30,"1,59,225",-0.10,0.25,47.41,29,20,314,
,-,-,-,-,-,-,"33,775",16.80,17.85,"14,475",91.0,"96,500",0.15,0.85,"19,300",-,0.25,-,-,-,1,
,-,-,-,-,-,-,"19,300",15.90,17.15,"33,775",92.0,"96,500",0.15,0.85,"19,300",-,0.40,-,-,-,6,
,-,-,-,-,-,-,"33,775",14.90,15.85,"33,775",93.0,"4,825",0.25,0.50,"4,825",-,0.55,-,-,-,47,
,1,-,-,-,14.50,-,"14,475",14.00,15.25,"33,775",94.0,"96,500",0.15,0.95,"14,475",-,0.55,-,-,-,5,
,80,-,-,-,15.65,-,"33,775",13.10,13.95,"33,775",95.0,"19,300",0.50,0.60,"24,125",-0.15,0.55,43.71,135,-36,355,
,1,-,-,-,11.40,-,"14,475",12.10,13.60,"19,300",96.0,"96,500",0.20,1.30,"19,300",-,1.00,-,-,-,1,
,7,-,-,-,13.25,-,"33,775",11.15,12.65,"33,775",97.0,"96,500",0.25,1.35,"33,775",-0.05,0.85,44.10,2,1,12,
,7,-,-,-,8.85,-,"33,775",10.45,11.30,"33,775",98.0,"4,825",0.75,0.95,"4,825",-0.10,0.90,42.07,23,9,32,
,7,-,-,-,7.55,-,"57,900",9.60,10.45,"19,300",99.0,"4,825",0.90,1.10,"4,825",-0.25,1.00,40.71,4,-,54,
,169,1,16,41.36,9.35,-0.60,"4,825",8.90,9.50,"4,825",100.0,"19,300",1.15,1.25,"14,475",-0.25,1.25,41.27,167,18,363,
,3,-,-,-,10.30,-,"33,775",8.00,8.80,"33,775",101.0,"4,825",1.30,1.45,"4,825",-0.20,1.40,40.07,11,8,49,
,16,-,-,-,8.15,-,"19,300",7.25,8.05,"33,775",102.0,"4,825",1.55,1.70,"4,825",-0.25,1.65,39.84,13,7,60,
,24,-,-,-,7.30,-,"19,300",6.45,7.30,"14,475",103.0,"4,825",1.80,1.95,"4,825",-0.20,1.90,39.24,14,5,70,
,28,2,10,41.90,6.60,-1.00,"14,475",5.80,6.50,"4,825",104.0,"4,825",2.10,2.25,"4,825",-0.40,2.20,38.85,10,-2,139,
,221,-31,139,35.78,5.40,-0.65,"9,650",5.20,5.75,"14,475",105.0,"14,475",2.40,2.55,"9,650",-0.25,2.55,38.63,311,141,525,
,26,-,2,43.76,5.60,0.15,"4,825",4.75,5.00,"4,825",106.0,"4,825",2.75,2.95,"9,650",-0.25,2.90,38.02,33,3,67,
,100,10,34,36.22,4.30,-0.65,"4,825",4.15,4.35,"4,825",107.0,"4,825",3.20,3.30,"4,825",-0.35,3.30,37.54,31,-5,125,
