Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,1,-,-,-,80.55,-,"11,400",70.2,72.65,"8,550",210.0,"19,950",0.25,0.30,"79,800",0.05,0.25,59.48,53,4,443,
,-,-,-,-,-,-,"11,400",60.15,62.3,"8,550",220.0,"79,800",0.30,0.40,"85,500",0.05,0.35,54.08,86,5,667,
,15,-,-,-,61.00,-,"11,400",50.3,51.75,"5,700",230.0,"28,500",0.45,0.50,"8,550",0.10,0.50,48.78,354,-81,717,
,11,-,-,-,38.50,-,"11,400",45.3,47.75,"8,550",235.0,"22,800",0.60,0.65,"2,850",0.15,0.65,46.87,129,-3,266,
,66,-1,1,59.13,43.80,-7.20,"11,400",40.9,41.9,"8,550",240.0,"25,650",0.70,0.80,"25,650",0.20,0.75,43.76,371,13,674,
,24,4,4,34.25,36.85,-2.30,"11,400",36.15,37.2,"2,850",245.0,"8,550",0.95,1.00,"11,400",0.30,1.00,42.02,166,-6,222,
,111,-14,49,29.70,31.85,-9.55,"5,700",31.5,32.35,"2,850",250.0,"25,650",1.25,1.30,"2,850",0.35,1.30,40.01,908,-55,"1,028",
,58,-,1,58.41,31.75,-5.00,"5,700",27.2,27.85,"2,850",255.0,"8,550",1.70,1.75,"42,750",0.55,1.75,38.39,457,36,386,
,341,-,58,32.49,23.20,-7.20,"2,850",22.7,23.5,"5,700",260.0,"2,850",2.25,2.40,"25,650",0.75,2.35,36.77,"1,522",-68,"1,642",
,327,1,34,31.47,19.00,-6.85,"2,850",18.8,19.3,"2,850",265.0,"17,100",3.20,3.30,"8,550",1.10,3.30,35.93,937,14,801,
,757,33,383,32.50,15.55,-6.50,"2,850",15.25,15.65,"2,850",270.0,"11,400",4.50,4.60,"17,100",1.55,4.55,35.11,"2,186",-24,"1,913",
,703,8,278,32.02,12.20,-5.90,"2,850",12.2,12.4,"5,700",275.0,"19,950",6.25,6.35,"5,700",2.20,6.30,34.90,"2,308",215,"1,279",
,"1,930",331,"2,181",32.74,9.60,-5.25,"5,700",9.6,9.65,"2,850",280.0,"8,550",8.50,8.65,"5,700",2.95,8.60,35.21,"3,049",102,"1,813",
,984,242,"2,044",33.44,7.45,-4.35,"2,850",7.35,7.5,"14,250",285.0,"2,850",11.35,11.50,"2,850",3.85,11.40,35.82,"1,815",33,624,
,"2,365",311,"3,437",33.67,5.60,-3.55,"19,950",5.6,5.65,"5,700",290.0,"2,850",14.55,14.70,"2,850",4.70,14.60,36.46,"2,303",179,"1,469",
,"1,153",188,"1,661",34.62,4.30,-2.80,"14,250",4.25,4.3,"2,850",295.0,"2,850",18.00,18.65,"2,850",5.45,18.25,37.53,283,1,448,
,"5,366",606,"3,668",35.36,3.25,-2.15,"8,550",3.25,3.35,"51,300",300.0,"2,850",21.65,22.30,"2,850",5.90,22.00,37.80,203,17,"1,000",
,"1,050",101,"1,402",36.13,2.45,-1.60,"17,100",2.4,2.5,"19,950",305.0,"17,100",25.80,26.95,"2,850",7.75,26.75,41.81,28,-9,189,
,"2,021",209,"1,737",36.62,1.80,-1.25,"39,900",1.8,1.85,"37,050",310.0,"5,700",30.40,31.50,"2,850",8.50,30.90,42.16,8,5,190,
,803,56,839,37.38,1.35,-0.90,"17,100",1.3,1.4,"34,200",315.0,"5,700",34.75,36.35,"2,850",4.35,30.40,-,1,1,43,
,"2,907",147,"1,718",38.03,1.00,-0.75,"82,650",1.0,1.05,"76,950",320.0,"5,700",39.45,40.25,"2,850",7.35,39.85,44.02,18,-,397,
,733,30,416,39.34,0.80,-0.50,"11,400",0.75,0.85,"31,350",325.0,"5,700",44.10,45.80,"2,850",1.85,38.95,-,1,1,81,
,"1,396",46,805,39.33,0.55,-0.45,"1,88,100",0.55,0.6,"45,600",330.0,"2,850",48.80,50.10,"2,850",3.55,45.30,-,1,-1,183,
,"1,121",-3,802,42.54,0.40,-0.25,"4,33,200",0.35,0.4,"1,16,850",340.0,"2,850",58.30,59.60,"11,400",-,60.35,-,-,-,122,
,"1,045",35,404,45.58,0.30,-0.10,"3,27,750",0.25,0.3,"3,36,300",350.0,"2,850",68.35,69.85,"2,850",4.10,63.30,-,1,1,41,
,458,-4,154,47.48,0.20,-0.10,"3,96,150",0.15,0.2,"2,65,050",360.0,-,-,-,-,-,-,-,-,-,-,-
