Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"3,500",219.95,231.20,"2,000",920.00,"3,000",0.5,2.8,"3,000",-,1.65,-,-,-,7,
,-,-,-,-,-,-,"2,500",182.95,191.95,"1,500",960.00,"1,500",3.1,3.35,500,0.95,3.10,47.63,207,48,280,
,-,-,-,-,-,-,"3,500",164.20,173.65,"1,500",980.00,500,4.1,5.95,"10,000",2.15,5.20,48.86,18,-2,38,
,1,-,-,-,149.90,-,"1,000",147.20,155.65,"1,500","1,000.00","1,000",6.1,7.5,"1,500",1.85,6.55,46.92,216,45,302,
,1,-,-,-,127.90,-,"1,000",128.80,138.10,"2,000","1,020.00",500,7.55,10.5,500,2.30,9.00,46.25,82,40,105,
,2,-,-,-,135.90,-,"1,000",112.20,121.70,"3,500","1,040.00",500,11.05,14.3,500,2.80,12.10,45.50,112,25,143,
,4,-,-,-,119.05,-,"1,000",96.95,105.50,"2,000","1,060.00",500,13.85,18.5,500,4.05,16.60,45.47,139,-28,168,
,25,1,1,40.65,83.65,-15.85,"1,000",82.10,89.45,500,"1,080.00",500,20.05,24.5,500,4.65,21.45,44.62,185,22,146,
,38,9,44,43.56,73.00,-11.55,"1,000",68.15,74.20,500,"1,100.00","1,000",26.05,28.0,500,5.90,27.95,44.38,333,6,514,
,63,16,35,43.17,60.65,-14.75,500,60.65,64.15,"3,000","1,120.00","1,000",32.9,35.6,500,7.25,35.60,44.05,214,-,196,
,184,51,172,43.64,50.55,-8.70,500,47.40,50.20,500,"1,140.00",500,42.0,45.9,500,9.05,45.20,44.33,284,42,324,
,332,53,437,42.75,40.30,-7.70,500,38.60,41.80,500,"1,160.00","1,500",51.9,55.85,500,9.40,54.80,43.40,405,-57,445,
,439,19,301,43.00,32.60,-6.30,500,32.05,32.95,500,"1,180.00","1,500",63.65,70.5,500,11.80,67.80,44.43,70,-8,254,
,"1,163",68,709,42.84,25.70,-5.50,500,24.95,25.60,500,"1,200.00","4,500",76.25,84.85,"5,000",13.00,80.85,44.40,60,2,511,
,353,3,238,42.73,20.00,-4.10,500,19.10,20.00,500,"1,220.00","1,000",90.7,98.9,"3,000",12.10,89.80,38.74,9,-7,91,
,639,20,309,42.46,15.20,-3.55,500,14.80,15.20,"2,000","1,240.00","1,000",106.35,113.95,500,12.60,108.90,42.89,2,-2,239,
,312,11,206,42.59,11.65,-2.80,500,10.55,12.00,"1,000","1,260.00","1,000",122.0,130.65,"2,500",-0.05,106.55,-,2,2,30,
,211,2,114,42.67,8.80,-2.25,"15,000",7.05,8.90,500,"1,280.00","2,000",138.45,147.55,"1,000",0.35,124.55,-,5,-3,87,
,754,74,286,43.07,6.75,-1.55,"1,000",6.30,7.00,"1,500","1,300.00","2,000",156.9,165.25,"2,500",12.75,154.00,28.24,3,1,138,
,129,-4,97,43.02,4.95,-1.25,"1,000",4.95,5.10,500,"1,320.00","1,000",174.85,182.8,500,-,154.00,-,-,-,11,
,129,4,88,43.02,3.60,-1.05,500,3.60,3.85,500,"1,340.00",500,193.35,202.2,"2,500",-,173.00,-,-,-,7,
,215,-15,61,43.38,2.70,-0.55,500,2.65,2.85,500,"1,360.00","1,500",212.1,220.65,"1,000",-,220.00,-,-,-,105,
-,-,-,-,-,-,-,-,-,-,-,"1,380.00","2,000",230.4,240.65,"1,500",-,175.00,-,-,-,11,
,478,-39,85,43.83,1.45,-0.40,500,1.20,1.50,500,"1,400.00","2,000",250.4,260.1,"3,500",-28.00,240.00,-,2,-,113,
,-,-,-,-,-,-,500,0.35,3.95,"20,000","1,440.00","1,500",289.75,301.85,"3,500",-,-,-,-,-,-,
,58,-,1,46.40,0.75,-0.10,500,0.25,0.80,"1,000","1,460.00","2,000",309.75,318.1,"1,500",-,260.95,-,-,-,7,
,203,-51,75,47.65,0.65,-,"55,500",0.65,0.75,"1,500","1,480.00","2,000",329.25,337.3,500,23.00,324.00,-,3,3,82,
,59,-29,55,50.12,0.50,0.15,500,0.25,0.50,500,"1,520.00","3,500",369.0,377.65,"2,000",-,320.00,-,-,-,28,
