Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,360.00","1,900",0.6,0.65,"1,425",0.05,0.60,34.48,387,-20,495,
,62,-,-,-,215.00,-,"1,900",219.05,231.25,"11,400","1,400.00","2,850",1.15,1.3,"3,800",0.20,1.30,33.39,"2,300",845,"1,606",
-,-,-,-,-,-,-,-,-,-,-,"1,420.00",950,1.25,1.45,475,0.35,1.45,31.35,845,83,484,
,-,-,-,-,-,-,"1,425",180.00,193.45,"1,425","1,440.00",950,1.85,2.05,"2,850",0.20,1.90,30.16,"1,360",490,922,
,-,-,-,-,-,-,"1,425",161.15,174.50,"3,325","1,460.00",475,2.95,3.15,950,0.70,2.95,30.02,"1,149",137,530,
,3,-,-,-,156.45,-,"3,325",142.35,155.80,"1,900","1,480.00",475,4.15,4.3,475,1.25,4.25,29.53,"1,010",63,392,
,156,2,36,21.10,132.10,-34.90,475,127.75,132.00,475,"1,500.00",950,5.95,6.6,950,1.90,6.05,29.08,"3,856",267,"1,955",
,12,1,7,-,110.40,-34.85,950,106.95,116.00,475,"1,520.00",475,7.45,8.85,475,2.55,7.95,28.03,"1,258",210,462,
,65,7,28,14.87,92.00,-41.95,475,93.75,100.25,475,"1,540.00",475,10.65,11.95,475,3.75,10.95,27.48,"2,067",233,907,
,49,11,44,21.71,79.80,-37.00,475,77.10,82.95,475,"1,560.00",950,14.4,15.15,475,5.20,14.80,26.89,"2,194",206,737,
,160,-44,155,21.01,63.80,-36.50,475,64.10,67.20,475,"1,580.00",475,16.0,20.75,950,7.30,20.00,26.51,"3,362",687,"1,293",
,893,-16,"1,477",22.94,52.95,-30.75,475,52.35,53.40,475,"1,600.00",475,27.05,28.4,475,10.60,27.35,26.70,"6,349",77,"2,301",
,"1,018",471,"2,930",23.23,41.80,-27.45,475,41.05,42.35,475,"1,620.00",950,33.15,36.0,"7,125",14.10,35.90,26.68,"3,580",3,800,
,"2,860","1,768","7,294",23.32,32.10,-23.75,475,31.80,32.30,"6,175","1,640.00",475,44.4,48.4,475,17.30,45.60,26.42,"4,602",-186,635,
,"3,085","1,512","7,847",23.47,24.20,-19.75,475,24.10,24.45,475,"1,660.00",475,55.8,59.85,475,22.00,58.40,27.21,"2,227",-332,441,
,"3,209",756,"7,288",23.05,17.10,-16.65,475,17.05,17.95,475,"1,680.00",475,66.6,74.35,950,24.80,70.90,26.88,815,-63,128,
,"5,412",501,"10,821",23.73,12.90,-12.70,475,12.90,13.00,"10,925","1,700.00","3,325",83.6,93.9,"3,800",29.80,87.45,28.60,635,29,464,
,"2,469",82,"3,497",24.02,9.30,-9.65,475,9.25,9.50,950,"1,720.00","1,900",98.05,107.9,"2,375",34.10,105.00,30.55,9,1,33,
,932,194,"2,709",24.75,7.00,-7.15,475,6.90,7.05,475,"1,740.00","1,900",116.0,126.05,"1,425",19.20,105.40,-,7,-3,13,
,988,339,"2,152",25.37,5.20,-5.30,"2,850",5.10,5.20,475,"1,760.00",475,134.05,142.8,475,-,105.45,-,-,-,11,
,595,276,"1,190",25.70,3.70,-4.20,475,3.70,3.85,950,"1,780.00","3,325",151.05,159.8,475,35.80,160.35,36.53,2,-,5,
,"2,227",385,"3,301",26.63,2.90,-3.10,950,2.85,2.95,950,"1,800.00",475,173.55,182.75,475,18.25,158.15,-,2,-,150,
,431,198,"1,257",27.06,2.10,-2.35,"3,800",2.00,2.10,"1,900","1,820.00","1,900",188.95,202.55,"1,425",-,-,-,-,-,-,
,876,320,"1,463",27.75,1.60,-1.75,"2,375",1.50,1.60,"1,900","1,840.00","1,425",204.35,222.05,"1,425",-,-,-,-,-,-,
,"1,228",147,692,29.13,0.95,-0.95,"1,425",0.90,1.00,"4,275","1,880.00","1,425",243.5,261.85,"1,425",-,-,-,-,-,-,
,-,-,-,-,-,-,950,0.40,1.80,"2,850","1,920.00","1,425",286.35,302.75,"1,425",-,-,-,-,-,-,
