Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,1,-,-,-,91.80,-,"12,500",97.00,100.20,"7,500",300.0,"82,500",0.20,0.30,"7,500",-0.05,0.25,55.69,49,-7,289,
,3,-,-,-,61.50,-,"12,500",92.10,95.20,"7,500",305.0,"25,000",0.15,0.35,"5,000",-0.10,0.25,52.88,5,-3,27,
,1,-,-,-,54.00,-,"25,000",86.85,90.45,"7,500",310.0,"27,500",0.25,0.40,"7,500",-0.05,0.30,51.46,10,-2,66,
-,-,-,-,-,-,-,-,-,-,-,315.0,"2,500",0.25,0.90,"7,500",-,6.65,-,-,-,1,
,1,-,-,-,49.50,-,"42,500",77.15,80.70,"7,500",320.0,"2,500",0.35,0.50,"7,500",-0.15,0.45,48.96,17,-4,107,
-,-,-,-,-,-,-,-,-,-,-,325.0,"2,500",0.40,0.65,"7,500",-0.25,0.50,46.91,20,-2,45,
,46,-,1,-,66.50,4.90,"10,000",67.35,70.55,"10,000",330.0,"10,000",0.65,0.80,"15,000",-0.25,0.70,46.81,117,-7,272,
,8,-,-,-,39.30,-,"25,000",62.65,65.50,"7,500",335.0,"7,500",0.80,0.95,"2,500",-0.25,0.90,46.05,56,24,149,
,18,-,-,-,54.80,-,"10,000",58.10,60.70,"10,000",340.0,"5,000",1.10,1.20,"2,500",-0.35,1.15,45.29,177,1,315,
,9,-,-,-,31.25,-,"10,000",53.45,55.90,"10,000",345.0,"5,000",1.35,1.55,"2,500",-0.40,1.50,44.82,58,11,191,
,75,-3,6,-,47.45,4.70,"2,500",49.35,50.80,"2,500",350.0,"2,500",1.85,1.95,"2,500",-0.55,1.90,44.12,565,20,"1,097",
,48,-,-,-,38.00,-0.05,"10,000",44.05,46.60,"2,500",355.0,"2,500",2.25,2.35,"2,500",-0.85,2.15,42.08,81,-13,121,
,227,-14,25,-,36.15,1.80,"2,500",40.45,42.10,"5,000",360.0,"2,500",2.80,3.00,"5,000",-0.70,3.00,42.78,367,-2,446,
,109,-6,9,28.20,36.25,5.90,"2,500",36.20,38.15,"12,500",365.0,"2,500",3.55,3.65,"2,500",-1.00,3.60,41.56,123,19,184,
,255,-34,77,32.77,32.75,6.45,"7,500",32.00,33.25,"5,000",370.0,"2,500",4.40,4.55,"2,500",-1.25,4.50,41.04,538,42,421,
,327,-5,17,33.46,28.90,6.15,"2,500",27.90,30.25,"5,000",375.0,"2,500",5.30,6.35,"50,000",-1.50,5.55,40.44,173,-11,131,
,499,9,291,32.99,25.00,5.45,"2,500",24.65,25.50,"2,500",380.0,"7,500",6.80,6.95,"2,500",-1.95,6.85,40.03,767,157,482,
,114,-13,225,34.22,21.90,5.25,"2,500",21.10,22.05,"2,500",385.0,"2,500",8.20,9.55,"5,000",-2.40,8.50,40.01,414,38,132,
,267,-49,946,34.03,18.65,4.60,"2,500",18.10,18.85,"5,000",390.0,"2,500",10.25,10.40,"2,500",-2.75,10.40,39.98,982,91,268,
,140,-24,959,34.67,16.00,4.10,"2,500",15.70,16.35,"5,000",395.0,"5,000",12.40,13.00,"2,500",-3.20,12.70,40.33,587,76,178,
,"1,275",67,"4,767",35.40,13.70,3.80,"2,500",13.60,13.75,"2,500",400.0,"2,500",14.45,15.15,"2,500",-3.70,15.15,40.38,693,70,228,
,194,74,749,35.09,11.30,3.35,"2,500",11.30,11.50,"2,500",405.0,"2,500",17.60,18.45,"7,500",-4.30,17.80,40.29,77,17,21,
,455,21,"2,145",35.35,9.40,2.85,"5,000",9.35,9.60,"2,500",410.0,"2,500",20.60,21.55,"2,500",-4.55,20.90,40.73,58,8,41,
,136,27,299,35.29,7.65,2.40,"2,500",6.50,7.65,"2,500",415.0,"10,000",21.75,24.80,"5,000",-4.30,24.85,42.88,1,-,5,
,402,100,"1,430",35.51,6.25,2.10,"2,500",6.15,6.30,"7,500",420.0,"10,000",26.55,28.25,"2,500",-5.45,27.70,41.41,22,1,14,
,76,3,329,35.18,4.90,1.60,"5,000",4.90,5.05,"5,000",425.0,"10,000",29.90,32.85,"7,500",-4.05,32.25,44.31,4,1,4,
,503,107,"1,190",35.47,3.95,1.35,"2,500",3.85,4.00,"7,500",430.0,"7,500",33.90,36.45,"17,500",-3.70,37.70,49.68,2,1,2,
,11,11,31,36.09,3.25,-0.25,"2,500",3.00,3.35,"2,500",435.0,"7,500",38.10,40.80,"17,500",-,-,-,-,-,-,
,365,118,889,36.15,2.55,0.90,"2,500",2.50,2.55,"12,500",440.0,"7,500",42.45,45.05,"5,000",-,82.25,-,-,-,6,
,7,7,18,36.30,2.00,-0.65,"20,000",0.05,3.50,"75,000",445.0,"7,500",44.60,51.20,"17,500",-,-,-,-,-,-,
,554,120,980,36.39,1.55,0.50,"7,500",1.50,1.60,"17,500",450.0,-,-,-,-,-,-,-,-,-,-,-
