Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"5,400",62.8,64.95,"7,200",200.0,-,-,0.10,"1,800",-0.30,0.10,50.57,2,1,1,
,-,-,-,-,-,-,"5,400",57.8,60.35,"5,400",205.0,"1,800",0.05,0.30,"3,600",-,-,-,-,-,-,
,1,-,-,-,52.20,-,"9,000",52.7,54.7,"7,200",210.0,"1,98,000",0.10,0.15,"10,800",-0.05,0.15,45.13,110,3,785,
,9,-,-,-,39.10,-,"12,600",48.0,49.9,"7,200",215.0,"16,200",0.15,0.30,"5,400",-,0.25,44.49,1,1,95,
,7,-,-,-,36.60,-,"7,200",43.0,45.05,"7,200",220.0,"7,200",0.30,0.35,"1,800",-0.15,0.30,41.52,183,-47,279,
,14,-,-,-,38.00,-,"12,600",38.2,40.25,"3,600",225.0,"46,800",0.40,0.50,"7,200",-0.10,0.50,41.04,34,13,224,
,49,-2,22,-,33.70,0.95,"1,800",33.85,35.45,"1,800",230.0,"18,000",0.60,0.85,"5,400",-0.15,0.65,38.61,341,43,574,
,67,-4,11,-,29.15,0.60,"1,800",29.2,30.7,"12,600",235.0,"7,200",0.90,0.95,"5,400",-0.20,0.95,37.18,207,16,405,
,161,1,37,24.05,24.65,0.65,"1,800",24.85,25.6,"1,800",240.0,"7,200",1.30,1.40,"7,200",-0.25,1.35,35.54,714,80,824,
,167,-6,12,26.09,20.25,0.60,"1,800",20.2,21.7,"5,400",245.0,"9,000",1.75,1.95,"1,800",-0.35,1.90,33.84,481,-78,368,
,259,-69,329,25.88,16.00,0.20,"3,600",16.1,16.9,"1,800",250.0,"10,800",2.55,2.70,"5,400",-0.65,2.60,31.79,"1,047",-5,949,
,370,-17,573,28.91,12.85,0.70,"5,400",11.85,13.6,"21,600",255.0,"3,600",3.75,3.90,"5,400",-0.75,3.80,30.82,"1,007",33,447,
,"1,209",-304,"2,738",27.96,9.45,0.45,"7,200",9.35,9.55,"1,800",260.0,"3,600",5.40,5.50,"3,600",-1.00,5.40,29.79,"3,368",-15,911,
,"1,278",102,"4,202",27.15,6.60,0.20,"3,600",6.6,6.7,"3,600",265.0,"3,600",7.25,8.25,"1,800",-1.20,7.60,29.21,"2,066",160,529,
,"5,421",2,"9,220",27.08,4.50,0.10,"5,400",4.45,4.5,"12,600",270.0,"7,200",10.20,11.20,"5,400",-1.45,10.40,28.93,"1,474",59,602,
,"1,865",875,"3,536",27.57,3.05,-0.05,"7,200",2.9,3.1,"7,200",275.0,"5,400",13.50,14.45,"1,800",-1.20,14.30,31.32,177,18,141,
,"2,407",32,"3,205",28.50,2.10,-0.10,"5,400",2.1,2.15,"16,200",280.0,"1,800",17.60,18.50,"3,600",-1.30,18.60,34.20,83,6,240,
,686,24,989,29.16,1.40,-0.15,"14,400",1.4,1.5,"7,200",285.0,"1,800",22.10,23.20,"3,600",-0.95,23.00,36.59,12,4,78,
,"1,482",-24,"1,081",30.89,1.05,-0.10,"37,800",1.0,1.1,"16,200",290.0,"3,600",26.25,27.40,"3,600",-1.00,27.00,35.44,15,-5,133,
,422,18,239,32.04,0.75,-0.10,"23,400",0.7,0.8,"59,400",295.0,"18,000",30.55,32.70,"5,400",-,43.75,-,-,-,22,
,"4,587",225,"1,719",33.93,0.60,-0.05,"52,200",0.6,0.65,"93,600",300.0,"12,600",35.60,37.05,"1,800",0.95,36.65,41.53,25,3,229,
,373,-3,121,35.94,0.50,-0.05,"5,400",0.4,0.5,"7,200",305.0,-,-,-,-,-,-,-,-,-,-,-
,504,25,116,37.50,0.40,0.05,"12,600",0.35,0.4,"95,400",310.0,"7,200",45.30,47.35,"7,200",-1.35,43.85,-,10,8,168,
,90,-13,50,38.51,0.30,-0.05,"5,400",0.25,0.3,"1,800",315.0,-,-,-,-,-,-,-,-,-,-,-
,362,4,85,40.12,0.25,-,"54,000",0.2,0.25,"88,200",320.0,"7,200",54.85,56.15,"7,200",-1.70,56.00,50.09,10,-1,252,
,33,-,10,42.80,0.25,-,"84,600",0.15,0.25,"36,000",325.0,"5,400",59.70,61.90,"12,600",-,57.00,-,-,-,2,
,56,-,8,42.14,0.15,-0.05,"41,400",0.15,0.2,"16,200",330.0,"5,400",64.90,66.95,"7,200",-,69.75,-,-,-,28,
,48,2,5,46.92,0.15,-,"1,56,600",0.1,0.15,"61,200",340.0,"5,400",74.85,76.85,"7,200",-,81.00,-,-,-,30,
,159,-1,13,51.48,0.15,-,"1,56,600",0.1,0.15,"50,400",350.0,"18,000",84.65,85.95,"1,800",-8.15,85.50,61.78,2,-,75,
