Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"3,600.00",250,3.50,6.30,125,1.90,6.05,87.55,14,10,40,
-,-,-,-,-,-,-,-,-,-,-,"4,200.00",500,6.00,-,-,1.30,8.00,62.87,166,65,359,
-,-,-,-,-,-,-,-,-,-,-,"4,300.00",125,5.50,-,-,1.90,12.80,63.62,64,43,57,
-,-,-,-,-,-,-,-,-,-,-,"4,400.00",125,7.30,24.10,125,4.50,12.00,58.23,6,-,23,
,95,-,-,-,"1,247.35",-,250,"1,069.35","1,125.55","1,125","4,500.00",125,19.20,20.00,500,9.50,20.25,59.89,"1,184",127,"1,098",
,-,-,-,-,-,-,500,976.00,"1,029.80",625,"4,600.00",125,12.45,27.00,250,12.50,27.00,58.92,479,113,204,
,2,-,-,-,707.85,-,500,884.95,965.75,"1,250","4,700.00",375,24.00,61.95,"1,250",14.10,32.00,56.30,546,-19,206,
,47,-,1,61.73,849.00,57.35,125,796.40,842.05,375,"4,800.00",375,38.00,43.50,125,20.55,43.40,55.84,861,108,381,
,1,-,-,-,590.00,-,375,651.30,766.85,625,"4,900.00",125,53.50,59.00,125,24.40,54.20,54.17,678,70,299,
,323,-22,76,45.54,636.00,-228.60,125,628.95,658.25,250,"5,000.00",500,67.60,73.60,250,32.85,72.05,53.85,"6,847",116,"1,716",
,202,178,217,46.30,558.10,-224.60,375,551.50,573.40,125,"5,100.00",250,90.00,96.45,125,43.50,94.65,53.69,"1,654",111,458,
,284,-30,78,47.48,488.00,-207.45,125,479.10,504.60,125,"5,200.00",125,115.00,120.00,250,50.85,117.00,52.38,"3,407",167,"1,195",
,720,-13,155,48.08,422.00,-192.95,250,406.45,436.35,125,"5,300.00",125,144.00,150.00,750,60.90,145.55,51.49,"3,088",190,"1,087",
,697,-17,356,46.68,352.50,-185.85,125,351.10,360.75,"1,000","5,400.00",125,182.05,188.00,250,79.85,187.95,52.37,"2,788",-9,580,
,"1,337",92,"1,330",48.25,304.00,-165.40,125,300.00,305.00,125,"5,500.00",125,226.00,231.00,375,93.10,229.00,51.81,"5,423",318,"1,166",
,"1,147",425,"3,608",49.00,257.85,-146.70,125,254.30,258.00,250,"5,600.00",125,269.40,283.85,125,114.75,283.95,52.80,"6,118",185,750,
,"1,269",549,"6,535",48.66,212.00,-133.70,250,208.30,213.00,125,"5,700.00",750,318.50,338.20,125,129.50,341.20,53.17,"3,693",-139,337,
,"1,856",74,"6,292",48.40,175.00,-118.35,250,172.00,175.00,250,"5,800.00",125,386.65,404.30,125,128.25,386.70,50.25,"2,212",-11,575,
,723,30,"4,253",49.27,145.00,-102.80,250,141.00,145.00,125,"5,900.00",250,451.50,471.75,250,159.00,471.90,54.04,383,44,124,
,"2,906",237,"9,906",49.47,117.00,-90.40,125,115.25,117.00,500,"6,000.00",125,526.55,554.80,"1,000",176.00,547.65,55.22,386,73,286,
,503,79,"3,057",49.58,94.00,-77.20,375,92.10,97.20,500,"6,100.00",500,603.10,639.00,500,121.75,560.00,40.35,2,1,15,
,915,192,"3,606",49.23,73.15,-67.25,250,73.35,76.00,125,"6,200.00",500,683.40,725.70,250,172.80,662.80,45.80,5,-1,9,
,836,456,"2,410",50.00,59.95,-53.40,250,58.50,60.00,375,"6,300.00",500,769.20,802.75,250,-407.15,692.45,-,7,2,2,
,490,211,"1,538",50.07,47.00,-46.40,125,38.00,48.50,125,"6,400.00",625,831.35,898.80,375,-,-,-,-,-,-,
,"1,597",212,"4,709",50.47,37.45,-36.60,125,36.00,37.50,125,"6,500.00",500,946.30,975.45,500,129.95,875.00,-,2,-1,16,
,826,-109,"2,255",50.64,29.25,-29.65,125,27.00,30.00,125,"6,600.00",625,"1,013.95","1,122.75",875,-,-,-,-,-,-,
,"1,066",59,"2,790",54.98,24.75,-11.50,"2,250",18.00,24.80,125,"6,800.00",-,-,-,-,-,-,-,-,-,-,-
