Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"1,400",359.65,375.75,"1,750",960.00,700,0.10,6.45,"14,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,450",320.25,330.75,"1,050","1,000.00","4,550",1.15,1.60,"6,300",-,1.15,58.73,40,8,267,
,-,-,-,-,-,-,"2,450",280.6,295.95,"1,050","1,040.00",350,0.70,5.20,350,0.15,1.20,52.13,10,-,181,
,-,-,-,-,-,-,"1,400",260.4,279.4,"1,050","1,060.00",350,0.40,6.85,"2,450",-,-,-,-,-,-,
,-,-,-,-,227.70,-,"1,400",242.05,253.3,"1,050","1,080.00",700,1.50,2.50,350,0.65,2.40,51.14,27,-18,128,
,17,-,-,-,174.00,-,"1,400",222.15,235.75,"1,050","1,100.00","1,050",2.85,2.95,350,0.50,2.90,49.27,115,-28,395,
,4,-,-,-,185.60,-,"1,400",202.9,215.7,"1,050","1,120.00","14,000",1.35,4.50,350,1.50,4.15,49.18,27,-12,68,
,12,-,-,-,138.20,-,"1,400",184.7,193.4,"1,050","1,140.00",700,4.60,4.70,350,1.30,4.85,46.96,121,-23,304,
,9,-,-,-,171.95,-,"1,750",165.5,176.65,"1,050","1,160.00",350,5.25,6.20,350,1.60,6.25,45.85,157,10,184,
,20,-,-,-,179.90,-,"1,400",147.3,161.9,"1,050","1,180.00",350,6.50,9.00,350,2.00,7.90,44.56,257,-73,118,
,241,5,17,-,134.50,-23.95,350,132.4,138.7,350,"1,200.00",350,9.05,10.70,350,2.25,9.80,43.05,654,-59,730,
,30,-,-,-,144.95,-,"1,050",113.95,122.9,"1,050","1,220.00",350,11.20,13.95,350,3.15,13.35,43.04,226,-19,200,
,236,6,14,28.48,103.00,-20.20,350,102.1,108.3,"1,400","1,240.00",350,15.00,17.95,350,3.25,16.70,41.86,419,29,444,
,465,-15,56,29.44,87.30,-18.65,350,82.9,94.9,"1,050","1,260.00",350,19.20,23.45,350,4.65,22.10,41.96,608,1,773,
,443,-8,131,30.95,73.80,-17.45,350,73.9,76.15,350,"1,280.00",350,26.95,28.65,350,5.90,28.30,41.80,484,63,550,
,"1,719",5,"1,132",32.92,62.70,-14.55,350,62.7,63.95,350,"1,300.00",350,32.20,36.50,350,7.40,36.50,42.37,"1,768",97,"1,552",
,630,71,662,33.74,52.00,-14.10,350,52.05,52.6,350,"1,320.00",350,45.20,46.90,350,8.55,45.75,42.80,847,11,218,
,"1,961","1,037","4,681",34.94,43.35,-12.45,350,43.2,43.7,350,"1,340.00",700,55.55,57.00,"1,400",9.60,56.15,43.19,"1,236",169,460,
,"1,244",-177,"2,464",35.58,35.40,-10.95,700,35.3,35.7,350,"1,360.00",350,67.00,70.95,350,12.75,69.85,45.28,612,47,368,
,578,-71,947,35.60,28.00,-10.45,350,26.95,29.95,350,"1,380.00",350,77.45,87.10,"1,400",13.35,82.15,45.45,139,22,122,
,"3,966",415,"2,661",36.66,23.00,-8.00,350,22.75,23.2,"1,750","1,400.00",350,94.30,101.05,"1,400",14.90,96.30,46.35,70,23,358,
,637,36,431,36.88,18.05,-6.90,350,17.15,18.95,350,"1,420.00",350,107.40,116.30,"1,050",-,90.80,-,-,-,53,
,578,89,641,36.75,13.70,-6.65,350,13.5,16.45,700,"1,440.00","1,050",119.00,133.15,"1,750",7.35,113.20,34.28,2,2,34,
,446,7,391,37.37,10.85,-6.00,350,11.5,11.9,700,"1,460.00","1,050",140.20,148.75,350,9.20,135.00,40.33,11,3,85,
,627,137,592,38.57,9.00,-4.35,"10,500",7.25,9.2,350,"1,480.00",350,156.85,167.65,"1,050",-,142.50,-,-,-,58,
,"3,104",273,"1,782",39.35,7.25,-3.80,"1,400",7.3,7.5,700,"1,500.00",350,178.05,181.55,350,20.75,179.75,53.47,19,8,282,
,340,2,141,40.30,5.95,-2.90,350,5.7,5.95,350,"1,520.00","1,400",193.80,204.75,"1,050",-,177.50,-,-,-,27,
,258,-3,87,40.82,4.70,-2.55,350,4.65,4.9,700,"1,540.00","1,400",212.65,219.05,700,-57.65,210.30,48.55,4,-,155,
,264,18,105,42.02,4.00,-1.90,700,3.95,4.05,350,"1,560.00","1,400",232.10,238.15,"1,400",-67.90,233.95,57.12,19,13,24,
,139,3,42,42.33,3.10,-1.75,700,3.2,3.4,350,"1,580.00","1,050",251.30,261.85,"1,050",-,286.20,-,-,-,10,
,"1,902",162,947,44.22,2.90,-1.25,"1,050",2.95,3.0,350,"1,600.00","1,400",264.90,277.85,"1,400",18.00,275.00,65.11,44,37,296,
,62,-1,1,45.33,2.50,-2.50,350,1.6,4.9,350,"1,620.00",-,-,-,-,-,-,-,-,-,-,-
,84,-,3,45.16,1.85,-0.75,"1,050",1.05,2.15,350,"1,640.00","1,050",306.10,315.60,350,-,398.35,-,-,-,26,
,6,-,-,-,2.00,-,350,0.8,4.95,350,"1,660.00","1,400",326.30,341.95,"1,750",-,393.00,-,-,-,4,
,2,-,-,-,48.00,-,"7,350",0.55,6.8,"1,050","1,680.00",-,-,-,-,-,-,-,-,-,-,-
,647,26,102,50.84,1.70,-0.25,700,1.65,1.75,"2,100","1,700.00","1,050",367.30,375.25,700,-,347.55,-,-,-,83,
,20,-,-,-,1.40,-,"3,500",1.0,1.4,"3,500","1,720.00","1,400",386.10,398.55,"1,400",-21.70,375.60,-,1,-,5,
,47,-1,1,51.38,1.10,-,"2,100",0.4,6.2,"14,000","1,740.00","1,400",407.80,422.00,"1,750",-,250.00,-,-,-,2,
,9,-6,7,53.59,1.15,-0.90,350,1.25,2.05,350,"1,760.00",-,-,-,-,-,-,-,-,-,-,-
,26,-,-,-,1.00,-,"7,000",0.4,2.0,350,"1,780.00","1,050",448.10,460.30,350,-,521.45,-,-,-,15,
,537,28,92,56.88,1.10,-0.30,700,1.0,1.1,"5,950","1,800.00","1,050",466.35,476.00,"1,400",-,532.75,-,-,-,134,
,34,1,2,59.21,0.95,-0.40,"7,000",0.1,4.2,"14,000","1,840.00","1,400",504.20,519.85,"3,500",-,550.00,-,-,-,1,
,1,-,-,-,1.05,-,"7,000",0.1,5.55,"14,000","1,860.00","1,050",525.70,544.10,"2,450",-,550.00,-,-,-,1,
,15,-,-,-,0.85,-,"7,000",0.1,1.8,350,"1,880.00",-,-,-,-,-,-,-,-,-,-,-
,61,-,-,-,1.00,-,"1,050",0.6,1.2,350,"1,900.00","1,400",568.00,577.45,"1,400",-,600.60,-,-,-,8,
,32,-,-,-,0.90,-,"7,000",0.1,4.95,350,"1,920.00",-,-,-,-,-,-,-,-,-,-,-
,48,-,1,68.15,0.60,-0.30,700,0.55,0.9,700,"2,000.00","14,000",585.70,751.65,"14,000",-,660.00,-,-,-,8,
