Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"20,475",27.80,29.75,"11,700",110.0,"2,925",0.05,1.10,"8,775",-,0.20,52.69,1,1,1,
,-,-,-,-,-,-,"20,475",23.00,24.75,"11,700",115.0,"2,925",0.20,1.05,"8,775",-,-,-,-,-,-,
,2,-,-,-,18.25,-,"35,100",18.35,19.45,"11,700",120.0,"8,775",0.60,0.70,"8,775",0.05,0.65,46.61,119,48,216,
,4,-,-,-,14.90,-,"20,475",13.90,14.90,"11,700",125.0,"5,850",1.05,1.20,"5,850",-0.25,1.15,43.76,37,23,102,
,38,1,1,37.18,10.35,-1.65,"8,775",9.55,10.65,"2,925",130.0,"5,850",1.80,1.90,"2,925",0.10,1.90,40.15,197,67,255,
-,-,-,-,-,-,-,-,-,-,-,130.5,"11,700",1.35,3.20,"8,775",-0.25,2.25,42.20,5,1,4,
,84,-19,67,34.26,6.60,-1.60,"2,925",6.45,7.05,"2,925",135.0,"5,850",3.25,3.35,"5,850",0.30,3.35,38.50,95,16,310,
,600,223,"1,603",34.49,4.00,-1.30,"20,475",3.90,4.00,"5,850",140.0,"14,625",5.10,5.80,"2,925",0.35,5.55,37.17,309,-16,187,
,47,4,26,34.23,3.75,-1.35,"2,925",3.70,3.85,"2,925",140.5,"17,550",5.40,6.25,"2,925",1.35,6.20,39.98,73,58,87,
,601,6,352,34.44,2.20,-1.10,"8,775",2.15,2.25,"5,850",145.0,"11,700",8.30,9.25,"8,775",1.90,9.00,39.73,2,-,65,
,31,7,29,34.77,2.10,-1.10,"2,925",2.05,2.15,"2,925",145.5,"11,700",8.75,9.60,"2,925",-0.75,8.85,35.50,1,1,13,
,482,56,402,36.05,1.25,-0.80,"8,775",1.20,1.30,"14,625",150.0,"11,700",12.40,13.40,"20,475",2.90,12.95,41.83,2,-,15,
,58,22,51,36.43,1.20,-0.75,"2,925",1.10,1.25,"2,925",150.5,-,-,-,-,-,-,-,-,-,-,-
,255,26,216,37.58,0.70,-0.60,"8,775",0.70,0.75,"5,850",155.0,"11,700",16.75,17.65,"2,925",-,17.00,-,-,-,13,
,58,-1,1,43.92,1.10,0.50,"46,800",0.25,1.30,"11,700",155.5,"20,475",16.90,18.65,"11,700",-,17.55,-,-,-,77,
,"1,189",7,"1,419",41.35,0.50,-0.35,"1,84,275",0.45,0.55,"55,575",160.0,"11,700",21.55,22.55,"8,775",-,26.45,-,-,-,141,
,80,21,30,42.02,0.50,-0.40,"5,850",0.40,0.50,"2,925",160.5,"11,700",21.85,22.95,"20,475",-,21.00,-,-,-,3,
,178,40,102,44.36,0.35,-0.20,"43,875",0.30,0.35,"23,400",165.0,"11,700",26.30,27.40,"20,475",-,-,-,-,-,-,
,44,-3,3,46.23,0.40,-0.20,"2,925",0.25,0.35,"2,925",165.5,"8,775",26.70,27.80,"20,475",-,28.10,-,-,-,4,
,159,13,35,47.13,0.25,-0.15,"11,700",0.20,0.30,"14,625",170.0,"20,475",31.15,32.30,"35,100",-,38.20,-,-,-,3,
,6,-,-,-,0.20,-,"14,625",0.10,0.75,"11,700",170.5,"11,700",31.65,32.95,"14,625",-,29.00,-,-,-,3,
,10,-,-,-,0.25,-,"2,925",0.25,0.40,"14,625",175.5,"11,700",36.70,37.80,"14,625",-,12.00,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,180.0,"11,700",40.95,42.30,"20,475",-,36.35,-,-,-,14,
,5,-,-,-,0.20,-,"29,250",0.05,0.90,"11,700",180.5,"11,700",41.55,42.85,"2,925",-,44.00,-,-,-,2,
,48,2,4,58.04,0.15,-0.05,"2,925",0.10,0.25,"2,925",185.5,"11,700",46.55,47.75,"35,100",-,47.60,-,-,-,2,
,1,-,-,-,1.00,-,-,-,0.75,"17,550",195.5,-,-,-,-,-,-,-,-,-,-,-
