Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,2,-,2,-,80.95,8.45,"10,500",78.20,81.30,"4,200",300.0,"1,03,950",0.05,0.10,"6,300",-0.10,0.05,39.03,2,-,128,
,-,-,-,-,-,-,"7,350",68.80,71.45,"4,200",310.0,"31,500",0.10,0.15,"21,000",-,0.15,39.17,26,-,329,
,-,-,-,-,-,-,"7,350",58.50,61.75,"7,350",320.0,"33,600",0.15,0.20,"3,150",-,0.20,35.33,21,-14,509,
-,-,-,-,-,-,-,-,-,-,-,325.0,"47,250",0.15,0.30,"3,150",-0.05,0.25,33.78,36,-1,790,
,-,-,-,-,-,-,"7,350",48.70,51.80,"4,200",330.0,"36,750",0.30,0.40,"3,150",-0.05,0.35,32.84,150,-13,593,
,-,-,-,-,-,-,"10,500",44.10,46.90,"4,200",335.0,"3,150",0.45,0.55,"6,300",-0.05,0.50,32.04,585,147,374,
,29,-,-,-,44.70,-,"7,350",39.50,42.20,"7,350",340.0,"3,150",0.70,0.80,"4,200",-0.10,0.70,31.16,511,-114,"1,176",
,92,-1,7,-,36.10,-4.90,"1,050",35.80,38.35,"8,400",345.0,"2,100",1.00,1.95,"1,050",-,1.05,30.85,195,22,315,
,132,-5,11,-,31.55,-3.55,"1,050",30.85,32.80,"1,050",350.0,"3,150",1.45,1.60,"1,050",-,1.45,30.01,743,-71,"1,129",
,83,3,17,20.98,27.20,-2.80,"1,050",26.45,28.45,"1,050",355.0,"5,250",2.00,2.10,"2,100",0.05,2.00,29.25,324,44,466,
,175,16,57,22.92,23.10,-3.05,"1,050",22.30,23.70,"1,050",360.0,"8,400",2.70,2.80,"4,200",0.15,2.75,28.58,769,23,"1,098",
,46,1,12,22.81,19.00,-3.15,"1,050",18.50,19.70,"1,050",365.0,"5,250",3.70,3.80,"5,250",0.35,3.75,27.97,"1,203",123,604,
,556,-16,287,22.86,15.30,-2.70,"1,050",14.80,15.80,"3,150",370.0,"1,050",5.00,5.10,"2,100",0.55,5.05,27.41,"1,058",15,"1,423",
,508,8,507,22.83,12.00,-2.50,"1,050",11.20,12.00,"3,150",375.0,"5,250",6.60,6.80,"2,100",0.75,6.65,26.76,"1,709",-25,819,
,"1,454",27,"2,172",22.93,9.20,-2.10,"2,100",9.05,9.20,"1,050",380.0,"2,100",8.50,9.15,"1,050",1.15,8.75,26.47,"1,702",-3,"1,532",
,923,40,"1,873",22.54,6.70,-1.90,"5,250",6.70,7.20,"3,150",385.0,"7,350",10.25,11.85,"1,050",1.45,11.30,26.30,544,-29,658,
,"2,270",-30,"2,189",23.11,5.00,-1.40,"1,050",4.85,5.00,"1,050",390.0,"1,050",13.80,15.45,"2,100",1.85,14.60,27.13,228,-10,829,
,"1,258",-5,"1,264",23.22,3.55,-1.15,"3,150",3.45,3.55,"1,050",395.0,"8,400",17.10,18.80,"3,150",1.85,17.90,26.93,65,-15,426,
,"4,853",369,"2,596",23.69,2.55,-0.80,"8,400",2.50,2.60,"19,950",400.0,"1,050",21.55,22.40,"2,100",2.10,21.80,27.62,65,-10,"1,238",
,"2,097",78,"1,523",23.87,1.75,-0.55,"7,350",1.75,1.85,"7,350",405.0,"9,450",25.35,27.15,"1,050",3.00,26.55,30.64,22,-2,243,
,"4,499",-200,"1,857",24.46,1.25,-0.35,"4,200",1.20,1.30,"10,500",410.0,"7,350",29.75,31.70,"2,100",2.65,30.65,30.69,3,-1,262,
,970,-35,390,25.46,0.95,-0.25,"5,250",0.90,1.05,"1,050",415.0,"1,050",34.20,36.65,"2,100",-,31.25,-,-,-,80,
,"1,777",-86,782,26.61,0.75,-0.15,"64,050",0.65,0.75,"8,400",420.0,"10,500",39.25,41.10,"3,150",3.40,39.65,32.26,4,1,561,
,801,19,133,27.25,0.55,-0.15,"22,050",0.50,0.60,"3,150",425.0,"7,350",43.75,46.50,"2,100",-,39.40,-,-,-,157,
,960,51,285,28.44,0.45,-0.10,"4,200",0.40,0.45,"7,350",430.0,"7,350",48.80,51.10,"3,150",-,43.90,-,-,-,287,
,525,16,181,29.30,0.35,-0.05,"3,150",0.30,0.40,"8,400",435.0,"1,050",53.45,56.20,"1,050",-,41.15,-,-,-,109,
,"1,186",-56,158,30.58,0.30,-0.05,"68,250",0.25,0.30,"54,600",440.0,"7,350",58.35,60.90,"1,050",0.15,53.20,-,-,-,88,
,"1,658",-50,147,32.46,0.20,-,"1,22,850",0.15,0.20,"42,000",450.0,"4,200",68.25,69.80,"4,200",-0.35,70.20,-,-,-,"2,948",
,18,2,7,36.08,0.20,-,"5,250",0.15,0.35,"3,150",460.0,"4,200",78.25,81.15,"7,350",-,-,-,-,-,-,
,312,-,9,36.17,0.10,-0.05,"61,950",0.10,0.15,"12,600",470.0,-,-,-,-,-,-,-,-,-,-,-
