Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,525,"1,904.00","1,969.35",300,"6,600.00","2,250",1.35,8.90,"2,250",-,-,-,-,-,-,
,-,-,-,-,-,-,525,"1,708.65","1,792.80",225,"6,800.00",75,3.35,7.50,150,0.40,7.00,47.54,1,-,97,
,-,-,-,-,-,-,225,"1,512.15","1,589.05",225,"7,000.00","2,325",6.00,10.00,225,-1.90,9.00,44.13,92,2,460,
,1,-,-,-,932.35,-,225,"1,314.30","1,394.30",225,"7,200.00","2,250",8.35,13.80,"1,500",-3.10,10.65,40.02,82,-38,103,
,-,-,-,-,-,-,525,"1,220.75","1,319.25",225,"7,300.00",150,13.00,49.00,150,-0.95,17.25,-,-,-,96,
,1,-,-,-,765.30,-,525,"1,118.95","1,184.25",225,"7,400.00",150,17.05,21.55,75,-4.25,17.10,38.10,154,2,276,
,1,-,-,-,650.00,-,525,"1,025.90","1,089.35",225,"7,500.00",75,21.60,27.50,75,-4.40,22.60,37.52,181,-32,519,
,12,-,-,-,836.05,-,300,932.90,991.70,300,"7,600.00",75,23.10,34.95,75,-6.25,27.95,36.40,169,1,234,
,9,-,-,-,747.05,-3.25,300,838.85,904.05,225,"7,700.00",75,30.20,39.90,75,-5.35,37.75,36.17,117,-,353,
,35,-,2,28.84,778.00,126.65,450,750.20,815.55,225,"7,800.00",75,44.10,57.00,75,-7.85,46.55,35.08,348,-26,326,
,108,-1,4,31.43,700.70,-9.30,450,663.95,721.15,300,"7,900.00",675,58.00,62.45,75,-6.50,60.85,34.71,217,18,270,
,468,2,13,28.73,604.85,-4.75,75,596.60,628.95,75,"8,000.00",75,76.25,80.00,225,-8.85,76.25,33.92,918,108,"1,594",
,248,-12,15,29.03,526.70,-3.30,75,501.65,554.00,75,"8,100.00",75,85.00,98.00,150,-8.05,97.20,33.49,499,19,402,
,469,-,23,29.03,452.30,-5.50,225,437.10,485.55,525,"8,200.00",150,118.00,122.95,75,-10.90,121.00,32.83,609,30,656,
,"1,027",-8,199,28.30,378.55,-7.05,75,368.85,411.95,75,"8,300.00",75,147.10,151.60,150,-10.95,151.00,32.39,576,6,638,
,"1,188",-52,386,28.13,314.65,-7.55,75,312.50,330.25,75,"8,400.00",75,186.25,189.95,75,-11.45,186.30,31.95,966,-15,"1,181",
,"1,877",13,"2,367",28.62,262.75,-4.60,150,260.00,265.00,75,"8,500.00",75,225.05,236.60,75,-11.75,229.70,31.80,"1,748",-51,"1,554",
,"1,057",123,"3,950",28.26,210.85,-7.45,75,210.55,215.50,75,"8,600.00",150,256.90,283.40,75,-9.20,279.85,31.73,782,-5,394,
,752,-33,"2,036",28.47,170.25,-3.20,225,168.00,170.00,75,"8,700.00",75,309.20,343.10,75,-4.65,340.50,32.23,81,12,357,
,743,-30,"1,152",28.15,132.00,-5.35,75,125.05,140.95,75,"8,800.00",75,391.65,420.95,"1,575",-19.55,390.45,30.62,48,-,213,
,419,-38,840,28.18,102.50,-4.90,75,90.80,112.95,75,"8,900.00",225,442.85,496.45,150,-,556.45,-,-,-,48,
,"1,922",-61,"2,155",28.48,80.15,-5.25,75,80.05,82.00,75,"9,000.00",75,519.85,553.80,75,7.10,565.00,35.39,28,-16,379,
,367,-92,573,28.85,62.55,-3.85,75,60.30,78.55,"1,500","9,100.00",225,601.25,656.50,75,-52.80,580.50,25.12,8,-5,35,
,645,-24,344,29.09,47.95,-3.75,75,47.45,56.95,75,"9,200.00",225,672.80,739.70,75,-7.35,712.45,-,-,-,83,
,683,74,481,29.44,36.90,-4.10,75,35.05,41.95,75,"9,300.00",375,771.95,825.85,75,-17.25,787.70,32.53,1,-1,44,
,348,4,346,29.90,28.70,-3.35,75,28.00,34.35,75,"9,400.00",225,853.30,921.05,300,-,810.95,-,-,-,25,
,"1,300",20,574,30.35,22.25,-3.40,75,21.75,24.65,75,"9,500.00",750,960.15,"1,005.25",750,-,"1,200.00",-,-,-,220,
,310,5,179,31.05,17.90,-2.55,75,14.30,21.35,75,"9,600.00",300,"1,041.00","1,107.65",300,-,954.45,-,-,-,27,
,684,33,406,31.65,14.25,-2.50,75,14.00,17.45,75,"9,700.00",225,"1,136.90","1,205.10",375,-,600.00,-,-,-,1,
,293,15,142,32.39,11.65,-2.65,"2,250",9.55,12.85,75,"9,800.00",300,"1,230.25","1,297.00",525,-,700.00,-,-,-,3,
,167,2,13,34.16,11.35,0.35,150,8.30,14.15,75,"9,900.00",-,-,-,-,-,-,-,-,-,-,-
,"1,343",-12,218,35.18,9.90,-1.10,75,9.45,11.10,600,"10,000.00",225,"1,431.95","1,499.10",300,-,"1,640.25",-,-,-,11,
,101,1,6,37.47,10.65,0.80,300,7.30,19.00,75,"10,100.00",-,-,-,-,-,-,-,-,-,-,-
,267,-,-,-,10.00,-0.05,600,5.30,11.00,225,"10,200.00",-,-,-,-,-,-,-,-,-,-,-
,40,2,42,39.48,8.45,3.40,150,6.50,12.00,75,"10,300.00",-,-,-,-,-,-,-,-,-,-,-
,479,-23,92,39.52,6.50,-1.25,75,6.50,7.85,225,"10,400.00",-,-,-,-,-,-,-,-,-,-,-
,282,1,49,39.70,5.10,-0.70,750,3.85,5.70,75,"10,500.00",-,-,-,-,-,-,-,-,-,-,-
,23,-,9,40.72,4.65,2.65,450,3.00,14.00,75,"10,600.00",-,-,-,-,-,-,-,-,-,-,-
,23,-,-,-,7.00,-,"2,250",2.30,14.00,75,"10,700.00",-,-,-,-,-,-,-,-,-,-,-
,22,-,-,-,4.30,-,75,2.20,16.00,75,"10,800.00",-,-,-,-,-,-,-,-,-,-,-
,6,-,-,-,4.10,-,"2,250",1.20,19.95,75,"11,200.00",-,-,-,-,-,-,-,-,-,-,-
,6,1,2,51.74,5.30,1.80,"2,250",1.15,-,-,"11,300.00",-,-,-,-,-,-,-,-,-,-,-
