Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"3,000",129.55,135.8,"4,000",600.0,"1,000",0.5,0.7,"1,000",-,0.35,-,-,-,47,
,-,-,-,-,-,-,"5,000",119.95,127.4,"4,000",610.0,"1,000",0.25,2.75,"1,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,000",110.1,116.1,"7,000",620.0,"1,000",0.7,1.4,"2,000",-,0.75,-,-,-,65,
,-,-,-,-,-,-,"7,000",100.45,107.95,"4,000",630.0,"2,000",0.3,3.2,"5,000",-,-,-,-,-,-,
,3,-,-,-,82.40,-,"3,000",90.4,96.7,"1,000",640.0,"2,000",1.2,1.45,"2,000",0.05,1.30,35.68,62,24,119,
,6,-,-,-,76.50,-,"4,000",82.25,86.8,"1,000",650.0,"30,000",1.4,1.9,"3,000",0.20,1.80,34.85,137,11,333,
,8,-,-,-,81.35,-,"3,000",72.3,77.6,"3,000",660.0,"1,000",2.3,2.45,"1,000",0.25,2.65,34.67,56,36,142,
,4,-,2,-,64.40,-6.75,"3,000",62.5,68.8,"3,000",670.0,"2,000",3.35,3.5,"1,000",0.40,3.45,33.47,90,23,98,
,17,-,4,21.30,55.70,-4.30,"3,000",54.85,60.25,"3,000",680.0,"1,000",4.55,5.45,"1,000",0.35,4.55,32.43,91,-2,216,
,18,-,3,27.22,48.85,-6.50,"3,000",46.4,51.6,"10,000",690.0,"30,000",5.4,7.5,"20,000",0.65,6.35,32.18,116,-3,144,
,99,9,59,27.80,41.25,-6.15,"1,000",41.0,42.0,"1,000",700.0,"1,000",8.5,8.65,"1,000",1.15,8.50,31.64,313,41,563,
,76,-,5,29.19,34.90,-4.95,"1,000",32.05,36.45,"3,000",710.0,"30,000",9.85,13.3,"1,000",1.70,11.50,31.59,107,-1,177,
,238,7,108,27.54,27.45,-4.85,"5,000",26.1,29.5,"2,000",720.0,"28,000",13.25,15.1,"1,000",1.60,14.65,30.76,390,31,467,
,310,8,417,28.28,22.30,-4.05,"1,000",22.05,22.35,"1,000",730.0,"5,000",17.55,19.45,"1,000",2.30,19.15,30.93,407,11,278,
,413,43,515,28.34,17.50,-3.40,"1,000",16.5,17.9,"1,000",740.0,"3,000",22.7,24.45,"1,000",2.90,24.45,31.19,317,24,315,
,729,19,501,28.42,13.50,-3.15,"3,000",13.6,14.0,"2,000",750.0,"4,000",28.9,31.3,"1,000",3.30,30.50,31.52,69,-3,531,
,556,60,383,28.71,10.35,-2.65,"30,000",9.1,11.45,"1,000",760.0,"1,000",35.75,39.4,"2,000",5.20,37.85,32.86,34,8,445,
,434,22,245,29.11,7.90,-2.15,"1,000",7.4,8.2,"1,000",770.0,"5,000",42.7,46.8,"1,000",7.75,47.00,36.32,24,-13,150,
,960,35,491,29.56,6.00,-1.70,"1,000",5.85,6.55,"1,000",780.0,"4,000",50.5,55.4,"3,000",9.05,55.65,38.51,15,-9,178,
,333,10,238,30.07,4.55,-1.40,"1,000",4.55,4.7,"1,000",790.0,"3,000",58.85,63.75,"3,000",-1.25,62.65,37.16,6,1,51,
,"2,090",186,816,31.14,3.65,-0.80,"11,000",3.6,3.7,"1,000",800.0,"12,000",67.6,73.45,"3,000",6.45,70.70,36.89,7,1,291,
,246,7,130,31.60,2.75,-0.65,"1,000",2.6,2.75,"1,000",810.0,"4,000",76.95,82.4,"3,000",-,87.05,-,-,-,25,
,338,10,76,31.80,2.00,-0.55,"1,000",1.95,2.1,"2,000",820.0,"1,000",86.25,91.35,"3,000",-,78.00,-,-,-,36,
,148,24,60,32.73,1.60,-0.35,"1,000",1.45,1.6,"1,000",830.0,"4,000",95.25,100.25,"4,000",-,90.55,-,-,-,9,
,178,1,28,33.18,1.20,-0.35,"1,000",1.0,1.2,"2,000",840.0,"1,000",104.95,110.55,"4,000",-0.90,87.75,-,-,-,34,
,684,-30,865,32.93,0.80,-0.40,"6,000",0.75,0.95,"1,000",850.0,"4,000",114.5,119.0,"3,000",-,130.00,-,-,-,231,
,115,-1,2,35.07,0.80,-0.25,"2,000",0.65,0.95,"6,000",860.0,"1,000",124.55,130.25,"3,000",-,88.50,-,-,-,15,
,110,-,21,35.44,0.60,-,"1,000",0.3,0.55,"1,000",870.0,"4,000",134.0,140.15,"3,000",-,131.00,-,-,-,2,
,135,-2,3,36.39,0.50,-0.15,"2,000",0.4,0.5,"1,000",880.0,"4,000",143.95,150.55,"3,000",-,127.00,-,-,-,5,
,"1,226",-11,62,36.51,0.25,-0.10,"33,000",0.25,0.3,"14,000",900.0,"4,000",163.55,167.4,"4,000",-,154.70,-,-,-,"1,023",
