Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,500.00","3,500",1.05,1.75,700,0.50,1.75,47.08,8,-,56,
,3,-,-,-,299.65,-,"1,750",332.45,353.75,"1,050","1,520.00",700,0.95,2.00,700,-0.15,0.90,40.37,1,-,15,
-,-,-,-,-,-,-,-,-,-,-,"1,540.00",700,0.30,8.00,350,-,4.85,-,-,-,34,
,-,-,-,-,-,-,"2,450",293.35,323.80,"1,050","1,560.00",700,0.55,9.45,"14,000",1.00,20.00,-,-,-,28,
-,-,-,-,-,-,-,-,-,-,-,"1,580.00",350,1.25,7.00,350,-8.00,2.00,38.39,7,3,5,
,4,-,-,-,224.05,-,"1,400",254.55,275.20,"1,050","1,600.00",700,2.05,3.50,350,-0.45,1.60,34.63,2,-,32,
,1,-,-,-,145.00,-,"2,450",233.85,272.25,"1,050","1,620.00",350,1.25,9.95,350,-,11.20,-,-,-,28,
,1,-,-,-,187.65,-,"2,450",217.60,250.00,"3,500","1,640.00","10,500",3.05,8.05,"7,000",0.20,4.50,36.86,21,13,24,
,-,-,-,-,-,-,"1,750",194.95,229.30,"2,450","1,660.00","2,100",1.40,15.40,"1,400",-,6.00,-,-,-,71,
,-,-,-,-,-,-,"1,400",176.40,210.05,"1,050","1,680.00",350,2.50,15.40,"1,400",-,8.00,-,-,-,14,
,116,-6,8,-,171.00,-31.00,350,168.05,181.45,"1,050","1,700.00",350,8.55,10.50,"18,900",3.45,10.50,36.46,267,118,242,
,-,-,-,-,-,-,"1,050",141.60,181.50,"1,750","1,720.00",350,5.75,24.70,"1,050",-0.50,11.10,-,-,-,41,
,8,-,-,-,108.90,-,"2,450",124.95,157.20,"1,050","1,740.00",350,10.00,22.30,"7,000",2.90,13.50,32.98,19,2,23,
,4,-,-,-,100.25,-,"1,050",107.80,134.70,"1,050","1,760.00","1,050",6.50,22.00,350,5.70,17.60,32.97,8,3,20,
,21,-,-,-,103.40,-,"1,050",89.85,122.95,"2,450","1,780.00","1,050",10.70,27.70,350,5.45,21.00,31.84,1,1,55,
,315,-1,10,27.08,92.00,-23.15,"2,800",83.60,101.55,350,"1,800.00","1,750",29.50,32.00,350,9.35,31.60,34.97,205,-20,321,
,46,-4,4,39.23,98.25,1.10,350,64.75,91.80,"1,050","1,820.00","1,050",24.60,39.95,350,-,27.10,27.85,1,-,58,
,46,-1,3,36.08,81.30,-2.95,350,63.10,77.35,700,"1,840.00",350,38.15,47.95,350,15.60,47.60,35.42,64,7,67,
,120,-2,45,28.79,57.70,-16.80,350,49.50,59.95,350,"1,860.00",350,44.55,59.95,350,9.60,53.15,33.39,93,28,88,
,76,23,187,27.63,45.80,-17.25,"8,750",39.05,48.50,350,"1,880.00",350,55.50,73.20,350,10.70,61.00,32.12,55,10,31,
,400,13,486,29.22,40.00,-13.90,350,35.00,40.80,700,"1,900.00",700,72.05,84.70,"1,050",14.45,77.20,34.96,214,8,90,
,81,4,21,28.92,32.00,-12.95,350,30.00,38.20,350,"1,920.00","1,050",77.85,95.15,350,-,71.00,-,-,-,19,
,56,1,48,28.83,25.50,-12.70,"10,500",20.65,30.00,700,"1,940.00","1,050",87.00,113.55,"2,450",-,80.00,-,-,-,6,
,35,5,26,28.75,20.05,-11.00,350,20.00,26.65,350,"1,960.00","1,050",104.10,130.85,"1,050",-,-,-,-,-,-,
,52,-,-,-,24.65,-,"3,850",6.60,22.90,350,"1,980.00","1,050",115.40,149.30,"1,050",-,-,-,-,-,-,
,412,12,171,30.36,14.00,-6.70,350,11.50,16.00,350,"2,000.00","1,050",136.55,160.05,"1,050",-0.30,123.00,-,-,-,26,
,14,-1,2,35.45,16.80,-1.00,350,5.60,16.50,350,"2,020.00","1,050",149.45,182.15,"1,050",-,-,-,-,-,-,
,27,3,17,31.04,9.00,-4.45,"10,500",5.95,11.25,350,"2,040.00","1,400",169.50,196.55,"1,050",-64.75,183.95,38.91,1,1,4,
,8,1,11,31.46,7.25,-4.75,350,3.30,11.90,350,"2,060.00","1,050",186.90,215.80,"1,050",-,-,-,-,-,-,
,27,1,3,33.90,7.40,-1.55,350,3.15,10.00,"1,050","2,080.00","1,050",206.65,235.40,"1,050",-,267.10,-,-,-,2,
,240,-33,100,31.23,4.05,-2.55,"2,100",4.05,6.20,"7,000","2,100.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,350,1.25,12.25,"1,400","2,120.00","1,050",244.45,276.90,"1,050",-,-,-,-,-,-,
,-,-,-,-,7.00,-,350,0.70,7.00,350,"2,160.00","1,050",283.65,310.10,"2,450",-,-,-,-,-,-,
,197,-4,17,35.98,2.10,-0.50,"1,050",1.60,2.20,"1,050","2,200.00",-,-,-,-,-,-,-,-,-,-,-
,5,-,-,-,1.35,-,350,1.00,5.00,"1,400","2,240.00",-,-,-,-,-,-,-,-,-,-,-
