Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"1,050",737.0,768.15,450,"2,200.00","6,150",0.45,4.70,900,-,-,-,-,-,-,
,3,-,-,-,404.90,-,"1,050",638.5,660.05,600,"2,300.00","1,200",0.90,1.20,900,-2.70,0.90,45.97,85,-5,132,
,-,-,-,-,-,-,"1,050",592.15,617.0,450,"2,350.00","2,400",1.00,6.50,750,-,-,-,-,-,-,
,20,-,-,-,391.10,-,450,541.0,562.05,600,"2,400.00",150,2.60,2.80,300,-4.50,2.60,45.63,558,-87,320,
,-,-,-,-,-,-,"1,050",492.3,520.75,450,"2,450.00",150,2.50,8.00,150,-10.65,2.50,41.63,11,3,5,
,47,-,2,-,448.55,84.65,150,445.2,467.15,450,"2,500.00",150,5.60,7.75,"3,000",-8.50,5.75,44.13,"1,583",154,706,
,8,-,-,-,389.30,-,450,396.85,419.95,600,"2,550.00","4,500",6.05,10.10,150,-12.85,7.50,42.37,444,12,163,
,40,-1,8,-,365.00,17.25,150,352.45,368.55,150,"2,600.00",150,9.00,12.00,150,-15.90,11.30,42.08,"2,750",-270,304,
,6,-1,5,-,294.15,-50.35,150,305.15,328.2,"1,050","2,650.00","4,500",12.25,18.85,"3,000",-20.75,15.50,41.00,652,-94,88,
,240,8,140,-,271.70,3.35,300,261.4,283.5,150,"2,700.00","1,800",21.00,23.00,150,-24.80,21.65,40.29,"3,361",-65,691,
,349,-8,52,15.90,230.35,-4.40,450,220.8,244.95,600,"2,750.00",450,26.75,35.55,150,-31.05,29.70,39.57,"1,664",-48,290,
,433,-53,530,25.57,194.05,-0.90,150,183.55,199.85,150,"2,800.00",150,41.00,42.40,150,-33.35,42.80,40.09,"5,060",376,"1,209",
,263,76,513,27.58,158.60,-7.25,450,144.9,165.2,150,"2,850.00",300,52.00,59.00,150,-37.65,58.95,40.49,"1,621",193,430,
,826,-574,"6,669",29.88,129.95,-9.25,300,124.15,129.0,150,"2,900.00","10,950",77.00,78.75,600,-40.40,77.00,40.31,"8,281",-195,"1,208",
,"1,009",288,"5,887",31.19,104.25,-10.25,600,92.7,104.3,600,"2,950.00",150,100.00,110.85,150,-42.15,100.90,41.01,"3,612",227,504,
,"3,483","1,815","22,651",31.74,81.15,-13.00,150,81.0,81.8,150,"3,000.00",300,126.00,131.00,150,-44.20,129.80,42.24,"5,489",304,954,
,762,400,"6,237",31.90,61.25,-14.55,150,54.5,63.85,150,"3,050.00","1,050",145.75,168.10,150,-44.25,160.00,42.77,630,95,155,
,"1,573",387,"17,349",33.13,48.00,-13.15,150,48.0,48.5,150,"3,100.00",450,184.20,201.40,150,-48.75,194.75,43.90,227,19,79,
,778,408,"3,241",33.81,36.50,-11.35,150,31.3,40.0,450,"3,150.00",150,224.45,245.85,450,-40.05,239.80,48.05,22,8,29,
,"1,221",423,"8,222",34.57,27.75,-10.55,300,26.05,27.75,300,"3,200.00",150,268.20,284.60,150,-45.00,274.80,47.58,17,4,78,
,429,63,"1,647",35.05,20.55,-9.15,150,20.5,21.0,150,"3,250.00",150,310.00,325.60,150,-6.00,342.45,60.01,6,-,7,
,864,37,"3,710",35.89,15.65,-7.15,300,13.8,16.0,450,"3,300.00",150,352.65,368.45,150,-37.80,366.35,53.72,21,16,113,
,122,-13,732,37.17,12.50,-4.90,"4,500",8.6,14.0,"1,050","3,350.00",-,-,-,-,-,-,-,-,-,-,-
,455,-67,"1,913",37.75,9.35,-4.05,150,9.0,11.0,750,"3,400.00",300,444.35,468.80,600,-,457.15,-,-,-,41,
,89,62,343,38.86,7.45,-2.85,150,7.2,7.45,150,"3,450.00",450,490.65,514.35,"1,050",-,600.00,-,-,-,1,
,901,136,"2,378",39.72,5.80,-2.25,150,5.5,5.85,150,"3,500.00",150,541.20,559.50,150,-1.00,565.00,70.13,1,-1,65,
,13,-11,67,39.74,4.05,-2.15,150,2.5,4.7,150,"3,550.00",600,587.15,610.50,"1,050",-,700.00,-,-,-,5,
,240,101,345,39.66,2.75,-2.30,"1,050",2.7,3.85,150,"3,600.00",450,637.70,659.15,300,-,765.00,-,-,-,49,
,4,2,5,40.77,2.25,-2.05,450,1.6,4.5,"1,500","3,650.00",450,685.65,711.40,750,-,860.00,-,-,-,2,
,339,-20,306,42.77,2.15,-0.90,"1,050",1.5,2.15,"1,350","3,700.00",450,735.95,752.80,450,-,750.00,-,-,-,64,
,22,6,10,46.17,1.85,0.85,300,1.2,3.0,300,"3,800.00",450,834.40,856.35,600,-,"1,075.00",-,-,-,18,
