Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,100.00",300,0.55,8.00,900,-,1.30,-,-,-,23,
,-,-,-,-,-,-,"2,100",379.60,400.05,"1,500","1,120.00",300,0.25,7.95,"15,000",-,2.00,-,-,-,1,
,-,-,-,-,-,-,"2,100",340.30,353.40,900,"1,160.00",900,1.00,4.30,"15,000",-0.10,2.35,-,-,-,24,
-,-,-,-,-,-,-,-,-,-,-,"1,180.00",900,1.50,9.35,"1,200",-,4.00,-,-,-,54,
,2,-,-,-,259.60,-,"2,100",302.10,313.35,900,"1,200.00",300,2.60,3.95,600,-,3.30,-,-,-,474,
,-,-,-,-,-,-,"2,100",280.75,299.65,900,"1,220.00","1,500",0.95,10.25,"15,000",-,-,-,-,-,-,
,1,-,-,-,275.30,-,"1,500",260.80,275.05,300,"1,240.00",900,2.00,10.30,900,0.15,3.85,50.91,5,4,26,
,-,-,-,-,-,-,"1,200",241.30,261.20,900,"1,260.00",300,1.25,11.50,"1,200",-,62.65,-,-,-,1,
,2,-,-,-,176.65,-,"2,100",223.05,235.80,900,"1,280.00","3,000",3.30,6.20,300,0.15,5.25,47.36,4,-4,65,
,55,-,1,52.86,217.00,-,"1,500",203.00,217.10,900,"1,300.00","9,000",4.85,6.55,"2,400",0.15,6.40,46.06,91,10,409,
,18,-,-,-,198.70,-,300,181.70,204.65,900,"1,320.00","3,000",1.50,12.60,"15,000",-0.05,15.70,-,-,-,24,
,68,2,4,43.97,176.55,-5.95,300,166.65,187.05,"1,500","1,340.00",300,6.00,12.60,600,-0.35,8.50,42.03,14,-5,85,
,82,-,-,-,167.00,-,"1,500",149.50,163.15,"3,000","1,360.00","9,000",8.85,11.60,300,0.25,11.00,41.47,30,-15,168,
,53,-,-,-,140.65,-,"1,200",131.60,146.05,300,"1,380.00","9,000",10.60,16.95,"6,000",0.80,13.80,40.60,15,-1,43,
,400,-4,19,37.50,122.00,-6.10,300,115.20,127.60,"1,500","1,400.00","9,000",13.85,17.50,600,1.10,17.10,39.63,134,-8,291,
,105,2,8,30.08,99.10,-18.10,"2,100",98.10,114.60,"2,100","1,420.00","9,000",17.25,24.55,"6,000",1.30,20.80,38.40,49,-8,162,
,188,-10,29,31.68,85.90,-10.10,300,84.80,100.90,"2,100","1,440.00","9,000",21.65,30.75,300,1.55,26.60,38.29,31,-7,100,
,120,-2,54,33.24,74.35,-8.40,300,71.05,85.70,900,"1,460.00","9,000",28.15,33.20,300,2.70,33.50,38.20,17,-,102,
,43,-8,68,36.31,66.50,-4.35,300,63.00,69.95,300,"1,480.00",300,36.50,44.00,300,5.85,44.20,40.05,46,-3,27,
,592,-50,486,37.13,57.00,-3.00,300,56.10,57.25,300,"1,500.00",900,44.60,50.00,300,2.95,50.10,37.63,262,15,192,
,122,7,196,36.75,47.00,-2.60,300,45.00,50.00,600,"1,520.00",300,55.25,66.70,300,-1.40,56.10,34.53,19,-10,11,
,96,-3,69,35.17,36.50,-3.25,300,32.95,42.00,300,"1,540.00","1,500",58.80,79.65,900,-,196.00,-,-,-,1,
,127,-9,65,36.75,31.55,-2.20,300,29.00,36.00,300,"1,560.00",300,82.00,93.35,"2,100",-,79.90,-,-,-,11,
,36,2,18,35.14,23.40,-4.30,900,23.70,30.70,"6,000","1,580.00",900,92.65,109.00,900,-,-,-,-,-,-,
,500,-73,295,37.64,21.35,-0.60,300,19.10,21.40,300,"1,600.00",600,112.00,119.45,900,2.20,110.00,34.93,40,-3,17,
,84,-,-,-,18.00,0.15,900,7.75,25.55,900,"1,620.00","1,200",116.60,143.20,900,-,204.25,-,-,-,1,
,146,-1,20,36.69,12.45,-1.40,"9,000",10.75,16.35,"6,000","1,640.00",900,139.90,153.55,900,-,214.75,-,-,-,2,
,40,-,26,36.62,9.55,-1.80,300,8.15,13.45,"6,000","1,660.00",900,156.75,171.95,900,-,40.65,-,-,-,1,
,3,-,-,-,5.20,-,"3,600",1.75,19.20,"15,000","1,680.00","1,200",169.30,197.35,"3,000",-,-,-,-,-,-,
,602,15,342,39.13,7.10,-0.30,300,7.10,7.50,300,"1,700.00",900,191.95,207.50,900,-,330.00,-,-,-,7,
,20,-1,262,39.29,5.55,-0.55,300,4.85,7.35,"6,000","1,720.00",900,208.35,226.50,900,-,-,-,-,-,-,
,31,-2,513,41.58,4.20,0.20,"9,000",2.95,4.55,300,"1,760.00",900,249.10,263.85,900,-,-,-,-,-,-,
,23,11,639,43.56,4.05,0.80,"9,000",2.50,4.40,"6,000","1,780.00","3,000",268.95,281.70,300,153.10,273.10,39.00,2,1,2,
,219,11,154,43.14,3.00,0.25,"3,300",3.00,3.25,"1,200","1,800.00","1,200",287.85,302.05,"2,100",-0.25,287.75,-,1,-,7,
,-,-,-,-,-,-,600,0.30,8.50,900,"1,840.00",900,328.15,346.40,900,-,-,-,-,-,-,
,1,-,-,-,2.00,-,600,0.30,4.95,300,"1,920.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,0.85,-,600,0.30,8.50,900,"1,940.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,0.75,-,"6,000",0.25,8.50,900,"1,980.00",-,-,-,-,-,-,-,-,-,-,-
,9,4,35,52.98,1.00,0.15,"3,000",0.45,1.30,900,"2,000.00","3,000",485.60,499.00,"2,100",-,600.00,-,-,-,2,
