Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,440.00","6,875",0.25,9.8,"1,925",-,2.30,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"1,480.00","6,600",0.4,10.65,"1,925",-,1.90,-,-,-,1,
,-,-,-,-,-,-,"1,925",345.35,364.25,"1,100","1,520.00","6,600",0.45,6.2,"13,750",-4.85,1.65,44.99,2,-,8,
,-,-,-,-,-,-,"1,925",309.00,323.30,825,"1,560.00",275,0.35,6.0,"13,750",-20.80,2.70,43.85,2,-,-,
-,-,-,-,-,-,-,-,-,-,-,"1,580.00",825,0.6,11.85,"1,375",-,6.00,-,-,-,16,
,-,-,-,-,-,-,"1,925",267.80,283.00,825,"1,600.00",275,2.3,5.0,275,2.25,4.50,43.09,3,1,57,
,-,-,-,-,-,-,"1,925",247.90,264.80,825,"1,620.00","8,250",3.45,6.45,"5,500",-2.10,4.65,40.71,107,14,19,
,-,-,-,-,-,-,"2,750",227.85,252.30,"1,100","1,640.00","6,600",1.2,16.4,825,-,6.00,-,-,-,33,
,-,-,-,-,-,-,"1,925",211.45,234.50,"1,100","1,660.00","6,600",1.2,17.0,825,-,7.50,-,-,-,101,
,2,-,-,-,153.55,-,"1,375",191.50,214.85,825,"1,680.00","4,125",1.6,16.75,"1,100",-,8.40,-,-,-,71,
,28,-,-,-,207.00,-,"1,100",174.05,189.20,275,"1,700.00",275,7.85,11.6,275,0.45,9.75,36.70,102,-18,269,
,17,2,9,29.57,166.15,17.35,550,154.85,172.80,275,"1,720.00",275,9.5,15.4,"5,500",0.90,11.90,35.88,25,4,44,
,20,-,-,-,142.10,-,550,139.35,155.15,275,"1,740.00",275,11.95,19.75,"5,500",0.90,14.65,35.20,41,12,52,
,10,2,3,25.23,127.65,-24.75,550,122.25,138.25,825,"1,760.00",550,15.2,19.9,550,1.40,18.15,34.68,39,3,62,
,5,-,-,-,111.95,-,"1,925",106.30,123.30,"1,100","1,780.00",550,18.5,29.3,"5,500",2.00,22.25,34.12,38,12,52,
,160,-,15,30.68,103.15,-12.60,275,91.60,108.40,"1,100","1,800.00",275,23.65,30.4,275,1.90,26.50,33.16,204,-16,476,
,106,1,5,27.59,84.65,-15.05,550,78.40,95.65,275,"1,820.00",275,29.6,42.75,275,1.90,32.00,32.51,44,-23,86,
,208,5,36,27.47,71.55,-15.40,825,65.90,76.70,275,"1,840.00",275,40.05,48.45,"1,375",3.55,40.45,33.06,134,-7,58,
,136,-5,58,27.52,60.00,-15.10,550,53.25,61.05,275,"1,860.00","8,250",41.9,52.0,275,1.60,45.40,30.98,61,1,86,
,113,8,206,27.48,49.55,-13.55,275,49.05,58.00,275,"1,880.00","1,100",51.95,66.6,275,4.45,58.45,32.90,362,71,113,
,335,-45,650,27.87,41.15,-11.95,275,37.05,43.30,275,"1,900.00",550,61.1,77.7,"2,750",8.30,70.20,33.46,66,-6,145,
,73,-39,276,27.63,32.85,-11.15,275,30.20,43.05,"5,500","1,920.00","2,750",72.15,93.7,"1,925",-53.30,78.35,31.39,4,3,4,
,75,-,70,27.65,26.20,-9.55,275,22.15,27.30,275,"1,940.00","1,100",87.25,99.65,550,19.80,94.90,33.57,2,1,14,
,88,18,84,27.65,20.60,-9.20,"8,250",16.55,27.05,"5,500","1,960.00",825,99.45,115.9,"1,925",10.15,108.00,33.21,3,-1,9,
,73,25,76,27.74,16.10,-7.25,550,12.85,21.55,"5,500","1,980.00",825,115.1,131.2,"1,925",14.40,125.10,34.90,16,11,12,
,392,-8,242,27.88,12.50,-6.40,550,12.30,17.80,"5,500","2,000.00",550,131.6,147.8,275,-,116.00,-,-,-,5,
,72,3,23,28.19,9.80,-5.40,275,8.55,14.35,"5,500","2,020.00",275,148.1,164.95,"1,925",6.20,165.00,41.39,1,1,6,
,303,14,47,28.62,7.75,-4.60,275,6.10,11.10,"5,500","2,040.00",825,166.5,182.5,275,17.65,178.30,39.50,15,-1,4,
,16,-,-,-,8.95,-0.20,275,2.05,9.80,550,"2,060.00",825,181.85,201.05,"1,925",-,-,-,-,-,-,
,28,-6,45,29.05,4.55,-3.05,825,4.50,5.00,275,"2,080.00","1,375",202.6,219.3,825,-,-,-,-,-,-,
,31,5,34,30.10,2.90,-1.70,275,2.95,3.25,275,"2,120.00",825,240.0,257.9,825,-,-,-,-,-,-,
,-,-,-,-,-,-,"6,600",0.30,8.65,"13,750","2,160.00",825,274.4,298.55,"1,375",-,-,-,-,-,-,
