Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"4,500.00","4,000",0.9,1.65,700,-0.10,1.00,50.72,7,-,247,
,-,-,-,-,-,-,700,"1,416.05","1,465.50",500,"4,700.00","3,000",1.1,1.35,400,-0.20,1.10,44.79,30,1,426,
,-,-,-,-,-,-,700,"1,317.70","1,362.20",500,"4,800.00",400,1.8,3.35,700,-0.85,2.00,44.75,89,-14,162,
,1,-,-,-,880.40,-,400,"1,219.75","1,267.95",500,"4,900.00","4,000",1.5,5.80,"4,000",1.35,3.60,44.93,58,-29,61,
,17,-,-,-,"1,140.00",-,900,"1,123.05","1,168.70",900,"5,000.00",200,4.3,4.45,100,0.15,4.45,42.80,390,-63,"1,316",
,-,-,-,-,-,-,300,"1,072.20","1,130.90",400,"5,050.00",100,1.75,15.55,100,-,-,-,-,-,-,
,2,-,-,-,768.40,-,300,"1,021.15","1,070.30",500,"5,100.00","4,000",3.55,-,-,0.60,5.00,40.01,19,-7,136,
,9,-,-,-,745.80,-,300,969.65,"1,032.15",500,"5,150.00","4,000",3.15,18.30,200,-,6.45,-,-,-,31,
,13,-,-,-,400.00,-,700,919.00,971.85,400,"5,200.00",400,5.55,6.65,200,0.55,6.45,38.08,114,-18,442,
,4,-,-,-,466.00,-,300,876.95,924.00,500,"5,250.00",900,6.5,10.00,700,0.20,10.15,-,-,-,51,
,11,-,-,-,840.85,-,700,828.05,865.90,100,"5,300.00",300,7.05,8.80,100,-,8.85,36.53,166,-38,429,
,5,-,-,-,451.65,-,700,779.75,828.40,500,"5,350.00",300,6.1,15.65,"4,000",-0.30,10.50,35.85,2,-2,52,
,24,-,-,-,715.10,-,300,728.15,779.05,100,"5,400.00",100,10.4,12.50,100,0.45,12.40,35.14,360,8,"1,418",
,175,-,1,57.64,785.80,116.30,400,684.05,721.90,100,"5,450.00",100,3.65,15.30,100,0.85,13.75,33.93,9,1,196,
,102,1,3,35.56,675.00,42.20,200,648.75,669.35,100,"5,500.00",200,15.5,16.00,200,-0.65,15.80,32.98,459,-77,860,
,41,1,6,28.48,615.05,29.90,300,585.15,625.75,100,"5,550.00",100,15.9,21.65,"2,000",-0.30,18.75,32.28,44,12,123,
,316,-9,13,38.86,598.00,31.70,100,552.80,588.40,700,"5,600.00",100,21.6,22.90,200,-1.10,21.50,31.29,447,-15,707,
,148,-1,5,43.86,576.35,69.55,400,492.20,539.60,200,"5,650.00","3,000",19.65,27.95,100,-2.75,23.00,29.67,71,-,152,
,373,-12,25,25.30,472.05,-4.65,200,467.50,488.95,200,"5,700.00",200,29.9,31.75,300,-1.20,29.95,29.77,430,32,642,
,102,-17,27,28.33,438.10,23.90,700,407.15,453.55,300,"5,750.00",100,29.0,36.90,100,-1.35,35.65,29.09,212,-37,218,
,272,2,19,25.80,388.00,-1.15,200,379.25,402.75,100,"5,800.00",100,40.0,45.00,200,-1.05,42.75,28.51,"1,124",-57,"1,014",
,184,-9,11,27.15,353.50,3.40,400,325.80,361.90,100,"5,850.00",100,43.15,59.50,"2,000",-2.90,51.25,27.96,295,13,192,
,475,-8,50,23.55,299.90,-7.80,600,288.95,316.80,100,"5,900.00",100,57.0,65.10,500,-2.80,61.35,27.43,615,-22,610,
,304,-,12,24.92,269.55,-4.90,400,245.75,287.20,100,"5,950.00","3,000",64.4,76.50,100,-4.45,75.20,27.31,214,15,160,
,779,-59,332,25.74,240.00,2.10,100,235.00,252.85,900,"6,000.00",200,87.0,92.00,200,-4.75,89.90,26.95,"1,413",88,"1,303",
,103,-12,88,24.32,201.00,-5.25,100,206.00,223.40,100,"6,050.00","3,100",94.15,113.80,100,-3.65,109.30,27.03,353,-2,254,
,708,-82,"1,236",25.39,178.35,-1.10,400,170.00,179.55,300,"6,100.00",200,115.0,130.00,100,-5.05,131.45,27.16,"1,159",-20,541,
,476,10,"1,108",25.72,154.30,-0.80,100,154.30,161.00,500,"6,150.00",200,146.0,159.00,200,-5.60,154.20,26.97,"1,121",63,327,
,"1,937",247,"5,719",25.73,131.00,-0.95,100,130.00,131.50,100,"6,200.00",100,166.45,185.00,100,-3.55,181.00,27.04,"1,631",110,554,
,318,19,918,25.67,109.90,-0.65,200,105.00,111.00,100,"6,250.00",100,193.35,213.00,100,-4.70,207.00,26.55,89,2,67,
,759,-58,"2,541",26.10,94.00,0.95,200,87.05,95.00,700,"6,300.00",100,225.55,251.40,200,5.30,250.00,28.66,121,2,102,
,121,-3,338,25.49,74.75,-1.55,100,66.25,91.50,"2,000","6,350.00",500,251.1,307.15,300,-,-,-,-,-,-,
,944,19,"1,389",25.90,63.10,0.15,300,60.00,74.80,"2,100","6,400.00",700,291.95,341.35,600,-31.25,280.00,20.73,5,1,59,
