Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,4,-,-,-,"1,816.35",-,200,"2,545.95","2,659.90",150,"12,000.00",200,56.00,56.95,50,14.85,56.00,56.71,"1,676",150,"1,865",
,-,-,-,-,-,-,200,"2,298.45","2,476.25",200,"12,250.00",250,47.20,127.35,200,-,-,-,-,-,-,
,3,-,-,-,"1,974.05",-,200,"2,080.30","2,222.70",150,"12,500.00",100,82.60,89.85,50,26.20,87.90,53.35,"1,122",53,559,
,5,-,-,-,"2,056.10",-,200,"1,858.05","2,001.05",150,"12,750.00","1,500",88.75,139.45,50,39.00,116.45,52.64,313,29,139,
,191,-,2,73.71,"2,007.85",-92.55,50,"1,636.95","1,732.40",50,"13,000.00",50,141.50,152.80,50,46.50,144.40,50.97,"3,112",-67,"1,274",
,7,-,-,-,"1,869.15",-,200,"1,426.80","1,567.70",150,"13,250.00",250,192.00,192.40,50,67.95,192.35,50.79,777,35,109,
,65,12,46,38.96,"1,288.15",-367.05,200,"1,257.65","1,314.70",50,"13,500.00",50,235.35,246.95,50,88.75,245.00,50.02,"2,701",-4,"1,299",
,77,6,16,40.57,"1,114.35",-586.70,50,"1,078.35","1,200.25",50,"13,750.00",50,300.05,362.30,50,111.90,307.60,49.17,"1,424",-11,404,
,993,15,402,41.27,949.70,-315.30,50,908.10,968.90,50,"14,000.00",50,391.35,394.30,200,147.15,394.35,49.31,"5,160",-3,"1,735",
,175,8,97,39.89,775.55,-300.10,50,750.65,835.70,50,"14,250.00",150,455.05,499.80,50,180.90,491.55,49.15,"2,459",31,472,
,962,322,"1,735",42.13,666.60,-237.70,50,655.00,665.55,50,"14,500.00",50,600.00,603.95,100,212.05,599.05,48.70,"5,424",12,"1,086",
,"1,071",443,"3,263",42.14,545.15,-213.90,50,540.70,546.95,50,"14,750.00",50,717.05,740.75,50,245.10,732.10,49.06,"2,991",107,683,
,"3,930","1,047","9,095",42.13,440.00,-183.75,50,439.75,440.00,100,"15,000.00",200,828.45,890.00,50,277.45,875.00,49.10,"4,171",44,"1,580",
,"1,444",413,"3,286",42.99,362.00,-144.25,100,350.20,359.00,50,"15,250.00",150,996.10,"1,095.75",50,308.60,"1,041.50",49.89,457,45,642,
,"3,147",730,"6,622",42.98,286.35,-125.65,50,285.00,289.95,100,"15,500.00",150,"1,165.90","1,279.35",50,314.80,"1,200.00",49.14,159,-14,533,
,"1,412",167,"1,671",43.75,232.55,-100.20,100,228.25,239.00,100,"15,750.00",400,"1,370.95","1,498.05",50,278.60,"1,330.90",44.94,13,5,85,
,"4,770",607,"7,681",44.15,184.75,-79.05,50,180.05,185.00,200,"16,000.00",50,"1,590.55","1,671.60",200,385.15,"1,624.70",53.85,42,-11,"1,016",
,367,73,987,44.64,146.85,-63.70,50,141.25,149.70,100,"16,250.00",150,"1,779.40","1,912.25",150,-,"1,760.05",-,-,-,84,
,"2,006",360,"2,932",45.05,115.70,-50.20,50,114.35,119.40,50,"16,500.00",150,"1,957.75","2,070.00",50,-1.45,"1,627.75",-,-,-,190,
,456,87,"1,422",46.45,97.90,-35.50,50,90.05,96.90,50,"16,750.00",150,"2,223.85","2,369.15",200,-,"1,969.90",-,-,-,15,
,"3,824",599,"4,030",46.61,75.65,-32.75,100,73.05,75.70,250,"17,000.00",150,"2,450.45","2,590.20",50,360.00,"2,435.00",51.33,1,1,497,
,689,369,"1,195",47.31,60.90,-25.35,50,50.05,63.05,50,"17,250.00",200,"2,682.65","2,822.50",150,-,"2,638.00",-,-,-,11,
,"2,039",255,"1,829",47.94,48.85,-22.75,50,45.05,54.95,50,"17,500.00",150,"2,913.65","3,064.60",150,-12.80,"2,712.70",-,-,-,203,
,315,92,361,50.64,47.95,-10.40,50,40.70,48.00,50,"17,750.00",150,"3,142.40","3,301.55",200,-,"3,050.00",-,-,-,14,
,"3,787",373,"2,129",50.95,37.85,-11.05,50,33.05,38.95,50,"18,000.00",50,"3,416.70","3,545.15",50,263.30,"3,310.00",-,1,1,108,
,151,-1,29,48.21,21.05,-14.00,50,21.05,40.00,50,"18,250.00",-,-,-,-,-,-,-,-,-,-,-
,"1,074",34,518,52.67,26.50,-8.00,550,25.80,26.75,50,"18,500.00",200,"3,893.35","4,023.15",200,-,"3,650.00",-,-,-,7,
,5,-,-,-,42.45,-,100,15.25,77.85,350,"18,750.00",150,"4,105.65","4,327.05",350,-,"4,030.75",-,-,-,2,
,"1,309",-18,607,55.32,21.05,-6.95,50,20.05,24.95,"1,450","19,000.00",150,"4,343.60","4,527.65",150,-,"4,590.00",-,-,-,20,
,3,-,-,-,23.50,-,50,11.50,-,-,"19,250.00",-,-,-,-,-,-,-,-,-,-,-
,348,-23,71,58.35,17.95,-5.20,50,16.55,20.00,50,"19,500.00",-,-,-,-,-,-,-,-,-,-,-
,"2,414",170,661,62.88,18.50,-3.20,350,17.05,18.70,50,"20,000.00",200,"5,343.65","5,522.80",350,-,"3,000.00",-,-,-,1,
,50,8,10,64.97,15.00,3.50,100,12.60,-,-,"20,500.00",-,-,-,-,-,-,-,-,-,-,-
,736,-106,178,67.75,13.35,-3.65,450,13.35,16.80,50,"21,000.00",-,-,-,-,-,-,-,-,-,-,-
