Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,6,-,-,-,"1,360.65",-14.40,700,"1,246.85","1,293.50",700,"4,100.00",175,0.9,9.95,"5,250",-,5.15,-,-,-,4,
-,-,-,-,-,-,-,-,-,-,-,"4,400.00",700,2.75,4.50,525,-0.95,3.05,40.06,32,-3,355,
,1,-,-,-,730.00,-,525,846.90,907.25,525,"4,500.00",350,5.55,7.30,350,-0.15,5.70,40.00,145,17,693,
,1,-,-,-,650.00,-,525,749.05,805.70,525,"4,600.00","2,100",5.3,10.90,350,0.90,7.60,37.77,69,-22,55,
,3,-,-,-,677.15,-,525,658.65,700.00,525,"4,700.00",175,10.0,11.30,"1,750",0.25,10.65,35.86,201,12,574,
,-,-,-,-,-,-,525,601.70,649.80,525,"4,750.00","3,500",3.15,14.00,175,-,13.10,-,-,-,21,
,1,-,-,-,474.35,-,"1,750",566.10,606.05,"1,750","4,800.00",350,14.0,17.70,175,1.20,15.60,34.29,93,2,244,
,3,-,-,-,374.10,-,700,513.90,563.65,"1,750","4,850.00","5,250",8.5,-,-,0.50,19.50,33.80,21,4,8,
,2,-,-,-,611.85,-,700,468.95,510.50,175,"4,900.00",175,18.0,25.00,175,2.60,23.45,32.99,169,57,298,
,5,-,-,-,320.60,-,875,422.30,465.60,700,"4,950.00","5,250",11.25,34.00,175,3.95,28.80,32.40,61,7,63,
,67,-7,19,25.43,396.20,-67.60,875,384.10,422.75,"2,100","5,000.00",175,33.75,35.50,175,3.40,34.05,31.44,538,-6,546,
,2,2,2,37.46,394.75,235.50,"1,750",331.65,382.90,525,"5,050.00","5,250",20.75,61.50,175,2.95,41.45,30.81,71,9,72,
,57,-1,13,33.84,343.80,-40.90,350,299.10,342.65,700,"5,100.00",175,41.45,56.00,175,7.90,53.00,30.90,237,-7,273,
,18,-,-,-,354.10,-,525,246.95,303.95,700,"5,150.00",525,27.05,70.00,700,10.05,63.00,30.11,164,-11,77,
,376,-2,19,27.12,244.80,-59.80,175,228.80,263.10,"3,675","5,200.00",350,69.1,80.00,175,12.15,77.45,29.93,640,24,684,
,57,-6,8,27.99,216.00,-67.70,175,205.05,241.80,175,"5,250.00",350,86.35,109.95,175,17.00,94.00,29.70,429,46,117,
,620,-7,346,27.32,182.70,-53.70,175,178.75,185.00,175,"5,300.00",350,100.0,114.90,350,15.85,110.80,29.04,"1,135",-96,317,
,679,-6,392,27.36,155.50,-45.25,175,149.00,154.95,175,"5,350.00",175,119.45,135.00,175,21.95,134.30,29.22,866,86,270,
,456,147,886,27.02,129.25,-45.60,175,125.00,132.70,175,"5,400.00",175,157.3,160.00,175,27.40,159.85,29.28,"1,443",-106,377,
,732,551,"1,542",27.33,109.10,-40.75,175,95.00,112.50,175,"5,450.00",175,173.65,199.95,175,32.60,190.35,29.81,488,-85,290,
,910,34,"1,127",27.32,90.00,-35.40,875,89.00,92.00,175,"5,500.00",175,203.3,221.95,175,39.95,219.15,29.50,134,-6,232,
,245,10,307,27.08,72.40,-32.90,175,67.10,77.45,175,"5,550.00",175,236.45,258.05,175,32.95,246.05,28.26,5,-1,46,
,750,75,687,27.55,60.40,-26.40,175,59.35,62.50,175,"5,600.00",350,276.85,302.80,175,43.35,282.35,28.48,9,2,284,
,829,-,426,27.25,47.25,-23.50,525,34.45,72.95,700,"5,650.00",525,303.95,350.00,175,34.10,327.75,30.41,3,1,21,
,874,-94,786,27.54,38.40,-20.05,175,36.80,43.00,175,"5,700.00","1,050",349.3,383.00,175,55.00,370.00,31.33,4,-,119,
,516,-24,231,27.67,30.60,-16.95,175,29.90,36.00,175,"5,750.00",525,387.35,429.40,525,-,338.30,-,-,-,5,
,688,90,746,28.52,26.25,-12.55,350,25.10,36.90,350,"5,800.00",525,431.0,472.20,525,72.20,422.15,19.11,4,-1,4,
,41,4,87,28.87,21.35,-9.30,350,18.70,45.90,175,"5,850.00",700,476.65,537.70,525,-,382.50,-,-,-,3,
,284,-2,311,29.38,17.70,-8.40,175,16.80,22.00,175,"5,900.00","1,225",522.6,563.90,525,-,-,-,-,-,-,
,1,-,-,-,38.50,-,"5,250",3.80,36.40,"1,225","5,950.00",700,561.1,627.70,"1,225",-,-,-,-,-,-,
,777,53,576,30.26,12.00,-5.90,175,12.00,13.00,350,"6,000.00",700,619.7,660.00,700,-,-,-,-,-,-,
,312,6,245,31.53,8.70,-3.90,"3,500",7.35,8.80,"1,050","6,100.00",525,713.3,754.50,525,-,-,-,-,-,-,
,216,4,115,32.20,5.80,-3.05,"9,800",2.60,7.50,175,"6,200.00",525,797.4,856.50,525,-,-,-,-,-,-,
