Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,450,470.0,496.05,600,"2,800.00","4,500",5.0,11.25,"3,000",-11.85,7.90,43.65,203,153,153,
,-,-,-,-,-,-,300,376.45,405.45,600,"2,900.00",150,12.6,16.00,150,4.25,15.85,42.93,604,276,411,
,-,-,-,-,-,-,300,331.85,361.05,450,"2,950.00",150,9.7,23.35,600,-56.35,23.35,43.51,16,11,11,
,8,-,-,-,346.90,-,"1,050",288.5,318.05,600,"3,000.00",150,28.15,29.35,150,5.90,28.20,41.55,503,105,231,
,-,-,-,-,-,-,450,234.0,291.75,600,"3,050.00",450,21.7,-,-,-,-,-,-,-,-,
,1,1,1,28.68,220.40,-314.95,600,210.55,235.3,150,"3,100.00",150,42.75,51.65,150,8.90,50.15,41.17,309,-2,263,
,-,-,-,-,-,-,450,165.4,223.75,450,"3,150.00",450,38.9,-,-,-,-,-,-,-,-,
,18,-3,22,29.73,150.00,-60.00,300,149.85,171.0,150,"3,200.00",150,82.1,88.00,150,15.60,84.00,41.28,339,41,269,
,6,6,15,34.79,135.00,-19.30,150,121.7,153.9,"2,100","3,250.00",600,95.95,123.00,150,-,103.80,-,-,-,4,
,205,59,611,34.42,108.00,-41.50,150,107.0,114.4,150,"3,300.00",450,123.45,133.35,150,22.05,131.50,41.89,418,66,532,
,114,20,366,40.11,103.50,-20.75,150,80.15,103.45,150,"3,350.00",150,148.8,166.85,150,34.05,167.00,44.50,30,-19,23,
,392,35,463,35.38,69.90,-32.40,300,64.0,84.2,"3,000","3,400.00",150,190.0,205.10,150,31.15,191.10,42.56,59,-17,242,
,281,45,112,36.25,56.65,-26.65,150,49.65,57.55,"1,650","3,450.00",300,221.7,238.15,150,53.60,247.15,50.40,2,-1,41,
,681,34,549,36.38,43.95,-23.70,150,42.3,44.0,150,"3,500.00",750,256.8,278.30,450,28.10,279.40,49.73,16,-10,263,
,123,12,166,36.27,33.15,-20.60,150,33.25,36.0,300,"3,550.00",900,298.45,320.85,600,0.05,288.35,-,-,-,10,
,848,113,477,36.62,25.50,-16.60,150,25.55,29.0,150,"3,600.00","1,050",333.1,361.45,"1,050",75.75,365.00,54.09,9,-,229,
,109,16,109,37.06,19.65,-13.00,150,18.45,26.0,150,"3,650.00",450,379.8,407.80,600,-,325.90,-,-,-,33,
,686,23,337,37.98,15.80,-9.85,150,13.35,16.45,150,"3,700.00",300,423.1,453.60,450,-,374.55,-,-,-,31,
,55,4,41,38.07,11.70,-8.30,"4,500",10.0,16.85,"3,000","3,750.00",600,468.55,496.85,450,-,455.70,-,-,-,34,
,211,-20,131,38.37,8.80,-6.05,150,8.05,9.35,150,"3,800.00",150,518.55,544.00,150,-,453.35,-,-,-,89,
,51,-,-,-,12.40,-,150,3.5,15.0,750,"3,850.00",600,562.1,596.60,600,7.25,419.95,-,-,-,20,
,248,74,232,40.00,5.65,-3.05,300,5.35,6.95,150,"3,900.00",150,612.25,634.10,300,-,563.85,-,-,-,47,
,-,-,-,-,-,-,150,2.0,7.0,150,"3,950.00",600,660.85,687.40,"1,050",-,-,-,-,-,-,
,641,-20,248,40.83,3.30,-1.40,150,3.1,3.5,150,"4,000.00",600,708.45,738.10,600,-,547.70,-,-,-,130,
,299,-198,339,42.85,2.35,-0.85,150,2.15,2.55,150,"4,100.00",600,806.8,835.95,"1,050",-,556.00,-,-,-,5,
