Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,140.0,"1,24,550",0.15,0.20,"23,500",-,0.20,53.80,57,-1,150,
,-,-,-,-,-,-,"16,450",33.40,34.80,"9,400",145.0,"18,800",0.20,0.25,"7,050",-0.05,0.25,49.16,6,-2,131,
-,-,-,-,-,-,-,-,-,-,-,147.5,"70,500",0.10,0.30,"4,700",-0.05,0.20,44.11,20,8,41,
,10,1,1,-,29.20,-1.05,"7,050",28.60,29.65,"2,350",150.0,"1,64,500",0.25,0.30,"7,050",-0.05,0.30,44.08,190,-38,512,
-,-,-,-,-,-,-,-,-,-,-,152.5,"2,350",0.25,0.40,"2,350",-,0.40,-,-,-,103,
,6,-,-,-,23.50,-,"9,400",23.60,24.90,"9,400",155.0,"1,83,300",0.30,0.45,"18,800",-,0.45,40.79,160,61,490,
,21,-,-,-,18.95,0.05,"9,400",21.25,22.50,"9,400",157.5,"4,700",0.50,0.60,"4,700",-,0.55,39.09,118,-43,113,
,107,8,24,21.33,19.85,-0.40,"2,350",19.30,20.25,"16,450",160.0,"23,500",0.65,0.75,"16,450",-,0.70,37.75,217,-51,"1,043",
,38,6,21,-,17.30,-0.90,"7,050",16.75,18.00,"16,450",162.5,"11,750",0.85,0.95,"7,050",0.05,0.95,37.12,250,-45,239,
,131,-5,38,24.33,15.15,-0.90,"2,350",14.90,15.55,"2,350",165.0,"16,450",1.10,1.20,"21,150",-,1.15,35.24,684,-30,751,
,110,-5,40,21.57,12.70,-0.95,"7,050",12.30,13.50,"4,700",167.5,"11,750",1.45,1.55,"4,700",-,1.50,34.26,750,-51,400,
,551,-27,187,26.51,11.00,-0.70,"7,050",10.45,11.35,"2,350",170.0,"4,700",1.95,2.00,"11,750",0.05,1.95,33.32,"1,943",26,"1,243",
,233,-35,185,26.65,9.10,-0.60,"2,350",8.85,9.50,"4,700",172.5,"7,050",2.50,2.60,"2,350",0.15,2.60,32.98,"1,327",-48,322,
,894,10,757,26.20,7.30,-0.75,"4,700",7.30,7.50,"7,050",175.0,"4,700",3.35,3.40,"4,700",0.25,3.40,32.63,"1,622",32,683,
,388,-4,572,26.40,5.80,-0.65,"9,400",5.65,5.90,"2,350",177.5,"4,700",4.30,4.40,"7,050",0.25,4.35,32.20,829,1,266,
,"1,813",3,"2,336",26.77,4.55,-0.55,"7,050",4.50,4.60,"14,100",180.0,"4,700",5.40,5.60,"4,700",0.35,5.50,31.93,817,-14,794,
,419,14,458,27.07,3.50,-0.50,"4,700",3.45,3.50,"4,700",182.5,"18,800",6.35,7.40,"2,350",0.45,7.00,32.67,144,-9,127,
,969,45,950,27.05,2.60,-0.45,"4,700",2.60,2.70,"11,750",185.0,"16,450",8.00,8.75,"4,700",0.35,8.60,33.03,96,15,121,
,355,26,444,27.49,1.95,-0.35,"23,500",1.90,2.00,"4,700",187.5,"16,450",9.90,10.85,"4,700",0.60,10.45,34.03,45,-,37,
,"1,714",82,"1,092",27.95,1.45,-0.30,"14,100",1.40,1.45,"18,800",190.0,"7,050",11.80,12.60,"4,700",0.55,12.25,33.85,40,-4,200,
,337,20,298,28.24,1.05,-0.25,"7,050",1.00,1.10,"11,750",192.5,"16,450",13.85,14.90,"9,400",1.40,15.20,41.33,6,4,29,
,645,8,448,29.06,0.80,-0.15,"11,750",0.75,0.80,"39,950",195.0,"2,350",16.10,16.95,"4,700",2.80,18.50,51.18,5,-,19,
,96,-4,43,29.06,0.55,-0.20,"4,700",0.55,0.65,"7,050",197.5,"9,400",18.30,19.60,"16,450",0.75,18.95,39.11,12,1,21,
,"1,798",-1,998,31.16,0.50,-0.10,"30,550",0.45,0.50,"51,700",200.0,"16,450",20.75,21.65,"2,350",0.80,21.35,41.61,19,4,590,
,125,16,40,30.27,0.30,-0.10,"7,050",0.25,0.40,"7,050",202.5,-,-,-,-,-,-,-,-,-,-,-
,231,12,75,32.71,0.30,-0.05,"2,350",0.25,0.30,"16,450",205.0,"9,400",25.40,26.70,"14,100",-,28.00,-,-,-,17,
,634,-,89,33.09,0.15,-0.05,"79,900",0.15,0.20,"1,24,550",210.0,"7,050",30.00,31.50,"7,050",-,32.50,-,-,-,399,
,1,-,-,-,0.35,-,"21,150",0.10,0.65,"4,700",212.5,"7,050",32.80,34.60,"18,800",-,32.00,-,-,-,2,
,71,-,3,34.99,0.10,-0.05,"2,63,200",0.05,0.15,"49,350",215.0,"9,400",35.15,36.60,"7,050",-,37.30,-,-,-,58,
,457,-5,8,38.77,0.10,-,"10,48,100",0.05,0.10,"2,25,600",220.0,"16,450",40.20,41.50,"18,800",-,41.40,-,-,-,378,
,447,-6,14,42.40,0.10,0.05,"37,600",0.05,0.10,"1,10,450",225.0,"7,050",45.15,46.70,"28,200",-,45.00,-,-,-,449,
