Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,58.0,-,-,0.20,"5,625",-,0.50,-,-,-,1,
,42,-,-,-,16.15,-,"22,500",14.80,15.50,"22,500",60.0,"56,250",0.10,0.15,"1,63,125",0.10,0.15,54.29,22,-8,99,
,-,-,-,-,-,-,"39,375",12.90,13.55,"22,500",62.0,"61,875",0.10,0.30,"5,625",-0.10,0.15,47.64,38,-33,57,
,-,-,-,-,-,-,"67,500",10.90,11.65,"39,375",64.0,"11,250",0.20,0.30,"5,625",-0.30,0.25,45.99,30,19,23,
,46,-,-,-,11.50,-,"39,375",10.00,10.65,"22,500",65.0,"11,250",0.25,0.30,"50,625",0.05,0.30,44.44,175,-71,492,
,14,-2,4,62.10,10.15,0.20,"39,375",9.10,9.80,"5,625",66.0,"50,625",0.25,0.45,"5,625",-0.05,0.25,38.96,8,-4,112,
,55,2,9,37.38,8.35,-1.25,"22,500",8.10,8.70,"5,625",67.0,"5,625",0.35,0.45,"16,875",0.05,0.40,40.34,7,-3,110,
,51,-1,28,36.51,7.45,-0.60,"39,375",7.25,7.85,"39,375",68.0,"5,625",0.45,0.55,"28,125",0.05,0.50,39.19,27,3,394,
,44,11,45,36.22,6.60,-0.70,"5,625",6.45,6.85,"11,250",69.0,"5,625",0.55,0.65,"5,625",0.05,0.60,37.51,8,-5,109,
,488,-16,155,36.15,5.80,-0.55,"11,250",5.60,5.95,"11,250",70.0,"45,000",0.70,0.80,"50,625",0.05,0.75,36.39,269,-24,806,
,198,7,227,35.23,5.00,-0.55,"11,250",4.95,5.10,"11,250",71.0,"28,125",0.90,0.95,"16,875",0.10,0.95,35.54,179,29,339,
,395,-51,198,33.61,4.20,-0.60,"11,250",4.15,4.30,"11,250",72.0,"16,875",1.15,1.25,"22,500",0.10,1.15,33.99,214,2,505,
,333,43,263,33.61,3.55,-0.55,"16,875",3.50,3.60,"11,250",73.0,"5,625",1.45,1.55,"16,875",0.15,1.45,33.29,314,49,337,
,385,-13,293,31.97,2.85,-0.60,"11,250",2.85,2.95,"16,875",74.0,"16,875",1.75,1.85,"11,250",0.20,1.85,33.18,725,-99,223,
,"1,282",32,969,32.29,2.35,-0.45,"5,625",2.35,2.40,"28,125",75.0,"16,875",2.20,2.30,"11,250",0.25,2.25,32.15,703,105,"1,258",
,402,52,495,32.34,1.90,-0.40,"28,125",1.85,1.95,"28,125",76.0,"11,250",2.75,2.85,"11,250",0.30,2.80,32.29,383,9,228,
,316,8,306,31.44,1.45,-0.45,"22,500",1.40,1.55,"5,625",77.0,"11,250",3.35,3.45,"11,250",0.30,3.40,32.20,297,4,146,
,307,7,358,32.57,1.20,-0.35,"28,125",1.15,1.25,"16,875",78.0,"11,250",4.00,4.10,"5,625",0.35,4.05,31.91,155,-,96,
,209,26,186,32.91,0.95,-0.25,"22,500",0.85,1.00,"22,500",79.0,"5,625",4.75,4.85,"5,625",0.50,4.85,33.13,117,25,62,
,"2,498",150,"1,101",33.32,0.75,-0.25,"2,19,375",0.70,0.80,"73,125",80.0,"16,875",5.35,5.70,"11,250",0.35,5.55,31.79,188,-15,365,
,85,-3,21,32.91,0.55,-0.20,"5,625",0.45,0.55,"5,625",81.0,"16,875",6.15,6.55,"11,250",0.60,6.55,35.48,54,6,38,
,"1,076",6,155,32.66,0.40,-0.20,"2,08,125",0.35,0.45,"45,000",82.0,"39,375",7.00,7.50,"16,875",0.60,7.40,35.77,30,-5,25,
,106,-6,29,34.31,0.35,-0.10,"78,750",0.30,0.40,"16,875",83.0,"39,375",7.90,8.40,"11,250",0.50,8.30,36.61,67,-6,42,
,136,30,67,35.65,0.30,-0.10,"22,500",0.25,0.35,"39,375",84.0,"39,375",8.85,9.40,"11,250",0.55,9.15,35.39,10,-2,65,
,768,116,518,34.76,0.20,-0.10,"18,90,000",0.20,0.25,"2,92,500",85.0,"39,375",9.80,10.30,"5,625",0.50,10.00,32.52,14,-2,472,
,90,-3,3,35.00,0.15,-0.15,"45,000",0.15,0.25,"16,875",86.0,"39,375",10.70,11.35,"67,500",-,11.55,-,-,-,21,
,28,3,4,37.30,0.15,-0.05,"1,57,500",0.10,0.25,"16,875",87.0,"39,375",11.65,12.35,"39,375",-,12.75,-,-,-,8,
,67,-1,7,36.64,0.10,-0.05,"73,125",0.10,0.20,"1,46,250",88.0,"5,625",12.70,13.25,"22,500",-,14.75,-,-,-,58,
,608,-3,18,40.78,0.10,-,"27,05,625",0.05,0.10,"1,46,250",90.0,"16,875",14.60,15.00,"5,625",0.25,14.55,-,4,-3,665,
,206,-,5,40.13,0.05,-0.05,-,-,0.05,"11,250",92.0,"22,500",16.55,17.15,"39,375",-,15.75,-,-,-,202,
,113,-,-,-,0.05,-,-,-,0.05,"84,375",100.0,-,-,-,-,-,-,-,-,-,-,-
