Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,420.0,"2,600",0.15,0.65,"1,300",-,0.65,-,-,-,14,
-,-,-,-,-,-,-,-,-,-,-,440.0,"19,500",0.10,2.30,"5,200",-,1.20,-,-,-,53,
-,-,-,-,-,-,-,-,-,-,-,450.0,"1,300",0.25,2.70,"5,200",-,0.50,-,-,-,57,
,-,-,-,-,-,-,"9,100",116.10,120.10,"3,900",460.0,"48,100",0.30,0.60,"3,900",-,0.60,-,-,-,116,
-,-,-,-,-,-,-,-,-,-,-,470.0,"13,000",0.35,2.50,"1,300",-,1.95,-,-,-,14,
,-,-,-,-,-,-,"9,100",96.65,101.05,"5,200",480.0,"2,600",1.10,1.75,"5,200",-,1.10,46.21,1,-,79,
,-,-,-,-,-,-,"6,500",86.60,93.30,"5,200",490.0,"2,600",0.65,3.65,"9,100",-,-,-,-,-,-,
,7,-1,3,-,78.10,27.00,"9,100",77.75,81.85,"9,100",500.0,"3,900",2.00,2.15,"1,300",0.15,2.05,43.50,160,40,199,
,-,-,-,-,-,-,"6,500",67.10,72.55,"3,900",510.0,"10,400",1.05,2.80,"1,300",-,-,-,-,-,-,
,8,-,-,-,45.50,-,"5,200",59.55,63.55,"6,500",520.0,"1,300",3.65,4.00,"1,300",0.35,3.75,40.88,23,-7,95,
,4,-,-,-,42.00,-,"6,500",50.80,55.45,"3,900",530.0,"1,300",5.05,5.25,"1,300",0.70,5.20,40.09,45,10,52,
,61,-,4,37.22,44.60,-3.00,"9,100",42.40,46.95,"3,900",540.0,"39,000",5.65,8.75,"26,000",0.50,6.95,38.97,26,3,124,
,158,-1,5,44.46,40.70,-1.70,"9,100",35.00,39.80,"1,300",550.0,"39,000",7.85,11.65,"26,000",1.10,9.55,38.63,99,6,266,
,99,2,10,33.81,29.00,-5.40,"9,100",28.30,31.85,"1,300",560.0,"2,600",11.90,14.75,"9,100",1.55,12.75,38.20,65,4,72,
,119,-11,63,36.16,24.30,-4.05,"1,300",23.50,25.75,"1,300",570.0,"1,300",14.80,17.65,"1,300",3.00,17.00,38.42,50,-6,26,
,153,-,169,36.67,19.50,-2.70,"3,900",17.50,20.95,"1,300",580.0,"1,300",20.25,23.40,"1,300",1.70,21.45,37.63,58,-,47,
,133,-89,345,36.49,15.10,-2.70,"28,600",13.35,15.95,"1,300",590.0,"5,200",24.90,29.60,"3,900",-1.30,23.70,31.36,12,6,9,
,373,20,330,36.51,11.55,-2.40,"1,300",11.25,13.20,"1,300",600.0,"5,200",31.65,35.50,"1,300",-3.55,29.50,29.85,5,3,94,
,80,7,42,36.80,8.80,-2.20,"1,300",8.30,10.85,"1,300",610.0,"3,900",38.20,42.70,"9,100",-,-,-,-,-,-,
,180,15,134,37.27,6.70,-1.75,"1,300",6.15,8.10,"26,000",620.0,"3,900",46.00,50.80,"9,100",-,78.00,-,-,-,5,
,-,-,-,-,-,-,"6,500",3.80,9.00,"3,900",630.0,"5,200",54.20,61.05,"9,100",-,52.20,-,-,-,1,
,99,-29,146,37.75,3.65,-1.25,"1,300",3.55,3.80,"1,300",640.0,"3,900",63.75,67.10,"1,300",-,61.20,-,-,-,23,
,69,2,30,39.36,2.15,-0.75,"1,300",2.00,2.20,"1,300",660.0,"9,100",81.25,86.00,"6,500",-24.15,79.60,-,2,-,26,
,138,6,155,41.40,1.35,-0.50,"1,300",1.30,1.40,"1,300",680.0,"1,300",100.95,104.80,"5,200",5.00,104.00,50.31,8,8,93,
,93,4,14,43.66,0.90,-0.25,"1,300",0.80,0.95,"1,300",700.0,-,-,-,-,-,-,-,-,-,-,-
