Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,2,-,-,-,510.00,-,-,-,570.05,"2,250","1,700.00",-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,"1,800.00",225,3.00,4.00,"1,350",1.15,3.95,53.70,44,8,103,
,-,-,-,-,-,-,675,354.05,377.10,"2,250","1,900.00",225,5.00,7.30,"4,500",-0.45,5.60,46.08,223,10,167,
-,-,-,-,-,-,-,-,-,-,-,"1,950.00","6,750",6.45,9.00,"4,050",-1.65,8.00,44.00,66,4,33,
,41,1,3,34.08,265.00,-53.85,450,266.95,279.90,900,"2,000.00",225,10.55,12.00,225,0.80,11.35,41.88,"1,226",-40,504,
,6,-,-,-,265.95,-1.05,675,217.10,235.30,900,"2,050.00",225,15.55,19.00,225,1.65,16.55,40.16,468,17,154,
,88,6,21,38.54,184.55,-61.25,"1,575",178.40,192.05,225,"2,100.00",225,24.35,26.00,225,3.70,24.55,38.90,"1,464",-7,607,
,24,-3,25,36.44,144.30,-45.45,675,139.60,153.40,225,"2,150.00",225,33.30,37.50,225,6.25,36.15,37.95,813,25,380,
,200,26,316,38.57,116.00,-35.80,675,107.80,117.50,675,"2,200.00",900,51.00,52.95,225,8.65,52.20,37.25,"2,914",2,"1,140",
,245,96,528,37.79,86.90,-30.90,225,86.05,88.60,225,"2,250.00",450,72.25,75.00,"1,575",14.75,75.00,37.56,"1,781",-48,518,
,"1,277",449,"3,121",37.68,64.00,-27.60,"1,125",63.35,64.50,225,"2,300.00",450,98.20,101.30,225,19.80,101.30,37.21,"2,410",-103,"1,002",
,"1,085",147,"1,798",37.95,46.50,-22.15,225,46.50,47.00,225,"2,350.00","1,350",128.15,138.60,675,25.35,133.65,37.51,550,-77,472,
,"3,300",321,"4,998",38.47,33.50,-17.10,450,32.55,33.50,450,"2,400.00",675,163.30,170.00,225,27.40,170.80,38.23,"1,440",-475,898,
,"1,293",52,"1,656",39.13,24.00,-12.70,225,23.55,23.95,225,"2,450.00",450,206.15,218.70,900,31.00,211.00,38.84,37,-7,146,
,"3,136",93,"4,171",39.41,16.55,-9.90,225,16.65,16.80,675,"2,500.00",225,250.75,254.60,225,39.95,253.60,39.33,42,7,462,
,873,58,936,40.15,11.70,-7.15,225,10.55,13.00,"1,125","2,550.00",225,293.10,302.05,225,49.95,302.75,43.88,5,1,111,
,"1,375",61,"1,476",40.89,8.25,-5.25,"1,350",8.40,8.95,225,"2,600.00",225,340.25,349.60,225,41.55,325.55,-,3,-1,46,
,412,67,375,41.77,5.90,-3.85,450,4.80,6.40,225,"2,650.00",675,384.65,402.90,675,-,310.40,-,-,-,22,
,739,-34,596,42.38,4.10,-2.90,450,4.00,4.25,225,"2,700.00",225,434.90,444.45,225,-,383.00,-,-,-,67,
,169,-20,62,43.62,3.10,-2.15,225,2.95,3.55,225,"2,750.00",675,475.10,501.30,675,-,362.75,-,-,-,15,
,642,26,234,45.08,2.45,-1.45,225,2.35,2.70,225,"2,800.00",900,529.15,543.40,900,8.00,490.00,-,-,-,134,
,-,-,-,-,-,-,225,1.25,8.50,"9,000","2,850.00","2,250",576.75,605.00,675,-,-,-,-,-,-,
,231,-16,57,45.60,1.10,-1.30,450,1.05,1.50,225,"2,900.00",900,628.75,647.10,675,-,389.30,-,-,-,72,
,573,1,24,51.43,1.20,-0.30,675,1.10,1.30,225,"3,000.00",675,728.20,739.35,450,-,576.00,-,-,-,66,
,61,-,2,55.21,1.00,-0.15,"9,000",0.40,1.40,450,"3,100.00",900,827.30,847.50,675,-,806.00,-,-,-,18,
,2,-,-,-,1.50,-,225,0.50,3.95,225,"3,150.00",900,877.25,898.70,"1,125",-,841.00,-,-,-,1,
,79,-,2,58.39,0.80,-0.55,450,0.30,1.30,450,"3,200.00","1,125",920.00,937.70,900,35.00,893.00,-,26,26,55,
