Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"2,000",320.65,333.55,"2,000","1,280.00","1,000",0.3,2.45,"15,000",-0.15,0.95,45.67,3,-,4,
,1,-,-,-,236.00,-,"3,500",279.60,293.55,"2,000","1,320.00",500,0.5,2.0,"1,000",0.05,1.30,42.36,38,-1,32,
-,-,-,-,-,-,-,-,-,-,-,"1,340.00",500,0.5,5.4,500,-,3.45,-,-,-,1,
,-,-,-,-,-,-,"3,500",241.50,253.90,"3,500","1,360.00","6,000",0.4,2.0,"1,500",-0.30,1.30,36.94,6,1,8,
,-,-,-,-,-,-,"3,500",221.50,234.75,"3,500","1,380.00","1,000",1.2,1.85,500,-,1.80,-,-,-,12,
,9,-,-,-,234.45,-,"2,000",202.00,214.30,"2,000","1,400.00","15,000",1.6,1.9,500,-0.15,2.05,34.29,72,12,350,
,2,-,-,-,185.50,-,"1,500",182.80,195.50,"1,500","1,420.00",500,2.3,2.55,500,-0.15,2.40,32.46,349,20,46,
,3,-,-,-,143.95,-,"1,500",162.95,176.40,"1,500","1,440.00",500,3.0,3.2,500,-0.50,3.25,31.57,324,-1,90,
,4,-,-,-,177.25,-,"1,500",144.90,157.45,"1,500","1,460.00",500,4.1,4.3,500,-0.60,4.30,30.54,290,-7,102,
,5,-,-,-,167.65,-,"2,000",126.75,138.60,500,"1,480.00","15,000",4.9,5.9,500,-0.65,5.75,29.60,371,-13,46,
,396,-,3,15.20,114.85,-16.75,500,112.50,117.95,500,"1,500.00",500,7.7,9.5,500,-0.70,7.75,28.76,448,20,411,
,66,4,4,25.08,102.20,-51.90,"2,000",91.75,109.75,"2,500","1,520.00","15,000",9.05,13.5,"10,000",-0.65,10.90,28.46,302,23,193,
,249,7,15,21.63,82.55,-34.65,"4,000",75.85,86.95,"2,000","1,540.00","1,500",14.0,14.75,"3,000",-0.50,14.75,27.94,230,-6,273,
,315,-9,57,21.52,66.95,-14.05,500,61.70,67.70,500,"1,560.00","15,000",16.95,20.2,500,0.05,20.00,27.68,345,44,261,
,216,-,68,21.23,52.65,-9.20,500,52.05,58.00,500,"1,580.00",500,22.95,31.1,500,0.65,26.80,27.60,316,14,166,
,329,29,295,22.56,42.50,-7.50,"1,000",42.40,45.40,500,"1,600.00","12,000",30.55,37.0,500,1.25,35.30,27.71,533,7,448,
,135,44,389,23.00,33.00,-6.80,500,32.50,35.00,500,"1,620.00",500,42.85,48.45,500,2.40,45.85,28.18,284,-20,144,
,290,19,416,23.48,25.30,-6.05,500,24.85,26.40,500,"1,640.00",500,54.1,59.45,500,3.00,58.10,28.82,115,-1,240,
,336,29,333,23.99,19.20,-4.85,500,19.00,20.00,500,"1,660.00",500,68.9,74.1,"1,500",2.95,70.60,28.74,43,-5,187,
,216,-34,244,24.63,14.60,-3.95,500,13.60,17.95,"10,000","1,680.00",500,81.85,92.2,"1,000",7.35,89.30,32.29,26,-4,159,
,949,84,491,24.98,10.75,-3.50,500,10.45,11.00,500,"1,700.00",500,99.25,104.9,500,5.25,103.20,31.75,100,-19,257,
,334,-45,498,25.46,7.95,-2.90,500,6.70,10.20,"2,500","1,720.00",500,114.25,125.1,500,16.85,120.85,33.54,3,-,33,
,128,35,109,26.14,6.00,-2.20,500,5.60,6.80,500,"1,740.00","2,000",131.95,143.65,"2,000",-,126.05,-,-,-,6,
,158,15,104,26.83,4.55,-1.65,500,4.50,4.75,500,"1,760.00","2,500",150.45,161.85,"3,500",34.20,157.05,36.79,1,-,16,
,76,-14,67,27.58,3.50,-1.30,500,3.45,3.60,500,"1,780.00","1,500",168.8,182.0,"2,500",23.25,172.30,34.60,2,-,2,
,627,32,168,28.43,2.75,-0.90,500,2.60,2.80,500,"1,800.00","11,000",188.4,197.85,500,20.00,190.00,34.32,1,1,198,
,81,13,36,28.65,1.95,-0.75,500,2.00,2.25,500,"1,820.00","1,500",205.3,220.65,"1,500",-,177.00,-,-,-,1,
,55,-2,7,30.59,1.90,-0.30,500,1.50,2.10,"1,000","1,840.00","3,500",225.15,240.75,"3,500",-,174.45,-,-,-,11,
,86,-8,19,30.35,1.25,-0.60,500,1.30,3.45,"15,000","1,860.00","3,500",247.35,260.3,"5,000",-,180.00,-,-,-,1,
,101,-1,8,30.63,0.90,-0.35,"1,000",0.85,1.05,"1,000","1,880.00","5,000",264.0,279.35,"1,500",-,-,-,-,-,-,
,56,2,13,32.62,0.65,-0.80,500,0.30,0.70,"1,500","1,920.00","5,000",303.35,319.1,"1,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,500",0.30,6.25,500,"1,960.00","1,500",346.0,363.85,"3,500",-,-,-,-,-,-,
