Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"1,400",321.2,333.4,"1,400","1,400.00","10,500",0.15,1.15,"1,400",-,2.15,-,-,-,2,
,-,-,-,-,-,-,"1,750",281.5,292.95,"1,400","1,440.00","14,000",0.15,0.85,"1,050",0.05,0.40,33.05,8,-,509,
,-,-,-,-,-,-,"1,750",241.75,253.65,"1,400","1,480.00","3,500",0.35,0.50,"1,050",-0.15,0.40,28.70,101,3,972,
,5,-,-,-,205.40,-,"3,150",223.3,232.8,700,"1,500.00","3,850",0.45,0.70,"8,050",-0.35,0.45,26.97,403,240,"1,019",
,-,-,-,-,-,-,"1,050",202.95,215.3,"1,050","1,520.00",700,1.05,1.15,700,-0.55,1.05,28.14,82,-19,595,
,2,-,-,-,200.00,-,"1,050",182.35,195.1,"1,400","1,540.00",350,1.50,1.65,700,-0.55,1.65,27.87,161,10,"1,500",
,1,-,-,-,150.25,-,"1,050",163.55,176.45,"1,050","1,560.00",700,2.00,2.10,"1,050",-1.00,2.15,26.69,333,56,490,
,14,-,-,-,153.90,-,"1,400",146.25,156.25,"2,100","1,580.00",350,2.95,3.10,350,-1.40,3.10,26.07,249,103,249,
,7,-,-,-,128.80,-,700,129.7,135.1,700,"1,600.00",700,4.20,4.40,"1,050",-1.95,4.35,25.33,680,-3,674,
,64,6,11,-,112.55,4.05,350,111.45,117.7,350,"1,620.00","1,050",5.80,6.15,350,-2.50,6.05,24.58,429,-16,280,
,82,20,25,16.59,95.95,0.40,"2,800",91.05,99.0,700,"1,640.00",350,7.30,10.55,350,-3.25,8.35,23.82,368,14,297,
,211,19,74,18.64,80.20,3.30,350,76.25,80.35,350,"1,660.00",350,10.95,11.65,350,-4.10,11.40,23.03,440,-25,580,
,213,27,170,17.65,63.20,1.40,"1,050",60.0,67.15,"2,800","1,680.00",350,15.05,16.00,350,-4.90,15.80,22.51,691,41,483,
,"1,448",749,"2,679",18.22,49.70,1.00,700,49.3,49.95,700,"1,700.00",700,20.05,22.00,"14,000",-6.15,21.50,21.99,"1,606",97,999,
,"1,184",487,"2,949",18.20,37.40,-0.10,350,37.4,37.45,"1,400","1,720.00","3,150",23.95,33.45,"3,150",-6.95,29.20,21.76,948,75,577,
,"1,037",162,"1,758",18.35,27.45,-0.55,700,27.4,27.95,700,"1,740.00",350,38.55,40.85,700,-7.40,38.90,21.70,568,-62,284,
,"2,964",-77,"1,411",18.21,19.10,-1.00,350,19.0,19.6,700,"1,760.00",700,47.75,54.30,350,-7.20,51.60,22.44,223,32,337,
,"1,262",-23,617,18.54,13.35,-1.10,350,13.3,13.9,350,"1,780.00","3,150",58.60,69.55,"1,750",-8.75,64.65,22.41,67,-13,267,
,"2,139",344,"1,840",18.96,9.25,-1.25,350,9.25,9.5,700,"1,800.00",700,79.30,82.85,"1,400",-4.95,81.25,23.95,33,5,531,
,774,-51,603,19.61,6.55,-0.95,350,6.35,8.3,350,"1,820.00",700,93.85,102.40,350,-5.50,101.60,27.83,11,1,110,
,722,92,625,20.27,4.65,-0.75,700,4.45,4.75,700,"1,840.00",350,111.85,118.15,700,-0.80,120.00,29.95,2,1,74,
,"1,333",-44,830,21.07,3.40,-0.65,350,3.25,3.8,350,"1,860.00",350,130.75,137.10,350,-3.30,135.45,29.03,2,-,59,
,655,187,381,21.65,2.40,-0.40,700,2.25,2.55,"1,400","1,880.00","1,050",146.65,158.95,"1,400",-,161.00,-,-,-,138,
,"2,176",-26,461,23.29,2.15,-0.05,"1,050",1.85,2.2,350,"1,900.00","3,850",169.90,175.35,700,2.25,179.00,38.36,4,1,200,
,719,84,418,22.94,1.25,-0.30,350,1.25,1.35,700,"1,920.00","1,400",185.40,197.30,"1,400",-0.05,180.00,-,-,-,6,
,991,-18,88,23.53,0.90,-0.20,350,0.75,1.05,700,"1,940.00","1,400",204.65,218.30,"1,050",-,213.00,-,-,-,1,
,411,-9,30,24.85,0.80,-0.20,350,0.8,0.95,350,"1,960.00","1,400",225.80,237.25,"1,750",-,-,-,-,-,-,
,38,-,-,-,1.05,-,350,0.65,0.85,"1,400","1,980.00",-,-,-,-,-,-,-,-,-,-,-
,"1,652",3,118,27.99,0.75,-0.15,"1,050",0.75,0.85,"4,200","2,000.00","3,500",265.90,276.80,"3,150",-,259.00,-,-,-,121,
,19,-,-,-,0.85,-,350,0.55,0.75,"1,750","2,020.00",-,-,-,-,-,-,-,-,-,-,-
,19,-,-,-,0.70,-,350,0.55,0.7,"1,400","2,080.00",-,-,-,-,-,-,-,-,-,-,-
,397,-,6,33.63,0.45,-0.05,"45,500",0.4,0.5,"2,800","2,100.00",-,-,-,-,-,-,-,-,-,-,-
,13,-,1,35.52,0.50,-0.40,"1,050",0.5,0.65,"1,050","2,120.00",-,-,-,-,-,-,-,-,-,-,-
,16,-,-,-,0.60,-,"1,050",0.25,0.55,700,"2,160.00",-,-,-,-,-,-,-,-,-,-,-
,168,6,52,40.05,0.40,-0.20,"4,900",0.4,0.6,"3,500","2,200.00",-,-,-,-,-,-,-,-,-,-,-
