Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,150,838.55,865.8,450,"3,100.00",150,0.75,6.20,150,-,6.20,-,-,-,1,
,-,-,-,-,-,-,150,739.55,764.1,450,"3,200.00","6,000",0.75,4.00,450,-,8.00,-,-,-,2,
,-,-,-,-,-,-,150,640.65,664.9,450,"3,300.00",600,2.50,6.15,"3,000",-0.50,2.60,37.13,16,-2,289,
,-,-,-,-,-,-,150,590.25,631.5,"1,050","3,350.00","6,000",1.35,19.25,600,-,4.45,-,-,-,-,
,-,-,-,-,-,-,150,543.75,567.15,450,"3,400.00","1,500",3.95,4.55,"2,100",-0.55,4.55,34.99,300,40,246,
,-,-,-,-,-,-,600,491.55,530.45,450,"3,450.00",150,2.75,15.35,"6,000",-,6.95,-,-,-,21,
,51,-,1,40.46,464.75,-95.25,150,454.25,474.25,"1,050","3,500.00",150,10.05,11.15,150,0.60,10.85,35.31,192,-5,334,
,1,-,-,-,325.00,-,150,397.15,434.7,450,"3,550.00",150,6.50,25.80,"6,000",0.05,13.30,-,-,-,79,
,80,-,-,-,425.00,-,150,358.85,382.3,450,"3,600.00","4,650",13.35,20.60,150,3.75,20.10,34.28,203,9,240,
,4,-1,2,57.46,389.05,102.75,300,315.9,354.25,"1,050","3,650.00",150,18.45,37.20,"3,000",7.10,26.65,33.68,208,-6,73,
,113,-,8,35.60,289.15,-82.85,150,275.7,296.6,600,"3,700.00",150,25.60,36.60,150,7.60,34.85,33.05,368,46,433,
,26,-,-,-,187.60,-,450,230.85,264.55,450,"3,750.00",150,31.80,61.65,150,10.10,45.65,32.61,189,8,118,
,244,2,31,32.47,208.00,-47.90,450,200.1,229.55,150,"3,800.00",150,54.25,74.10,150,11.75,57.60,31.76,304,16,514,
,133,-5,16,32.20,175.00,-45.30,150,155.15,188.4,450,"3,850.00",150,60.00,77.00,150,14.95,73.85,31.41,130,26,139,
,658,-17,558,31.74,144.40,-42.75,150,144.0,145.0,150,"3,900.00",300,81.50,93.40,150,19.05,92.60,30.89,765,-51,472,
,173,13,234,31.84,119.10,-37.85,150,116.05,127.8,300,"3,950.00",300,103.85,136.50,300,24.05,116.10,30.77,467,-25,103,
,"1,800",-168,"2,228",31.52,95.50,-35.00,600,94.95,98.0,150,"4,000.00",300,137.65,145.00,150,29.25,142.75,30.58,881,-49,495,
,564,-5,"3,466",30.88,74.00,-32.45,150,74.05,74.8,"1,500","4,050.00",600,164.10,185.45,600,37.55,174.00,30.75,371,95,129,
,618,8,"2,418",30.51,56.75,-27.95,150,56.0,58.0,"1,050","4,100.00",900,194.20,213.00,150,34.00,200.35,28.54,70,22,89,
,102,9,206,30.83,44.60,-23.10,150,42.05,50.05,150,"4,150.00",450,228.35,256.65,450,21.20,199.95,7.44,4,2,4,
,611,89,"1,040",30.48,32.95,-18.50,150,32.9,33.05,150,"4,200.00","1,500",268.10,290.50,150,47.50,275.00,27.59,3,1,39,
,154,45,211,30.45,24.50,-14.30,150,16.9,26.55,150,"4,250.00",600,307.05,338.15,450,-,434.75,-,-,-,3,
,549,39,754,30.76,18.60,-11.80,300,17.05,20.0,150,"4,300.00",450,353.75,375.05,300,70.20,360.00,26.55,1,-,39,
,54,12,75,30.78,13.55,-9.55,150,5.3,17.0,150,"4,350.00",450,386.80,428.30,450,-,-,-,-,-,-,
,326,-3,482,31.18,10.25,-7.45,300,10.0,10.6,900,"4,400.00",750,445.70,460.00,150,58.05,460.00,32.08,9,4,32,
,74,-1,177,31.72,7.90,-5.40,"4,500",4.65,11.65,"3,000","4,450.00",150,489.00,519.95,750,-,416.85,-,-,-,15,
,356,37,544,32.05,5.90,-4.10,150,5.9,6.85,150,"4,500.00",600,541.95,567.00,600,-,470.00,-,-,-,14,
,7,5,11,33.38,5.20,-3.75,150,4.05,19.8,450,"4,550.00",-,-,-,-,-,-,-,-,-,-,-
,260,53,277,32.52,3.15,-2.60,150,3.15,3.65,150,"4,600.00",450,634.40,666.45,450,-,888.60,-,-,-,1,
,5,-,-,-,3.00,-,150,1.4,6.45,150,"4,700.00","1,050",734.60,765.55,450,-,-,-,-,-,-,
