Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"3,300.00","4,500",0.8,3.30,150,-0.30,1.15,44.65,23,7,226,
-,-,-,-,-,-,-,-,-,-,-,"3,400.00","4,500",0.95,3.55,600,-1.10,2.50,44.39,7,-1,13,
,-,-,-,-,-,-,"1,050",698.00,732.25,"1,050","3,500.00",600,2.6,2.90,150,-0.05,2.90,40.28,257,56,690,
-,-,-,-,-,-,-,-,-,-,-,"3,550.00",150,1.45,8.00,600,-0.30,3.70,39.27,5,-,65,
,1,-,10,54.23,678.10,-113.10,150,603.80,634.30,450,"3,600.00",150,5.1,5.90,150,0.45,5.80,39.72,495,140,443,
-,-,-,-,-,-,-,-,-,-,-,"3,650.00",150,2.55,10.50,900,-,11.55,-,-,-,60,
,-,-,-,-,-,-,"1,050",509.75,540.40,600,"3,700.00",150,3.05,19.00,750,0.90,9.90,38.29,417,51,365,
-,-,-,-,-,-,-,-,-,-,-,"3,750.00",150,8.6,29.95,150,1.55,14.00,38.40,214,34,130,
,22,1,2,-,431.10,-18.90,"1,050",414.10,461.70,450,"3,800.00",150,11.0,25.40,150,3.85,19.40,38.54,"1,288",488,903,
,11,-,-,-,587.60,-,600,372.30,406.45,150,"3,850.00",150,22.0,29.00,150,2.45,23.40,37.29,292,39,240,
,11,10,29,-,344.70,-101.95,150,337.60,362.15,450,"3,900.00",150,29.05,35.00,150,4.50,30.90,37.18,"1,465",72,448,
,11,-,-,-,340.25,-,450,290.95,331.95,450,"3,950.00",150,38.75,-,-,3.85,38.80,36.57,573,74,127,
,257,-1,115,24.00,273.55,-37.75,150,256.15,277.55,450,"4,000.00",900,48.2,52.00,150,6.85,50.20,36.56,"3,847",281,"1,426",
,134,-2,44,23.75,231.70,-22.60,150,216.45,246.15,"1,050","4,050.00",150,54.75,64.95,150,10.05,64.20,36.67,"1,230",91,366,
,404,17,162,24.85,196.90,-37.25,150,188.05,202.40,150,"4,100.00",150,77.0,85.00,600,13.05,81.25,36.93,"3,234",169,687,
,359,134,420,26.77,169.50,-31.30,150,149.85,171.95,150,"4,150.00",450,83.0,107.70,300,17.25,101.00,37.20,"2,463",136,549,
,950,420,"3,178",27.30,141.30,-30.00,450,139.00,145.95,150,"4,200.00",150,120.0,124.00,150,18.20,121.05,36.87,"6,094",608,"1,954",
,"1,094",311,"4,257",28.06,117.80,-27.60,300,115.40,119.00,150,"4,250.00",300,141.7,153.00,150,25.35,150.75,38.28,"2,959",35,595,
,"3,396",915,"14,677",28.07,99.00,-22.35,150,93.00,97.15,150,"4,300.00",150,169.25,177.25,450,25.65,175.75,37.89,"4,458",477,"1,268",
,"1,274",561,"6,532",28.82,78.00,-20.65,300,70.00,81.80,300,"4,350.00",900,184.85,214.80,150,28.80,207.60,38.58,"1,157",130,423,
,"3,716","1,022","8,273",29.19,62.75,-17.30,150,59.35,64.00,750,"4,400.00",150,235.35,252.45,300,35.30,244.00,39.86,727,68,686,
,492,-14,"2,801",29.27,49.05,-15.80,150,47.95,52.00,150,"4,450.00",900,268.6,296.35,150,11.75,282.15,41.12,107,-40,78,
,"3,260",901,"7,570",29.65,38.80,-13.35,150,38.05,39.00,150,"4,500.00",150,312.1,326.25,300,34.60,319.85,41.80,84,37,245,
,425,72,"1,557",31.36,34.25,-7.85,150,16.55,34.70,150,"4,550.00",900,330.65,377.60,450,-45.70,277.75,-,24,1,16,
,"1,056",87,"2,734",30.44,24.00,-9.30,900,22.00,25.00,"5,550","4,600.00",150,394.2,416.35,150,-60.15,320.35,-,37,10,63,
,459,-34,"1,189",30.27,17.60,-8.85,150,15.00,20.15,150,"4,650.00",150,431.7,459.35,150,-11.55,393.00,21.04,14,1,20,
,"1,125",259,"1,632",31.08,14.35,-6.65,150,12.05,14.60,300,"4,700.00","1,950",477.0,513.15,"1,950",19.20,494.90,48.10,75,48,149,
,259,62,622,31.14,10.65,-5.80,"6,000",5.20,13.00,150,"4,750.00",450,523.45,556.45,600,-,396.75,-,-,-,4,
,974,236,"2,109",31.06,7.65,-5.10,300,7.50,9.00,150,"4,800.00",150,571.3,598.10,150,-89.60,493.45,-,16,4,169,
,-,-,-,-,-,-,"3,600",2.55,14.45,"6,000","4,850.00",450,618.5,658.25,"1,050",-,-,-,-,-,-,
,624,-82,"1,113",31.84,4.50,-3.05,150,3.10,5.80,150,"4,900.00",600,664.3,701.40,450,-,667.90,-,-,-,10,
,"2,029",466,"1,711",32.81,2.75,-1.65,300,2.40,3.20,"5,850","5,000.00",150,767.2,793.35,150,-43.55,721.45,-,12,-3,231,
,540,13,110,37.00,3.20,0.45,"1,800",1.20,2.90,300,"5,100.00",450,866.6,897.10,"1,050",-,-,-,-,-,-,
