Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,460.0,"1,400",0.25,0.30,"8,400",-0.05,0.25,49.06,51,6,228,
,-,-,-,-,-,-,"9,800",116.45,120.90,"9,800",480.0,"2,800",0.40,0.55,"2,800",-0.10,0.40,44.99,1,-1,85,
-,-,-,-,-,-,-,-,-,-,-,490.0,"2,800",0.35,0.60,"5,600",-,0.55,-,-,-,61,
,16,-,-,-,79.50,-,"1,400",97.10,100.50,"2,800",500.0,"1,400",0.70,0.75,"1,400",-0.20,0.70,41.48,58,27,302,
,-,-,-,-,-,-,"4,200",86.95,91.40,"5,600",510.0,"5,600",1.05,1.10,"4,200",-0.30,1.10,41.07,155,24,180,
,24,-,10,39.41,81.40,10.65,"2,800",77.95,81.15,"2,800",520.0,"4,200",1.60,1.65,"4,200",-0.35,1.60,40.19,285,48,307,
,83,-,-,-,74.10,-,"2,800",69.50,71.75,"2,800",530.0,"2,800",2.30,2.35,"2,800",-0.45,2.30,39.34,230,-15,337,
,39,-29,84,-,57.70,-4.00,"1,400",60.50,62.85,"1,400",540.0,"2,800",3.25,3.40,"1,400",-0.35,3.45,39.18,258,31,293,
,114,-25,63,32.10,52.90,-4.25,"2,800",51.60,54.35,"2,800",550.0,"4,200",4.55,4.65,"2,800",-0.45,4.65,37.97,541,62,688,
,161,-5,24,31.60,44.40,-3.70,"1,400",43.10,44.95,"1,400",560.0,"1,400",6.30,6.45,"1,400",-0.40,6.40,37.21,414,34,562,
,202,-15,49,30.17,36.05,-4.30,"1,400",36.70,38.55,"2,800",570.0,"2,800",7.50,8.85,"2,800",-0.40,8.55,36.23,676,133,680,
,538,31,433,32.90,30.35,-3.15,"1,400",29.75,31.10,"1,400",580.0,"7,000",11.50,11.90,"1,400",-,11.65,35.97,578,-34,658,
,664,4,510,32.45,24.00,-2.90,"1,400",23.75,24.40,"1,400",590.0,"2,800",15.20,15.40,"2,800",0.25,15.30,35.41,966,27,912,
,"1,583",63,"1,766",32.24,18.60,-2.25,"1,400",18.55,18.75,"1,400",600.0,"1,400",19.25,20.15,"1,400",0.50,19.85,35.11,884,-18,"1,397",
,"1,737",59,950,32.02,14.05,-2.05,"1,400",14.00,14.40,"42,000",610.0,"1,400",24.95,26.85,"1,400",1.10,25.25,34.95,255,-8,183,
,"1,109",118,940,32.04,10.45,-1.70,"1,400",10.40,10.55,"4,200",620.0,"1,400",30.80,32.25,"4,200",1.60,31.70,35.32,181,13,252,
,910,-2,504,32.27,7.70,-1.25,"1,400",7.55,7.80,"4,200",630.0,"1,400",37.90,41.20,"16,800",1.85,38.70,35.46,9,-1,131,
,508,63,606,32.67,5.65,-0.85,"2,800",5.60,5.70,"4,200",640.0,"1,400",45.80,48.60,"2,800",2.25,46.65,36.38,4,3,143,
,918,116,639,32.80,4.00,-0.75,"5,600",4.05,4.15,"4,200",650.0,"1,400",53.85,56.90,"12,600",2.05,54.45,35.83,2,-,372,
,365,45,269,33.16,2.85,-0.50,"2,800",2.90,3.00,"4,200",660.0,"5,600",62.20,64.95,"1,400",7.95,66.95,46.49,9,2,124,
,295,82,242,34.10,2.15,-0.30,"2,800",2.05,2.20,"1,400",670.0,"5,600",71.10,75.00,"5,600",-,84.05,-,-,-,18,
,178,4,125,34.12,1.45,-0.30,"7,000",1.40,1.50,"7,000",680.0,"5,600",80.50,84.70,"5,600",5.15,83.25,44.60,1,-1,13,
,192,34,99,34.06,0.95,-0.25,"4,200",0.80,1.00,"1,400",690.0,-,-,-,-,-,-,-,-,-,-,-
,511,-1,130,35.27,0.75,-0.15,"2,800",0.70,0.75,"2,800",700.0,"26,600",99.60,104.00,"1,400",-1.15,95.85,-,1,-,160,
,176,-1,18,36.55,0.40,-0.10,"4,200",0.35,0.45,"1,400",720.0,"9,800",118.90,123.35,"5,600",-,129.00,-,-,-,31,
