Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,3,-,-,-,327.65,-,900,408.55,429.65,600,"1,960.00",300,0.75,1.45,"1,200",-0.65,0.80,36.68,9,-1,10,
,2,-,-,-,400.00,-,"2,700",370.70,388.70,"2,700","2,000.00",600,0.7,1.25,300,-0.40,0.80,33.38,19,-18,23,
,-,-,-,-,-,-,900,328.70,351.90,900,"2,040.00",900,0.25,4.65,"1,200",-,-,-,-,-,-,
,-,-,-,-,-,-,900,289.75,310.60,900,"2,080.00",900,0.25,3.0,900,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"2,100.00",300,1.15,1.6,300,0.05,1.35,27.33,31,4,174,
,-,-,-,-,-,-,900,250.45,270.55,900,"2,120.00","3,300",0.7,3.0,600,-0.25,1.50,26.07,7,-,61,
-,-,-,-,-,-,-,-,-,-,-,"2,140.00",300,1.2,1.75,300,0.20,1.60,24.61,24,-,130,
,-,-,-,-,-,-,900,210.00,231.40,900,"2,160.00",300,1.2,1.95,300,0.10,1.75,23.23,278,89,279,
,-,-,-,-,-,-,"2,100",192.75,212.20,"1,200","2,180.00",300,1.85,2.6,600,0.15,2.30,22.60,405,-70,434,
,38,-1,5,-,182.00,-58.00,300,180.20,185.85,300,"2,200.00",300,2.95,3.35,300,0.25,3.15,22.16,"1,476",115,"1,312",
,-,-,-,-,-,-,900,153.85,173.55,900,"2,220.00",300,4.0,4.3,600,0.25,4.20,21.62,418,-49,332,
,-,-,-,-,-,-,900,137.25,155.05,900,"2,240.00",300,5.2,5.6,300,0.35,5.50,21.00,968,12,619,
,71,11,32,-,128.05,-146.95,"2,100",118.20,135.65,900,"2,260.00",300,7.0,11.6,300,0.30,7.65,20.77,694,166,677,
,49,23,76,12.01,110.05,-55.05,"2,100",102.25,118.45,"1,200","2,280.00",300,10.1,10.8,300,0.50,10.30,20.42,526,7,326,
,230,-5,179,14.23,94.00,-21.50,600,95.10,98.65,600,"2,300.00",600,13.7,14.1,300,0.80,13.90,20.18,"1,332",-41,"1,301",
,62,4,70,15.66,79.70,-21.40,900,70.00,87.30,600,"2,320.00",300,18.3,20.85,300,1.35,18.45,19.95,650,72,435,
,105,16,167,15.81,65.25,-20.60,300,64.70,70.15,300,"2,340.00",300,23.25,24.8,300,2.45,24.60,19.95,949,-38,484,
,200,46,584,16.39,53.35,-18.85,300,52.60,53.75,"1,500","2,360.00",300,31.05,34.0,300,3.15,31.50,19.71,"1,398",51,517,
,"1,273","1,101","2,841",16.64,42.50,-17.40,300,41.70,42.70,300,"2,380.00",300,40.0,41.6,300,4.70,40.85,19.96,"1,506",59,492,
,"1,965",363,"4,986",16.89,33.35,-15.80,300,33.35,33.70,300,"2,400.00",300,49.3,52.0,300,6.55,51.10,19.99,"1,916",-58,"1,561",
,"1,053",15,"2,471",17.10,25.70,-13.30,"3,300",25.50,25.90,300,"2,420.00",300,58.95,64.9,300,8.85,63.65,20.44,641,-134,572,
,"1,712",271,"2,804",17.31,19.50,-10.95,"4,800",19.50,19.70,300,"2,440.00",900,75.05,78.95,300,11.70,77.80,21.08,368,-78,447,
,"1,317",108,"2,127",17.69,14.90,-8.90,600,14.80,15.95,600,"2,460.00",300,90.9,97.1,900,12.75,92.45,21.46,156,-27,620,
,"1,561",229,"1,380",17.96,11.15,-6.90,600,10.80,11.20,"4,500","2,480.00",300,102.5,110.45,600,15.50,109.25,22.52,82,-7,248,
,"4,708",798,"4,594",18.52,8.65,-5.20,900,8.50,9.00,600,"2,500.00",300,121.05,130.7,600,16.40,126.15,23.29,177,-10,798,
,860,-137,"1,038",18.88,6.50,-3.95,300,6.30,6.70,300,"2,520.00",900,140.75,151.65,"2,100",54.95,148.40,27.08,17,-6,251,
,"2,563",-194,"1,046",19.17,4.80,-3.15,600,4.90,5.20,300,"2,540.00","1,200",156.6,166.3,"1,800",20.00,164.35,26.84,4,-2,254,
,"1,136",-20,683,20.10,4.05,-2.25,900,4.00,4.20,300,"2,560.00","1,200",174.8,190.1,"2,400",18.15,178.75,24.84,1,-,210,
,951,-190,796,20.74,3.25,-1.65,"1,200",3.25,3.40,"1,500","2,580.00","1,200",195.7,204.55,600,11.45,175.95,-,3,-1,149,
,"5,006",147,"1,981",21.81,2.90,-1.25,900,2.80,2.95,300,"2,600.00",300,215.95,223.6,300,18.25,217.65,27.82,8,-2,421,
,472,5,232,22.40,2.35,-0.95,600,2.20,2.45,300,"2,620.00","1,200",233.35,249.45,"1,200",-0.55,178.20,-,-,-,64,
,757,-51,139,23.17,2.00,-0.70,300,1.95,2.10,300,"2,640.00","1,200",253.4,271.9,"1,200",-,199.50,-,-,-,35,
,439,-14,101,24.01,1.75,-0.50,600,1.70,1.85,300,"2,660.00","1,200",272.85,291.45,"2,100",-,101.95,-,-,-,8,
,347,-13,14,24.73,1.50,-0.50,900,1.10,1.80,300,"2,680.00","1,200",291.4,308.8,"2,100",10.05,175.70,-,-,-,15,
,"2,076",-89,511,25.14,1.20,-0.50,"2,400",1.20,1.45,600,"2,700.00","3,000",314.5,323.75,600,61.00,329.00,46.91,8,8,254,
,731,7,73,26.89,1.35,-0.20,300,1.30,1.65,600,"2,720.00","1,200",329.55,351.3,"2,100",-,178.40,-,-,-,26,
,-,-,-,-,-,-,900,0.70,2.40,"3,000","2,740.00","1,200",348.95,369.6,900,-,-,-,-,-,-,
,351,-7,9,28.32,1.05,-0.25,300,0.85,1.30,600,"2,760.00","1,200",369.0,390.15,900,-,194.40,-,-,-,2,
,-,-,-,-,-,-,300,0.45,3.05,300,"2,780.00",900,389.7,411.1,900,-,-,-,-,-,-,
,"1,283",-19,114,29.81,0.85,-0.05,"17,400",0.70,0.85,600,"2,800.00",300,412.15,426.5,300,40.00,400.00,-,1,-1,290,
,-,-,-,-,-,-,900,0.20,2.05,"1,200","2,820.00","2,100",429.3,449.2,900,-,-,-,-,-,-,
,175,-11,18,30.65,0.60,-0.15,900,0.35,0.70,900,"2,840.00","1,200",448.1,469.3,900,-,-,-,-,-,-,
,-,-,-,-,-,-,900,0.20,2.15,"1,200","2,860.00",900,469.3,489.65,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,3.50,"3,000","2,880.00","1,200",487.25,511.45,900,-,-,-,-,-,-,
,-,-,-,-,-,-,"9,000",0.10,1.85,"1,200","2,900.00",900,509.0,528.25,300,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,3.85,"3,000","2,920.00",900,510.9,552.5,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,3.70,"3,000","2,940.00",900,529.6,572.25,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.70,"3,000","2,960.00",900,548.15,588.35,"1,200",-,-,-,-,-,-,
