Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"2,425",45.95,47.35,"7,275",160.0,"9,700",0.4,0.5,"9,700",0.10,0.50,62.91,66,-6,378,
,-,-,-,-,-,-,"9,700",40.8,42.35,"16,975",165.0,"2,425",0.1,0.6,"2,425",-,-,-,-,-,-,
,18,-3,6,50.89,37.05,-0.05,"2,425",36.3,37.65,"14,550",170.0,"12,125",0.7,0.8,"9,700",0.25,0.75,55.04,79,-18,194,
,21,-1,6,61.97,33.40,-4.00,"9,700",31.5,33.05,"9,700",175.0,"4,850",1.0,1.1,"4,850",0.35,1.10,53.42,33,-4,151,
,38,9,27,44.26,27.50,-3.75,"2,425",26.95,28.4,"14,550",180.0,"4,850",1.3,1.45,"2,425",0.35,1.40,49.86,275,-24,736,
,58,12,33,48.40,23.65,-3.55,"9,700",22.55,23.7,"4,850",185.0,"2,425",1.95,2.15,"7,275",0.60,2.10,48.92,91,-,181,
,143,3,44,51.75,20.25,-2.45,"2,425",18.65,19.8,"4,850",190.0,"7,275",2.9,3.0,"19,400",0.75,3.00,47.58,354,-66,645,
,102,-2,61,43.42,15.40,-3.35,"2,425",14.9,16.05,"7,275",195.0,"2,425",4.15,4.3,"4,850",1.05,4.25,46.57,222,13,195,
,557,-2,215,43.06,12.10,-3.05,"4,850",11.8,12.65,"4,850",200.0,"38,800",5.55,5.95,"2,425",1.25,5.80,45.22,569,23,"1,263",
,238,42,347,43.46,9.40,-2.55,"2,425",9.2,9.9,"2,425",205.0,"4,850",7.55,8.8,"4,850",1.75,8.15,45.90,417,7,289,
,845,142,"1,141",43.53,7.10,-2.15,"2,425",6.95,7.3,"4,850",210.0,"2,425",10.6,11.05,"2,425",1.90,10.60,44.83,416,-30,632,
,410,-9,579,43.65,5.25,-1.95,"4,850",5.15,5.35,"2,425",215.0,"2,425",13.6,14.5,"4,850",2.70,14.05,46.76,96,-16,231,
,"2,097",-33,"1,259",44.07,3.85,-1.55,"7,275",3.8,3.9,"2,425",220.0,"4,850",16.9,18.1,"4,850",2.90,17.30,45.60,92,-13,553,
,745,21,458,44.95,2.85,-1.25,"7,275",2.8,2.9,"2,425",225.0,"16,975",20.8,22.1,"2,425",3.25,21.25,46.53,30,8,170,
,"1,518",162,757,46.22,2.15,-0.90,"14,550",2.0,2.1,"2,425",230.0,"2,425",25.0,26.35,"4,850",4.35,25.60,48.61,16,-,206,
,622,23,465,46.78,1.55,-0.80,"29,100",1.55,1.65,"14,550",235.0,"16,975",29.4,30.7,"2,425",3.40,29.95,49.42,20,-,121,
,"1,966",53,577,48.33,1.20,-0.65,"21,825",1.15,1.25,"14,550",240.0,"9,700",33.9,35.55,"2,425",3.55,34.65,52.16,21,-5,122,
,456,8,117,49.37,0.90,-0.55,"14,550",0.85,0.95,"16,975",245.0,"2,425",38.65,40.2,"16,975",6.00,40.15,62.08,5,1,29,
,"1,804",-39,642,51.52,0.75,-0.35,"65,475",0.75,0.8,"55,775",250.0,"7,275",43.4,45.05,"4,850",3.85,43.30,42.63,6,-,68,
,304,-4,27,53.92,0.65,-0.20,"7,275",0.5,0.65,"4,850",255.0,"9,700",48.25,50.05,"7,275",-,39.40,-,-,-,28,
,734,-44,113,53.80,0.45,-0.25,"80,025",0.4,0.5,"1,21,250",260.0,"9,700",53.0,54.6,"16,975",-0.10,49.40,-,1,-,102,
,258,-,5,54.87,0.35,-0.15,"4,850",0.3,0.4,"12,125",265.0,"16,975",57.95,59.75,"16,975",-,42.75,-,-,-,18,
,428,-11,115,56.74,0.30,-0.15,"60,625",0.25,0.3,"2,425",270.0,"16,975",62.85,64.65,"2,425",-,49.75,-,-,-,10,
,350,-2,73,61.25,0.25,-0.10,"7,275",0.25,0.3,"2,425",280.0,"16,975",72.8,74.65,"41,225",-,71.85,-,-,-,8,
,156,-5,18,64.95,0.20,-0.05,"14,550",0.2,0.25,"4,850",290.0,"9,700",82.7,84.3,"16,975",-,70.70,-,-,-,3,
