Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,4.0,-,-,0.05,"1,83,20,000",-,0.05,-,-,-,15,
-,-,-,-,-,-,-,-,-,-,-,5.0,-,-,0.05,"1,91,20,000",-,0.05,-,-,-,150,
,25,4,4,145.70,3.45,-0.10,"80,000",3.30,9.20,"80,000",6.0,-,-,0.05,"1,50,00,000",-,0.05,-,-,-,320,
,139,10,12,89.11,2.40,-0.25,"1,60,000",2.15,2.45,"40,000",7.0,"1,99,20,000",0.05,0.10,"3,19,60,000",0.05,0.10,98.13,21,15,"1,592",
,718,8,248,74.71,1.50,-0.25,"6,00,000",1.45,1.50,"1,60,000",8.0,"86,40,000",0.15,0.20,"1,90,40,000",0.05,0.20,80.91,"4,501",-311,"1,616",
,"3,451",80,"2,292",76.35,0.85,-0.15,"36,40,000",0.80,0.85,"43,20,000",9.0,"70,40,000",0.45,0.50,"55,20,000",0.10,0.50,75.37,"1,378",130,"3,734",
,"9,124",440,"5,200",73.68,0.40,-0.15,"3,03,60,000",0.40,0.45,"2,69,20,000",10.0,"8,80,000",1.05,1.10,"3,60,000",0.15,1.05,73.37,493,145,"2,011",
,"5,759",99,"2,158",78.20,0.20,-0.05,"6,43,20,000",0.15,0.20,"95,20,000",11.0,"3,60,000",1.80,1.85,"80,000",0.15,1.80,70.79,83,16,732,
,"4,498",11,214,82.08,0.10,-0.05,"5,50,00,000",0.10,0.15,"4,92,00,000",12.0,"1,20,000",2.60,2.85,"40,000",0.20,2.70,71.77,17,3,283,
,734,31,41,85.22,0.05,-,"1,76,80,000",0.05,0.10,"3,56,00,000",13.0,"80,000",3.55,3.75,"1,20,000",0.30,3.70,90.03,25,24,122,
,"1,361",19,19,99.48,0.05,-,-,-,0.05,"55,60,000",14.0,-,-,-,-,-,-,-,-,-,-,-
