Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,4,2,2,-,38.00,-4.00,"2,750",38.45,39.8,"2,750",160.0,"55,000",0.25,0.30,"19,250",-0.05,0.25,52.53,23,-3,189,
,-,-,-,-,-,-,"19,250",33.6,35.05,"8,250",165.0,"5,500",0.40,0.55,"5,500",-,0.50,53.26,38,4,189,
,14,-1,4,-,28.40,-5.10,"2,750",28.9,30.05,"2,750",170.0,"5,500",0.70,0.75,"2,750",-,0.75,51.43,83,-12,208,
,9,-,-,-,22.30,-0.05,"19,250",26.6,28.2,"19,250",172.5,"2,750",0.85,1.00,"5,500",0.15,1.00,51.71,19,1,73,
,52,-,1,-,25.20,-3.15,"2,750",24.35,25.4,"5,500",175.0,"2,750",1.10,1.15,"2,750",0.10,1.15,50.11,86,-19,221,
,61,-,-,-,25.80,-,"19,250",22.15,23.5,"11,000",177.5,"5,500",1.35,1.50,"2,750",0.10,1.40,49.33,11,6,36,
,32,-,1,-,20.50,-2.70,"5,500",20.05,21.0,"5,500",180.0,"11,000",1.70,1.80,"8,250",0.20,1.75,49.06,188,26,291,
,15,1,2,-,17.25,-4.00,"11,000",17.8,19.05,"16,500",182.5,"2,750",2.05,2.20,"2,750",0.30,2.15,48.66,60,10,113,
,99,-3,24,-,16.55,-2.60,"5,500",15.95,16.85,"5,500",185.0,"2,750",2.55,2.70,"2,750",0.25,2.55,47.73,211,20,416,
,71,-6,10,-,13.60,-3.50,"11,000",14.0,15.5,"19,250",187.5,"2,750",3.10,3.25,"2,750",0.55,3.30,48.79,110,-11,134,
,128,-12,69,-,12.80,-2.45,"5,500",12.3,12.85,"2,750",190.0,"5,500",3.80,3.95,"5,500",0.55,3.90,48.13,"1,160",-78,512,
,60,4,28,20.50,11.35,-2.05,"2,750",11.15,11.4,"2,750",192.5,"2,750",4.65,4.80,"2,750",0.65,4.65,47.87,116,14,85,
,167,-1,105,22.03,9.50,-2.30,"5,500",9.3,10.2,"2,750",195.0,"8,250",5.70,6.00,"2,750",0.90,5.70,48.75,561,-36,384,
,125,-4,60,26.68,8.45,-1.70,"2,750",7.75,8.5,"2,750",197.5,"60,500",6.05,7.45,"8,250",0.95,6.65,48.45,157,11,107,
,791,55,"1,309",28.04,7.15,-1.65,"5,500",7.0,7.2,"8,250",200.0,"2,750",8.00,8.75,"2,750",1.20,8.00,49.72,767,9,586,
,184,9,411,29.62,6.10,-1.35,"2,750",5.45,6.25,"2,750",202.5,"5,500",9.05,10.10,"2,750",1.40,9.35,50.39,221,-5,45,
,638,-10,"1,934",30.26,5.05,-1.35,"2,750",5.0,5.15,"11,000",205.0,"33,000",10.30,11.80,"19,250",1.55,10.90,51.57,714,-27,254,
,190,14,773,31.11,4.20,-1.15,"5,500",4.15,4.35,"5,500",207.5,"22,000",12.15,13.35,"27,500",1.55,12.40,51.98,114,-6,35,
,"1,358",626,"4,036",32.57,3.60,-0.90,"16,500",3.6,3.7,"1,04,500",210.0,"22,000",14.15,14.85,"2,750",2.05,14.40,54.55,276,24,210,
,112,21,441,33.10,2.95,-0.80,"2,750",2.9,3.0,"5,500",212.5,"13,750",15.70,17.05,"2,750",2.65,16.85,59.13,24,4,18,
,290,10,939,33.89,2.45,-0.65,"11,000",2.4,2.5,"13,750",215.0,"11,000",17.95,19.00,"2,750",3.15,19.05,62.11,13,7,32,
,126,21,255,34.42,2.00,-0.65,"2,750",1.95,2.1,"2,750",217.5,"11,000",19.80,21.10,"19,250",4.20,21.50,66.19,12,-,9,
,645,74,955,35.87,1.75,-0.40,"2,750",1.7,1.75,"16,500",220.0,"2,750",22.10,23.15,"8,250",3.10,23.25,66.17,12,-3,17,
,66,3,61,36.11,1.40,-0.40,"5,500",1.35,1.5,"5,500",222.5,"8,250",24.00,25.60,"19,250",0.45,22.75,52.07,3,-2,9,
,526,-32,388,37.16,1.20,-0.30,"16,500",1.1,1.2,"24,750",225.0,"2,750",26.55,27.60,"2,750",3.05,27.30,68.35,3,-1,86,
,5,-,-,-,2.60,-,"2,750",0.15,1.9,"19,250",227.5,"11,000",27.70,30.75,"13,750",-,-,-,-,-,-,
,550,73,613,38.72,0.85,-0.30,"30,250",0.8,0.9,"19,250",230.0,"11,000",30.95,32.35,"11,000",-,29.00,-,-,-,4,
,-,-,-,-,-,-,"2,750",0.1,1.55,"11,000",232.5,"11,000",32.75,35.40,"13,750",-,-,-,-,-,-,
,92,2,49,40.84,0.65,-0.10,"5,500",0.55,0.65,"8,250",235.0,"8,250",35.55,37.45,"27,500",-,35.90,-,-,-,2,
,214,26,172,41.88,0.45,-0.10,"22,000",0.4,0.45,"19,250",240.0,"2,750",40.65,41.85,"2,750",-1.50,36.50,-,2,1,91,
,7,2,5,42.57,0.30,-,"11,000",0.3,0.45,"11,000",245.0,-,-,-,-,-,-,-,-,-,-,-
,15,-,-,-,0.25,-,"82,500",0.1,0.75,"2,750",247.5,-,-,-,-,-,-,-,-,-,-,-
,64,-4,48,43.26,0.20,-0.05,"8,250",0.15,0.3,"5,500",250.0,-,-,-,-,-,-,-,-,-,-,-
,13,-,-,-,0.40,-,"8,250",0.05,0.45,"16,500",255.0,-,-,-,-,-,-,-,-,-,-,-
