Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,780.00,"7,500",0.1,0.2,"2,000",-0.10,0.10,48.38,4,-,188,
-,-,-,-,-,-,-,-,-,-,-,800.00,500,0.4,0.55,500,-0.05,0.50,54.01,4,-2,490,
-,-,-,-,-,-,-,-,-,-,-,820.00,500,0.3,0.45,500,0.05,0.40,48.50,4,-2,203,
-,-,-,-,-,-,-,-,-,-,-,830.00,500,0.3,0.4,500,-0.10,0.35,45.74,1,-,188,
,2,-,-,-,145.30,-,"3,500",224.85,234.75,"1,500",840.00,"3,500",0.2,0.55,"1,500",-0.05,0.40,44.60,14,-,322,
,8,-7,7,-,218.00,33.00,500,215.50,222.25,"4,500",850.00,"7,000",0.55,0.75,500,0.05,0.70,46.16,56,-10,705,
,5,-,-,-,216.00,-,"2,000",205.30,213.30,"2,000",860.00,500,0.65,0.75,500,-0.10,0.65,43.64,24,-4,222,
,26,-,-,-,146.00,-,"3,500",194.95,203.35,"2,000",870.00,"5,000",0.6,0.95,500,-0.05,0.90,43.78,23,4,215,
,71,-,-,-,168.00,-,500,185.20,193.60,"2,000",880.00,500,0.85,1.1,"2,000",-0.20,1.00,42.43,50,-1,314,
,83,-,-,-,112.65,-,"1,500",175.85,183.65,"1,000",890.00,"1,500",0.8,1.4,"1,000",-0.20,1.25,41.92,8,-2,214,
,171,-8,26,-,167.55,0.55,"9,000",167.70,172.35,500,900.00,"2,000",1.55,1.75,"1,500",-0.20,1.60,41.62,375,-68,"1,952",
,75,-,-,-,112.60,-,"2,000",156.60,164.50,"2,000",910.00,"1,000",1.55,2.0,500,-0.20,1.85,40.56,109,23,346,
,82,-,8,33.04,151.10,5.60,500,148.70,153.30,500,920.00,"1,500",2.1,2.3,"39,500",-0.25,2.20,39.71,301,84,675,
,141,-1,2,39.36,143.10,-4.90,500,138.90,144.30,500,930.00,"2,500",2.5,2.85,"1,000",-0.45,2.55,38.65,142,52,488,
,252,-4,12,35.35,132.65,9.15,"3,500",128.50,133.90,"1,000",940.00,"3,500",3.0,3.3,"1,000",-0.45,3.15,38.15,378,8,"1,692",
,427,-3,11,30.90,122.10,0.10,500,120.45,124.70,500,950.00,"1,500",3.45,3.7,"1,000",-0.45,3.70,37.21,366,48,"1,379",
,332,-27,38,32.90,113.50,4.10,500,110.85,114.45,500,960.00,"1,000",4.15,4.4,"1,500",-0.65,4.15,35.81,449,-31,"1,200",
,445,-2,8,34.43,105.25,4.25,500,102.25,105.85,500,970.00,"1,500",4.55,4.9,"1,500",-0.75,4.90,34.89,415,-50,754,
,306,1,24,31.09,94.95,4.80,500,92.90,95.95,"1,000",980.00,"1,000",5.6,5.8,500,-0.90,5.80,33.99,641,7,986,
,488,1,13,30.40,86.00,3.25,"1,000",83.65,89.85,500,990.00,500,6.35,8.15,"1,000",-1.00,6.80,32.98,464,32,693,
,"1,938",-78,269,30.00,77.45,4.65,500,75.60,78.00,500,"1,000.00","4,500",8.0,8.2,"4,000",-1.35,8.05,32.08,"2,043",136,"2,419",
,279,-20,58,29.54,69.15,5.40,500,66.60,71.25,500,"1,010.00",500,9.35,9.95,"2,500",-1.50,9.80,31.56,545,34,434,
,"1,737",11,131,28.91,61.05,4.00,500,60.00,62.05,500,"1,020.00","1,000",10.5,12.0,"1,500",-2.10,11.35,30.38,885,58,"1,044",
,"1,223",-18,251,27.57,52.70,3.25,"1,000",49.95,55.95,500,"1,030.00",500,13.05,14.5,500,-2.25,13.85,29.99,945,41,574,
,857,16,508,27.98,46.25,3.45,500,45.55,47.90,500,"1,040.00",500,16.5,16.9,"3,000",-2.70,16.55,29.36,"1,157",-13,815,
,"1,958",-120,"1,546",27.23,39.25,2.70,500,36.45,39.80,500,"1,050.00","1,000",18.7,20.4,"1,500",-3.05,20.00,29.06,"2,490",413,"1,004",
,"1,578",-9,"4,665",26.74,33.00,2.15,"1,000",32.55,33.15,"1,000","1,060.00",500,23.2,23.9,"1,000",-3.05,23.80,28.62,"3,136",162,"1,000",
,"1,257",182,"4,022",26.59,27.65,1.50,"1,500",27.40,27.70,500,"1,070.00",500,27.65,28.4,500,-3.60,28.20,28.25,"3,173",353,"1,091",
,"2,695",292,"3,647",26.56,23.00,1.65,"1,500",22.60,23.00,"1,000","1,080.00","1,000",31.65,34.55,500,-4.35,33.00,27.74,"1,059",48,523,
,781,87,"1,401",25.86,18.25,1.05,500,18.25,18.60,500,"1,090.00","2,000",35.55,43.1,500,-3.45,39.50,28.38,365,16,170,
,"8,575",573,"7,439",25.51,14.45,0.75,500,14.35,14.70,"1,500","1,100.00",500,44.05,45.1,"1,000",-5.25,44.05,26.48,897,-1,"2,485",
,810,114,868,25.50,11.50,0.65,500,11.45,12.00,500,"1,110.00","1,500",49.7,55.6,"1,000",-1.55,51.05,26.54,90,31,52,
,"1,094",212,"1,886",25.68,9.20,0.50,500,8.80,9.25,500,"1,120.00","1,000",58.3,61.0,500,-5.60,59.45,27.73,45,-8,278,
,171,57,478,26.00,7.40,0.35,500,7.00,7.60,500,"1,130.00","1,500",61.4,71.8,"3,500",-3.60,66.95,27.40,9,5,7,
,"1,239",-8,"1,399",26.28,5.90,0.35,"1,000",5.90,6.60,500,"1,140.00","1,000",73.6,79.05,500,-5.50,75.25,27.63,1,-,126,
,441,131,877,26.68,4.75,0.25,"2,000",4.70,4.80,500,"1,150.00","4,500",81.9,88.75,"4,500",-3.00,85.20,30.03,13,7,16,
,639,76,"1,284",27.14,3.85,0.20,"2,000",3.75,3.85,"1,500","1,160.00",500,92.5,97.25,"2,000",-4.00,93.00,28.68,11,6,65,
,464,21,954,28.10,2.55,0.10,"1,000",2.25,2.60,"2,500","1,180.00","2,000",108.4,116.9,"1,500",-,-,-,-,-,-,
,319,319,856,29.05,1.70,-23.25,"1,000",1.70,1.80,"2,500","1,200.00","1,000",129.15,133.05,500,-5.50,132.00,35.10,16,-7,"1,072",
