Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,480.00","2,000",0.05,0.80,800,-,2.00,-,-,-,2,
,-,-,-,-,-,-,"2,800",395.10,409.95,"1,600","1,520.00","17,600",0.10,0.70,400,-0.15,0.10,34.87,21,-2,225,
,-,-,-,-,-,-,"2,800",355.35,368.80,"1,200","1,560.00",400,0.30,0.65,400,-,0.30,35.18,5,-,375,
,2,-,-,-,284.00,-,"7,200",315.30,327.65,"3,600","1,600.00",800,0.40,0.45,"1,600",-0.15,0.45,32.94,123,-19,"1,030",
-,-,-,-,-,-,-,-,-,-,-,"1,620.00","1,200",0.55,1.70,800,-0.05,0.75,33.17,62,51,440,
,4,-,-,-,234.00,-,"2,800",276.70,290.10,"1,200","1,640.00",800,0.70,0.80,400,-0.20,0.75,31.11,72,17,246,
,-,-,-,-,-,-,"2,800",256.95,270.35,"1,200","1,660.00",400,0.70,0.95,800,-0.45,0.90,29.85,294,-20,617,
,-,-,-,-,-,-,"1,200",235.00,250.65,"1,200","1,680.00",400,1.05,1.20,400,-0.70,1.05,28.43,593,-60,845,
,47,-,1,-,215.00,18.00,400,221.15,227.85,400,"1,700.00","5,600",1.55,1.70,800,-0.85,1.65,28.40,"1,741",59,"2,429",
,13,-,-,-,159.60,7.20,800,200.00,208.10,800,"1,720.00","1,200",1.95,2.15,800,-1.10,2.00,27.11,413,-27,446,
,18,-,-,-,135.95,-,"3,600",181.85,191.35,"1,600","1,740.00",400,2.60,2.80,800,-1.45,2.75,26.47,844,107,651,
,62,-,-,-,156.05,-,"2,800",160.20,173.95,"1,600","1,760.00",400,3.75,3.90,"1,600",-1.80,3.80,25.89,"1,118",143,886,
,86,31,69,18.10,145.10,10.25,800,145.30,152.80,400,"1,780.00",800,5.10,5.40,400,-2.15,5.25,25.36,"1,339",120,865,
,398,10,61,22.85,129.50,14.65,400,127.60,129.25,"1,200","1,800.00","1,200",6.75,7.15,"2,400",-2.85,6.85,24.47,"4,043",328,"3,501",
,180,-19,28,20.81,110.30,11.95,800,109.80,116.10,400,"1,820.00","1,200",9.00,10.00,800,-3.25,9.15,23.77,"2,273",109,864,
,610,-2,66,21.93,95.00,13.35,800,92.90,94.95,400,"1,840.00",800,11.80,12.10,400,-4.30,11.85,22.85,"4,223",758,"2,406",
