Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"39,000",25.85,27.2,"14,625",100.0,"43,875",0.05,0.1,"10,14,000",0.05,0.1,48.66,68,-35,526,
,-,-,-,-,16.85,-,"19,500",20.95,21.9,"19,500",105.0,"78,000",0.1,0.15,"14,625",-0.05,0.1,39.94,18,-9,182,
,1,-,-,-,17.35,-,"58,500",18.50,19.6,"34,125",107.5,"39,000",0.15,0.2,"19,500",-,0.2,40.35,147,28,195,
,24,-1,1,39.96,17.10,-0.95,"4,875",16.45,17.0,"4,875",110.0,"53,625",0.25,0.3,"1,02,375",-,0.25,37.37,261,-7,562,
,32,1,2,51.33,15.55,0.85,"14,625",13.85,14.65,"19,500",112.5,"39,000",0.35,0.4,"4,875",0.05,0.4,36.38,225,-11,180,
,77,-11,41,29.26,12.10,-0.10,"4,875",11.70,12.3,"4,875",115.0,"1,02,375",0.5,0.6,"29,250",-,0.55,34.08,381,32,434,
,64,-6,27,21.67,9.50,-0.70,"9,750",9.40,10.1,"4,875",117.5,"43,875",0.8,0.85,"14,625",0.05,0.85,33.00,"1,035",-330,426,
,249,1,152,27.86,7.75,-0.30,"4,875",7.60,7.9,"4,875",120.0,"43,875",1.2,1.3,"43,875",-,1.2,30.98,"1,072",-10,"1,276",
,187,2,72,26.77,5.80,-0.30,"4,875",5.50,6.1,"24,375",122.5,"9,750",1.8,1.85,"14,625",-,1.8,29.97,"1,388",268,736,
,820,9,902,27.07,4.25,-0.25,"4,875",4.20,4.25,"29,250",125.0,"14,625",2.65,2.75,"24,375",0.10,2.75,30.04,"1,307",-4,859,
,581,-24,"1,069",26.94,2.95,-0.20,"19,500",2.90,3.0,"29,250",127.5,"14,625",3.85,3.95,"9,750",0.15,3.9,29.52,699,-1,403,
,"2,198",170,"2,004",26.83,1.95,-0.20,"48,750",1.95,2.0,"97,500",130.0,"14,625",5.3,5.5,"9,750",0.15,5.4,29.68,496,32,790,
,485,-27,908,27.50,1.30,-0.10,"1,36,500",1.25,1.35,"43,875",132.5,"4,875",6.95,7.45,"4,875",0.25,7.3,31.33,90,-13,151,
,"1,070",71,"1,210",28.17,0.85,-0.10,"1,36,500",0.80,0.9,"1,31,625",135.0,"24,375",8.9,9.55,"4,875",0.15,9.3,32.29,51,15,417,
,378,-7,478,28.88,0.55,-0.10,"4,875",0.55,0.6,"48,750",137.5,"9,750",11.2,11.95,"19,500",0.40,11.65,35.97,7,-2,83,
,"1,690",-65,932,30.53,0.40,-0.05,"6,09,375",0.35,0.4,"4,48,500",140.0,"4,875",13.6,14.1,"4,875",0.65,14.0,39.04,7,-1,345,
,219,20,136,30.96,0.25,-0.05,"73,125",0.25,0.3,"43,875",142.5,"19,500",15.75,16.7,"19,500",-0.10,15.8,30.90,4,-1,69,
,691,-4,126,34.50,0.25,-,"3,80,250",0.20,0.25,"5,16,750",145.0,"14,625",18.25,19.1,"14,625",-,18.35,-,-,-,135,
,187,-1,21,34.42,0.15,-0.05,"2,92,500",0.10,0.2,"78,000",147.5,"19,500",20.55,21.6,"19,500",-,22.05,-,-,-,44,
,"1,363",59,180,37.50,0.15,-0.05,"22,32,750",0.10,0.15,"6,92,250",150.0,"19,500",23.1,23.8,"4,875",-0.65,21.85,-,3,-3,488,
,56,9,18,37.92,0.10,-0.05,"4,29,000",0.05,0.1,"87,750",152.5,"19,500",25.5,26.5,"34,125",-,23.75,-,-,-,4,
,461,16,88,40.69,0.10,-,"15,69,750",0.05,0.1,"63,375",155.0,"19,500",28.0,28.65,"19,500",-,28.25,-,-,-,168,
,784,-,22,41.83,0.05,-0.05,-,-,0.05,"48,750",160.0,"48,750",32.75,33.65,"19,500",-,34.45,-,-,-,666,
