Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"2,600",359.2,373.75,"2,600","1,160.00","6,500",0.20,7.40,650,-,-,-,-,-,-,
,5,-,-,-,279.50,-,"2,600",320.05,333.75,"1,950","1,200.00","1,950",1.50,6.40,"19,500",-1.15,1.25,49.46,7,-5,23,
,-,-,-,-,-,-,"2,600",279.9,291.70,"2,600","1,240.00","1,300",0.95,4.95,"1,300",-,4.95,-,-,-,2,
,-,-,-,-,-,-,"2,600",261.8,271.70,"2,600","1,260.00",650,2.60,4.70,"13,000",-1.60,2.25,45.04,91,-19,69,
,-,-,-,-,-,-,"2,600",241.7,256.55,"2,600","1,280.00",650,2.65,10.15,"4,550",-,5.40,-,-,-,7,
,-,-,-,-,-,-,"2,600",223.25,233.40,"2,600","1,300.00",650,4.60,4.95,650,-2.10,4.70,45.36,105,18,81,
,-,-,-,-,-,-,"2,600",202.0,216.65,"2,600","1,320.00",650,3.05,8.80,650,-7.40,9.05,49.71,8,4,10,
,-,-,-,-,-,-,"2,600",186.4,196.70,"2,600","1,340.00","19,500",6.10,9.90,"13,000",-5.40,7.75,43.90,41,-7,24,
,-,-,-,-,-,-,"2,600",167.3,185.40,"6,500","1,360.00",650,8.20,18.00,650,-4.75,10.20,43.65,11,3,38,
,2,-,-,-,88.30,-,"2,600",145.65,168.00,"2,600","1,380.00","19,500",3.15,22.60,"19,500",-21.10,13.00,43.13,10,4,12,
,52,1,16,33.88,134.60,43.60,"2,600",134.25,145.10,"1,950","1,400.00",650,14.35,18.05,650,-7.20,16.60,42.81,127,6,127,
,18,-,4,27.11,112.40,8.00,"2,600",117.95,136.35,"1,950","1,420.00",650,17.50,31.75,"2,600",-,35.65,-,-,-,19,
,30,-2,20,36.16,105.25,26.55,"2,600",103.55,110.00,650,"1,440.00","16,250",21.50,27.35,650,-10.25,26.00,42.12,72,-14,63,
,44,-8,66,40.01,96.00,24.95,"2,600",88.3,98.00,650,"1,460.00","13,650",27.55,38.25,"9,100",-10.65,32.80,42.41,71,-2,61,
,60,-8,101,38.48,81.30,20.00,650,79.05,84.60,650,"1,480.00","10,400",33.25,43.00,"1,950",-13.50,40.00,42.24,78,10,16,
,109,3,860,40.15,72.00,21.30,"6,500",71.85,72.00,650,"1,500.00",650,46.00,53.00,"1,950",-15.00,47.65,41.67,108,19,41,
,62,17,149,39.16,60.10,17.65,"1,300",61.0,63.30,650,"1,520.00","2,600",52.05,63.85,"1,950",-17.80,55.00,40.21,90,23,39,
,39,19,238,40.21,52.25,12.45,650,50.5,53.00,650,"1,540.00",650,67.00,70.45,650,-35.40,69.45,42.93,32,14,20,
,32,6,100,40.62,44.50,14.65,650,41.75,49.90,650,"1,560.00",650,74.20,91.75,"4,550",-,131.40,-,-,-,28,
,20,-,1,29.42,22.00,4.00,"2,600",27.1,-,-,"1,580.00","1,950",77.75,104.25,"1,950",35.25,104.90,51.08,8,6,6,
,146,59,614,39.75,29.65,10.20,650,29.35,31.00,"1,300","1,600.00","1,950",99.45,113.40,"1,950",-46.00,103.00,40.08,5,5,9,
,10,6,50,39.65,24.10,5.50,"18,200",19.7,27.00,650,"1,620.00","2,600",111.30,128.05,"4,550",-,-,-,-,-,-,
,5,-1,2,31.06,10.50,-1.85,"19,500",10.35,26.95,650,"1,640.00","4,550",121.90,148.90,"1,950",-,-,-,-,-,-,
,8,8,17,40.70,16.75,-50.45,"19,500",12.55,19.55,"13,000","1,660.00","2,600",145.70,159.75,"4,550",-,-,-,-,-,-,
,1,-,-,-,8.50,-,"19,500",4.8,21.85,"19,500","1,680.00","2,600",158.10,184.05,"1,950",-,-,-,-,-,-,
,77,26,147,39.80,9.95,3.15,650,9.95,10.60,650,"1,700.00","1,950",179.60,192.15,"2,600",-,236.55,86.88,1,-,12,
,3,3,8,40.24,8.10,-30.20,"19,500",2.55,8.95,650,"1,720.00","1,950",194.90,210.05,"4,550",-,-,-,-,-,-,
,35,23,45,39.88,6.10,2.10,"19,500",4.5,6.60,"1,300","1,740.00",-,-,-,-,-,-,-,-,-,-,-
,5,4,4,40.21,2.85,-0.15,650,2.65,3.30,650,"1,800.00",-,-,-,-,-,-,-,-,-,-,-
