Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"3,700.00",125,1.05,13.90,125,-,4.00,-,-,-,2,
-,-,-,-,-,-,-,-,-,-,-,"3,800.00",125,0.75,15.55,125,-,3.55,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"3,850.00","3,500",0.55,-,-,-,6.20,-,-,-,2,
-,-,-,-,-,-,-,-,-,-,-,"3,900.00","3,500",1.15,-,-,-,8.90,-,-,-,2,
-,-,-,-,-,-,-,-,-,-,-,"3,950.00","3,500",1.25,-,-,-,10.45,-,-,-,1,
,15,-,-,-,843.15,-,625,857.45,896.05,500,"4,000.00",125,4.2,9.00,125,-2.40,5.00,44.66,3,-,75,
-,-,-,-,-,-,-,-,-,-,-,"4,050.00",750,2.5,-,-,-10.55,7.15,45.10,5,-,15,
,-,-,-,-,-,-,875,754.60,813.45,375,"4,100.00",125,4.15,-,-,-7.20,4.10,38.75,2,-,13,
-,-,-,-,-,-,-,-,-,-,-,"4,150.00",125,3.15,-,-,-,24.75,-,-,-,8,
,-,-,-,-,-,-,625,659.10,717.20,375,"4,200.00",125,6.05,32.60,875,-3.60,9.00,39.69,1,-,128,
,-,-,-,-,-,-,625,612.25,667.45,375,"4,250.00",500,5.5,28.50,"5,000",11.20,25.00,47.44,4,-3,29,
,-,-,-,-,-,-,875,559.65,610.70,625,"4,300.00",250,8.25,-,-,-2.30,16.30,39.83,6,-2,30,
,-,-,-,-,-,-,"1,250",518.65,558.15,375,"4,350.00","3,750",14.85,22.50,125,-14.65,18.00,38.10,14,-3,42,
,-,-,-,-,-,-,625,470.55,511.90,375,"4,400.00","3,750",16.25,26.30,"2,500",-4.65,19.10,35.94,22,1,118,
,1,1,1,-,447.35,91.15,875,407.65,477.35,875,"4,450.00","5,000",10.55,-,-,-1.50,26.25,36.41,5,-1,40,
,13,-,-,-,485.85,-,875,379.40,423.25,375,"4,500.00",125,27.0,36.50,125,-3.55,30.50,35.13,113,-9,110,
,1,1,1,17.92,362.30,62.50,625,311.30,400.05,625,"4,550.00",625,7.7,-,-,2.70,42.70,36.27,1,-1,34,
,35,3,18,21.96,322.30,81.00,125,299.20,347.60,500,"4,600.00",125,31.15,61.85,125,5.35,51.85,35.74,6,-,179,
,41,3,3,38.67,335.40,-46.65,250,255.00,326.60,375,"4,650.00",125,50.95,-,-,-76.40,65.25,35.93,1,1,17,
,39,-,7,17.37,225.00,-94.35,250,231.40,268.05,500,"4,700.00",125,73.25,87.85,125,2.00,73.40,34.25,53,-4,62,
,70,2,21,27.64,223.00,-44.40,125,196.80,241.75,625,"4,750.00",125,77.35,110.45,125,7.25,91.70,34.65,199,-37,81,
,157,13,135,26.39,185.15,-60.30,125,168.50,201.40,250,"4,800.00",125,94.75,130.50,125,9.80,111.65,34.86,590,-20,159,
,84,11,99,28.05,163.00,-56.00,125,143.00,186.70,"1,875","4,850.00",125,133.0,158.40,"2,125",13.00,131.30,34.45,170,-2,123,
,233,18,576,26.82,130.85,-56.35,125,130.80,139.85,125,"4,900.00",125,159.65,181.70,125,19.05,159.65,35.41,516,-20,134,
,125,10,256,27.99,112.95,-49.85,125,100.80,135.05,125,"4,950.00",125,170.85,222.55,"1,500",38.35,202.45,38.93,39,-,55,
,968,85,"1,604",28.83,96.35,-42.75,125,95.00,96.40,125,"5,000.00",375,200.55,238.15,250,29.75,220.45,36.66,151,-33,130,
,40,1,77,30.03,83.85,-36.55,125,75.95,83.50,125,"5,050.00",500,236.25,269.85,625,-,-,-,-,-,-,
,132,-5,248,29.70,66.95,-31.45,125,61.00,72.00,125,"5,100.00",375,271.7,307.55,875,-610.75,296.35,39.46,4,4,4,
,56,3,11,28.68,50.00,-32.90,125,46.10,88.55,625,"5,150.00",500,308.7,368.80,500,-,-,-,-,-,-,
,320,93,489,30.20,44.65,-23.65,125,42.10,45.10,125,"5,200.00",375,348.9,387.50,875,-,288.85,-,-,-,2,
,24,-4,17,28.53,30.20,-28.80,"3,750",27.10,43.85,"2,500","5,250.00",500,391.1,430.90,625,-,468.80,-,-,-,2,
,82,-43,240,31.00,30.00,-16.35,125,23.95,30.00,250,"5,300.00",500,433.25,476.95,375,-,398.70,-,-,-,6,
,1,-,-,-,18.45,-,125,5.55,51.25,625,"5,350.00",375,463.4,540.10,375,-,-,-,-,-,-,
,128,34,182,31.93,20.30,-10.15,125,15.80,23.90,"2,500","5,400.00",375,523.05,561.85,875,-,-,-,-,-,-,
,-,-,-,-,-,-,250,5.15,32.10,"5,000","5,450.00",375,566.3,620.90,"1,250",-,-,-,-,-,-,
,230,44,291,32.53,13.20,-7.15,250,11.05,16.70,"2,500","5,500.00",375,615.95,654.25,875,-,-,-,-,-,-,
,67,-,-,-,12.50,-0.90,125,7.00,11.10,750,"5,600.00",375,712.85,755.55,"1,250",-,-,-,-,-,-,
