Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"4,725",166.70,173.90,"2,700",780.00,675,0.15,0.25,"4,725",-0.05,0.20,34.87,17,-2,235,
,5,-,-,-,118.85,-,"9,450",146.70,153.75,"6,075",800.00,"23,625",0.35,0.4,"2,700",-0.05,0.35,33.29,28,-11,795,
-,-,-,-,-,-,-,-,-,-,-,810.00,"2,700",0.35,0.6,675,-0.15,0.40,31.81,11,-4,405,
,-,-,-,-,-,-,"2,025",126.35,134.80,"2,700",820.00,"2,025",0.55,0.85,675,-0.60,0.55,31.19,6,3,37,
,-,-,-,-,-,-,"2,025",117.40,125.05,"3,375",830.00,"4,050",0.75,0.85,675,-0.25,0.80,30.89,212,161,369,
,-,-,-,-,-,-,"2,025",107.85,115.40,"2,025",840.00,675,1.15,1.25,"3,375",-0.35,1.15,30.61,173,111,342,
,23,-,-,-,84.65,-,"9,450",100.35,104.55,"6,075",850.00,"2,700",1.7,1.8,675,-0.25,1.70,30.61,300,19,321,
,13,-,-,-,83.95,0.35,"2,025",89.25,96.25,"2,700",860.00,675,2.15,2.4,675,-0.30,2.25,29.98,102,20,127,
,7,-,-,-,66.50,-,"2,025",80.05,87.00,"2,700",870.00,675,2.95,3.2,675,-0.35,3.00,29.45,119,-20,120,
,18,1,1,32.59,78.05,-3.70,"2,700",71.60,78.30,"2,700",880.00,675,4.0,4.25,675,-0.35,4.10,29.22,205,-33,390,
,19,-,-,-,70.75,-,"3,375",62.60,71.95,"2,700",890.00,675,5.05,8.15,"27,000",-0.15,5.35,28.68,108,2,144,
,219,20,171,26.27,58.20,-3.15,"2,025",56.60,60.30,675,900.00,675,6.9,7.25,"1,350",-0.15,6.95,28.20,419,5,734,
,104,1,1,19.11,46.00,-8.25,"2,025",46.20,52.85,"2,700",910.00,675,8.65,9.25,675,-0.20,8.90,27.66,242,-16,278,
,179,-5,42,24.59,41.90,-4.35,"2,700",40.15,44.25,675,920.00,675,11.4,11.75,675,-0.15,11.35,27.19,551,5,521,
,227,5,166,24.43,35.00,-3.85,"1,350",33.80,38.35,675,930.00,675,14.15,15.95,675,0.15,14.50,26.95,539,-32,363,
,334,42,419,25.07,29.45,-3.05,675,28.90,30.25,675,940.00,"1,350",15.9,18.85,675,0.25,18.05,26.48,729,3,466,
,"1,179",135,"1,605",24.78,23.80,-2.65,675,22.55,24.75,675,950.00,675,22.0,23.85,675,0.50,22.40,26.22,866,51,696,
,675,32,960,24.49,18.85,-2.60,675,18.45,19.15,675,960.00,675,27.2,28.1,675,0.65,27.55,26.11,331,6,178,
,517,-,696,24.38,14.75,-2.25,675,13.35,15.55,675,970.00,"2,025",30.8,34.7,675,1.55,33.95,26.68,12,1,80,
,284,-35,610,24.37,11.40,-2.00,675,10.05,11.70,675,980.00,"2,025",37.35,43.65,"3,375",1.25,39.50,25.55,36,3,65,
,230,23,450,24.41,8.70,-1.75,675,6.15,11.65,675,990.00,"2,700",42.6,52.3,675,-1.00,45.00,23.37,3,3,24,
,"1,131",147,805,24.78,6.75,-1.25,"1,350",6.75,7.80,675,"1,000.00",675,52.5,58.25,675,3.10,55.25,26.95,22,13,311,
,188,12,131,24.53,4.85,-1.15,675,4.85,5.05,"1,350","1,010.00","2,700",60.45,64.95,675,-1.90,59.75,20.57,3,1,13,
,387,-7,271,24.72,3.60,-0.80,675,3.60,3.70,675,"1,020.00","2,700",69.4,73.6,675,6.45,75.05,32.70,3,1,88,
,165,5,293,24.66,2.55,-0.80,675,2.65,2.70,"1,350","1,030.00","4,050",78.1,82.6,675,-1.95,75.45,-,5,2,24,
,212,34,148,24.70,1.80,-0.65,"2,700",1.85,1.95,"3,375","1,040.00","1,350",87.25,91.85,675,-0.55,85.70,-,2,1,10,
,219,31,104,25.32,1.40,-0.45,"1,350",1.30,1.45,"1,350","1,050.00","6,075",96.75,102.6,"9,450",-,99.90,-,-,-,2,
,"1,112",335,744,25.00,0.90,-0.40,"5,400",0.90,1.00,"2,025","1,060.00","2,025",105.6,113.0,"2,025",0.05,110.35,-,-,-,5,
,594,-20,61,26.61,0.60,-0.15,675,0.40,0.55,"1,350","1,080.00","2,700",125.5,132.55,"2,025",-,-,-,-,-,-,
,465,-,46,26.95,0.30,-0.15,"12,150",0.30,0.50,"12,825","1,100.00","6,075",144.95,152.0,"3,375",-,-,-,-,-,-,
