Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,1,-,-,-,135.4,-,"5,425",218.25,222.45,"3,100",320.0,775,0.65,0.90,"6,200",0.10,0.65,105.42,99,42,266,
,15,-,-,-,143.8,-,"5,425",178.4,182.75,775,360.0,"2,325",0.80,1.35,775,0.10,0.85,88.13,66,-4,266,
,14,-,-,-,133.95,-,"5,425",158.65,163.45,"3,100",380.0,775,1.25,1.35,775,0.45,1.35,84.61,49,-22,273,
,131,-9,32,-,140.7,-29.30,"1,550",140.5,142.85,775,400.0,775,1.75,1.85,775,0.60,1.85,79.08,673,-63,820,
,342,-5,15,-,124.15,-9.65,775,120.95,123.6,"2,325",420.0,"1,550",2.40,2.80,775,0.65,2.45,73.08,483,-87,659,
,337,-2,15,-,103.55,-24.00,775,102.4,104.5,775,440.0,"1,550",3.75,4.10,775,1.30,3.80,69.90,"1,204",-152,805,
,459,3,97,33.01,85.85,-20.95,775,83.85,86.45,"1,550",460.0,775,5.00,5.70,"9,300",2.00,5.65,66.29,"2,168",87,"1,055",
,588,-76,225,47.00,69.35,-19.30,775,68.1,70.05,775,480.0,"4,650",9.05,9.35,"3,875",3.40,9.10,65.10,"3,770",47,850,
,"1,812",-89,692,49.25,53.95,-18.75,775,53.8,54.9,775,500.0,775,14.20,14.30,775,5.10,14.20,64.50,"8,206",-349,"2,023",
,991,-178,997,52.42,41.55,-16.10,775,40.5,41.75,"1,550",520.0,"3,100",20.70,21.25,"3,100",7.15,21.20,64.27,"4,892",7,921,
,834,-55,"2,423",54.81,31.45,-13.50,"1,550",31.0,31.5,"2,325",540.0,775,29.40,30.70,"1,550",9.55,30.65,65.12,"6,809",36,"1,018",
,"1,470",370,"6,483",56.07,23.1,-10.95,775,23.1,23.35,"15,500",560.0,775,41.85,42.65,"4,650",11.70,41.85,65.67,"5,430",217,"1,008",
,"1,675",34,"5,639",57.77,16.95,-8.50,"1,550",16.5,17.0,"8,525",580.0,775,55.25,57.80,"3,100",14.40,55.75,68.17,"1,129",-31,521,
,"2,753",383,"7,185",59.58,12.45,-6.55,"1,550",12.4,12.5,775,600.0,775,70.95,72.95,775,16.25,71.10,70.83,321,36,234,
,"1,182",272,"2,845",60.57,8.85,-4.90,"1,550",8.7,9.15,775,620.0,775,86.40,89.75,"1,550",18.30,87.70,73.95,54,9,26,
,"1,507",129,"2,474",61.54,6.25,-4.00,"1,550",6.2,6.55,775,640.0,775,103.40,106.95,"1,550",19.10,104.55,75.70,52,20,117,
,908,41,"1,413",62.52,4.4,-3.00,"2,325",4.1,4.55,775,660.0,775,121.20,125.20,"1,550",20.10,123.00,80.09,17,10,22,
,444,6,612,64.95,3.4,-1.95,"1,550",3.15,3.6,775,680.0,775,140.30,144.15,"5,425",3.15,123.00,-,10,-5,11,
,"1,147",125,"1,097",65.21,2.3,-1.80,"1,550",2.35,2.6,"1,550",700.0,775,159.20,163.15,775,24.00,160.00,85.91,1,-1,15,
,196,-25,228,67.43,1.8,-1.20,"1,550",1.7,1.85,"1,550",720.0,775,178.65,182.40,775,-2.00,157.35,-,4,-,37,
,201,-63,282,69.34,1.4,-1.00,775,1.45,1.55,"2,325",740.0,775,198.05,202.00,"1,550",16.80,200.00,99.53,1,1,6,
,104,5,117,71.72,1.15,-0.65,775,1.15,1.35,"1,550",760.0,"3,100",217.85,221.75,"5,425",-,211.00,-,-,-,1,
,45,-1,28,75.69,1.1,-0.55,775,0.95,1.05,775,780.0,"3,100",237.30,241.70,"5,425",-,332.00,-,-,-,1,
,455,129,336,76.21,0.8,-0.20,"9,300",0.75,0.85,"5,425",800.0,-,-,-,-,-,-,-,-,-,-,-
,21,5,19,79.51,0.75,-0.10,775,0.6,0.7,"1,550",820.0,-,-,-,-,-,-,-,-,-,-,-
,134,53,76,81.40,0.45,-0.15,"1,550",0.45,0.5,"1,550",860.0,-,-,-,-,-,-,-,-,-,-,-
