Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,000.00",400,0.25,8.75,"2,800",-0.15,0.25,58.98,1,-1,17,
-,-,-,-,-,-,-,-,-,-,-,"1,040.00",400,0.20,8.75,"2,800",-,0.50,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"1,080.00",800,0.35,3.85,400,-0.45,0.55,52.35,4,-,13,
-,-,-,-,-,-,-,-,-,-,-,"1,100.00",400,0.50,8.00,800,-,0.90,-,-,-,57,
-,-,-,-,-,-,-,-,-,-,-,"1,120.00",400,0.40,7.00,400,-,3.00,-,-,-,22,
-,-,-,-,-,-,-,-,-,-,-,"1,140.00",800,1.25,2.75,400,-,1.30,-,-,-,10,
,3,-,-,-,257.00,-,"2,800",274.15,284.60,"1,200","1,160.00",800,2.40,3.05,400,0.20,2.35,51.17,174,50,83,
-,-,-,-,-,-,-,-,-,-,-,"1,180.00",400,3.20,4.45,"8,000",0.85,3.65,52.14,348,31,80,
,3,-,-,-,273.90,-,"2,000",234.95,248.00,"1,200","1,200.00",400,4.00,4.55,"12,400",-0.10,4.20,50.08,"2,913",2,220,
-,-,-,-,-,-,-,-,-,-,-,"1,220.00",400,5.00,5.30,800,-0.05,5.20,48.82,"1,562",20,103,
,-,-,-,-,-,-,"1,200",197.05,209.85,"1,600","1,240.00","2,000",5.70,7.45,"8,000",-0.35,6.10,46.94,"1,383",3,133,
,17,-,1,-,180.00,18.15,"1,600",179.10,190.90,"1,600","1,260.00","12,000",5.60,8.65,"8,000",0.70,7.40,45.44,37,-20,56,
,9,-,-,-,163.20,-,"2,800",160.05,172.90,"1,600","1,280.00","12,000",7.15,11.00,400,0.45,9.25,44.35,26,6,93,
,168,-1,13,33.71,148.00,-4.40,"1,200",143.45,153.85,400,"1,300.00",400,11.15,13.00,400,-1.50,11.25,42.91,194,5,878,
,7,4,4,24.85,125.45,-5.05,800,126.45,140.20,"1,200","1,320.00",400,11.60,17.50,"8,000",-1.45,14.65,42.58,226,-17,103,
,64,-,-,-,126.50,-,400,110.70,121.05,400,"1,340.00",400,15.05,21.35,400,-1.95,18.15,41.59,45,3,146,
,32,2,2,28.59,93.40,-15.90,400,95.50,107.30,400,"1,360.00",400,21.90,26.75,"8,000",-4.05,22.00,40.27,79,-20,108,
,42,1,1,34.70,85.00,-3.35,400,80.30,91.45,400,"1,380.00",800,20.95,30.80,"1,600",-2.15,29.00,40.96,10,4,77,
,408,-6,281,35.44,72.80,-3.90,"1,200",68.90,74.00,"4,800","1,400.00","12,000",30.75,40.10,400,-3.00,35.30,40.17,230,66,620,
,138,-1,86,35.66,61.30,-3.35,400,57.85,62.00,400,"1,420.00",800,37.75,46.60,400,4.75,46.80,42.49,36,-17,83,
,173,19,245,36.02,51.30,-3.50,400,50.55,51.80,400,"1,440.00","1,600",46.80,61.20,"2,400",0.90,57.45,43.25,79,-2,173,
,365,14,217,36.61,42.90,-2.65,"1,200",37.10,42.50,"1,200","1,460.00",400,61.50,65.60,400,-7.60,62.65,39.26,12,6,167,
,166,-21,66,36.19,34.35,-3.00,400,30.15,35.45,400,"1,480.00",800,70.60,81.75,"1,600",2.65,80.00,-,-,-,30,
,758,37,475,35.92,27.20,-3.50,400,24.05,28.05,400,"1,500.00","1,600",81.20,94.50,400,-2.20,88.00,39.75,3,-1,119,
,103,-7,107,33.78,19.00,-6.05,400,18.70,26.35,400,"1,520.00",800,92.85,112.35,"4,000",-0.05,107.95,44.67,4,-,2,
,233,-4,48,37.05,18.00,-1.55,400,14.90,18.55,400,"1,540.00","1,200",109.35,124.75,800,-,121.25,-,-,-,18,
,128,9,37,36.56,13.55,-2.00,400,10.25,18.15,"8,000","1,560.00",800,127.60,141.25,400,0.95,140.15,47.04,2,-2,3,
,28,2,11,36.21,10.10,-2.80,400,3.90,18.90,400,"1,580.00",800,138.15,164.50,"2,800",-,179.40,-,-,-,1,
,329,21,277,37.61,8.65,-1.40,400,7.20,8.65,400,"1,600.00",800,163.35,176.90,"1,200",-,-,-,-,-,-,
,104,6,9,38.29,7.00,-1.00,400,5.00,7.50,400,"1,620.00",-,-,-,-,-,-,-,-,-,-,-
,13,-2,9,37.48,4.85,-1.15,400,3.00,9.00,800,"1,640.00","4,000",198.95,212.65,"1,200",-,-,-,-,-,-,
,15,2,3,36.19,3.05,-2.35,400,3.00,16.40,"2,000","1,660.00",-,-,-,-,-,-,-,-,-,-,-
,110,-,31,39.71,3.50,-0.55,400,3.30,3.60,400,"1,680.00","1,600",237.60,249.95,"2,800",-,-,-,-,-,-,
,91,5,19,43.49,3.15,0.60,"12,000",2.00,2.55,400,"1,720.00",-,-,-,-,-,-,-,-,-,-,-
