Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"2,200.00",750,1.15,4.50,300,-1.10,1.60,48.47,7,-3,7,
,-,-,-,-,-,-,"1,050",507.35,539.75,450,"2,300.00",150,1.65,6.00,450,-,1.55,-,-,-,10,
,-,-,-,-,-,-,"1,050",408.75,442.70,600,"2,400.00",750,3.00,17.00,600,-,-,-,-,-,-,
,4,-,-,-,324.95,-,450,310.70,334.05,600,"2,500.00","4,500",4.95,8.45,"3,000",-2.50,7.15,35.06,46,7,100,
,-,-,-,-,-,-,450,264.50,287.95,450,"2,550.00","4,500",8.10,12.80,"3,000",-5.45,10.95,34.17,30,-2,14,
,-,-,-,-,-,-,450,221.00,243.50,600,"2,600.00","4,500",12.20,19.05,"3,000",-5.45,15.30,32.51,43,6,71,
,8,-,-,-,219.70,-,450,179.50,215.20,450,"2,650.00",300,21.95,28.35,"3,000",-6.25,24.20,32.42,84,-,98,
,17,-1,5,25.86,148.35,-15.65,450,140.65,165.40,150,"2,700.00",150,33.80,41.75,"3,000",-8.75,35.00,31.63,93,-18,332,
,25,-3,23,28.16,118.60,7.10,150,109.75,123.60,150,"2,750.00","4,500",44.65,61.25,"3,000",-8.00,53.45,32.46,46,-,157,
,181,21,455,28.37,89.65,5.95,600,81.10,92.00,300,"2,800.00","3,600",72.10,83.05,150,-10.85,74.20,32.37,130,-1,307,
,136,-4,179,27.40,62.75,1.40,150,58.70,72.25,150,"2,850.00","4,500",87.10,108.25,150,-10.30,97.70,31.62,14,1,66,
,265,-6,410,29.10,47.90,4.15,"4,500",40.80,48.00,150,"2,900.00",600,107.45,139.45,450,-9.80,133.20,33.75,9,-5,161,
,70,14,79,29.22,33.30,2.80,150,32.90,41.10,"3,000","2,950.00",600,153.95,177.55,150,-,171.85,-,-,-,26,
,432,17,290,29.66,23.10,1.55,150,19.35,23.90,150,"3,000.00",750,192.30,215.05,450,-,184.30,-,-,-,56,
,81,-7,98,29.90,15.45,0.50,"4,500",12.30,19.25,"3,000","3,050.00",600,235.45,259.00,450,0.90,242.80,32.80,1,1,30,
,119,16,34,30.24,10.25,-0.05,150,9.35,13.60,150,"3,100.00",600,280.25,303.70,750,-,293.20,-,-,-,46,
,69,7,21,30.49,6.60,-0.50,"4,500",5.75,8.15,150,"3,150.00",600,327.20,350.40,450,-,-,-,-,-,-,
,355,19,90,32.06,5.15,-,150,4.30,6.65,"3,000","3,200.00",600,374.25,388.95,150,-10.60,389.00,43.16,2,-2,8,
,36,-,-,-,3.95,-,"15,000",2.05,5.00,300,"3,250.00",450,422.50,436.75,150,-,447.40,-,-,-,2,
,215,-26,419,34.14,2.80,-0.60,"4,500",1.90,4.60,"3,000","3,300.00",600,471.75,495.30,"1,050",-,-,-,-,-,-,
,33,-,-,-,2.15,-0.95,150,1.10,5.50,450,"3,350.00",-,-,-,-,-,-,-,-,-,-,-
,31,-,-,-,3.15,-,750,1.00,4.40,300,"3,400.00","1,050",570.95,595.50,"1,050",-,-,-,-,-,-,
,41,-,-,-,1.60,-,"6,000",0.60,4.20,300,"3,500.00",-,-,-,-,-,-,-,-,-,-,-
,32,2,2,43.03,1.05,-,150,0.35,1.05,150,"3,600.00",-,-,-,-,-,-,-,-,-,-,-
