Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,440.0,"13,600",0.1,0.8,"1,700",-,0.85,-,-,-,3,
,1,-,-,-,144.00,-,"11,900",184.30,190.40,"17,000",450.0,"2,24,400",0.15,0.25,"73,100",-0.20,0.25,62.45,125,-24,156,
-,-,-,-,-,-,-,-,-,-,-,460.0,"49,300",0.15,0.5,"6,800",-,0.5,64.73,3,1,37,
-,-,-,-,-,-,-,-,-,-,-,470.0,"1,700",0.25,0.55,"1,700",0.10,0.95,-,-,-,4,
-,-,-,-,-,-,-,-,-,-,-,480.0,"5,100",0.45,0.75,"22,100",0.05,0.7,60.39,25,13,161,
-,-,-,-,-,-,-,-,-,-,-,490.0,"5,100",0.5,0.75,"8,500",-0.15,0.6,55.28,7,-2,71,
,95,-1,1,73.83,143.00,6.30,"8,500",135.40,140.20,"15,300",500.0,"1,700",0.75,0.8,"13,600",-0.10,0.75,53.55,239,-13,"1,020",
,37,-,-,-,101.00,-,"6,800",124.90,131.60,"6,800",510.0,"3,400",0.8,0.95,"1,700",-0.25,0.9,51.45,53,-14,248,
,88,-1,3,44.12,120.00,23.90,"6,800",115.40,121.00,"6,800",520.0,"3,400",1.0,1.1,"6,800",-0.20,1.1,49.51,70,33,330,
,59,-9,10,-,108.00,4.70,"1,700",107.25,111.70,"5,100",530.0,"15,300",1.2,1.35,"8,500",-0.25,1.3,47.23,118,-16,206,
,64,-14,32,57.44,103.75,10.65,"1,700",97.50,101.10,"6,800",540.0,"3,400",1.5,1.6,"8,500",-0.45,1.5,44.68,156,13,241,
,138,-,4,43.48,91.60,6.60,"8,500",87.30,91.60,"1,700",550.0,"3,400",1.85,2.0,"5,100",-0.45,1.95,43.25,235,-49,569,
,126,-,-,-,76.00,-,"6,800",77.50,82.20,"10,200",560.0,"1,700",2.45,2.65,"5,100",-0.60,2.5,41.69,274,-3,309,
,245,2,66,41.96,73.45,5.65,"1,700",68.15,72.95,"5,100",570.0,"1,700",3.1,3.4,"1,700",-0.80,3.35,40.65,292,-48,338,
,278,-2,41,38.61,63.90,5.40,"5,100",59.15,63.90,"6,800",580.0,"1,700",4.2,4.3,"1,700",-1.15,4.3,39.15,379,-24,511,
,410,43,89,30.62,52.85,2.05,"1,700",51.00,54.65,"1,700",590.0,"1,700",5.0,5.95,"1,700",-1.35,5.9,38.64,168,-4,341,
,858,-63,259,32.35,45.30,2.40,"11,900",42.90,45.40,"1,700",600.0,"5,100",7.4,7.85,"1,700",-1.50,8.0,38.26,803,32,"1,014",
,154,-17,69,32.75,38.00,2.40,"5,100",35.25,38.00,"1,700",610.0,"1,700",10.25,10.55,"1,700",-1.90,10.6,37.81,379,-31,330,
,291,-72,404,32.15,30.90,1.75,"3,400",30.90,31.30,"3,400",620.0,"1,700",13.45,15.25,"6,800",-2.20,13.8,37.38,541,26,365,
,365,4,"1,212",32.63,25.15,1.40,"1,700",25.20,25.55,"1,700",630.0,"1,700",17.5,17.65,"1,700",-2.60,17.75,37.13,795,105,324,
,488,-,"2,092",33.33,20.35,1.30,"3,400",20.20,20.45,"1,700",640.0,"1,700",22.05,22.95,"1,700",-3.15,22.5,37.06,846,101,269,
,991,115,"3,049",33.31,15.90,0.80,"1,700",15.80,15.95,"1,700",650.0,"1,700",26.75,29.0,"13,600",-3.35,28.25,37.50,309,16,124,
,434,17,"1,355",33.56,12.35,0.60,"1,700",12.25,12.40,"3,400",660.0,"8,500",32.55,36.65,"5,100",-2.65,35.15,38.80,78,25,34,
,236,26,740,33.61,9.35,0.25,"1,700",9.35,9.90,"1,700",670.0,"5,100",37.65,44.35,"17,000",-43.10,39.15,33.78,2,1,2,
,411,86,964,34.16,7.20,0.25,"1,700",6.50,7.55,"1,700",680.0,"5,100",45.4,51.85,"3,400",-33.85,49.75,40.00,3,-,2,
,78,78,154,34.45,5.40,-0.55,"51,000",4.55,6.95,"1,700",690.0,"5,100",53.1,61.35,"3,400",-61.70,55.0,34.47,1,1,1,
,985,106,"1,858",35.13,4.15,0.15,"1,700",4.10,4.20,"11,900",700.0,"5,100",62.25,68.2,"3,400",-,69.8,-,-,-,1,
,87,87,199,36.69,2.50,-2.75,"3,400",2.45,2.60,"3,400",720.0,"5,100",80.95,87.5,"3,400",-79.00,81.6,35.44,1,1,1,
