Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,5,-,-,-,110.00,-,"7,000",133.65,138.85,"4,000",440.0,"1,000",0.3,0.65,"1,000",0.30,0.65,58.17,3,1,57,
,-,-,-,-,-,-,"7,000",114.7,119.2,"4,000",460.0,"1,000",0.55,0.75,"3,000",0.25,0.75,51.22,24,4,57,
,-,-,-,-,-,-,"7,000",104.7,110.05,"7,000",470.0,"5,000",0.2,2.1,"4,000",0.15,0.7,46.57,18,-14,38,
,-,-,-,-,-,-,"7,000",94.4,99.45,"4,000",480.0,"1,000",0.4,1.3,"2,000",-0.10,0.6,41.45,7,1,96,
,-,-,-,-,-,-,"3,000",84.55,91.55,"4,000",490.0,"2,000",1.0,2.9,"40,000",0.10,1.0,41.30,13,2,86,
,8,2,3,-,76.35,-3.15,"1,000",76.2,79.55,"4,000",500.0,"3,000",1.3,1.4,"4,000",0.15,1.4,39.91,408,27,365,
,5,-,1,40.30,70.80,9.10,"2,000",66.2,70.1,"1,000",510.0,"2,000",1.7,1.9,"3,000",0.15,1.85,38.02,186,-29,139,
,30,-,9,33.34,60.35,0.60,"2,000",57.55,61.3,"4,000",520.0,"1,000",2.45,2.55,"3,000",0.15,2.6,36.73,174,-2,171,
,25,1,11,25.42,49.70,-4.50,"1,000",48.45,51.6,"2,000",530.0,"2,000",3.45,3.6,"2,000",-,3.45,34.86,345,-30,511,
,82,-1,23,30.89,42.50,-1.10,"1,000",39.95,43.55,"4,000",540.0,"2,000",4.9,5.05,"1,000",-0.05,4.95,33.97,474,6,364,
,118,-1,78,28.01,33.55,0.75,"1,000",32.6,35.4,"1,000",550.0,"1,000",6.95,7.7,"2,000",-0.20,7.0,33.14,435,5,620,
,298,39,377,27.57,26.15,0.05,"1,000",25.85,26.9,"2,000",560.0,"2,000",9.25,10.6,"8,000",-0.35,9.8,32.52,436,-7,469,
,431,15,542,28.82,20.55,0.40,"1,000",20.05,21.3,"1,000",570.0,"2,000",12.3,14.65,"1,000",-0.75,13.4,31.95,582,-35,437,
,894,51,"1,236",28.95,15.40,0.20,"1,000",14.6,15.45,"1,000",580.0,"1,000",17.85,20.25,"1,000",-0.45,18.7,32.90,705,-12,652,
,623,16,720,28.93,11.15,-0.10,"1,000",11.15,11.25,"1,000",590.0,"2,000",23.3,25.95,"1,000",-0.85,24.3,32.80,202,-14,333,
,"1,833",-35,"1,054",29.27,8.00,-0.15,"1,000",7.5,8.05,"1,000",600.0,"2,000",29.8,31.75,"1,000",-0.90,31.3,33.85,124,-15,684,
,656,-10,488,29.56,5.60,-0.25,"1,000",5.5,5.85,"1,000",610.0,"1,000",36.75,40.05,"1,000",5.10,37.9,32.62,11,5,207,
,781,19,640,30.15,3.95,-0.15,"2,000",3.8,4.05,"2,000",620.0,"8,000",44.05,48.4,"1,000",-1.35,46.15,33.59,17,-13,114,
,376,-12,431,31.04,2.85,-0.05,"2,000",2.7,2.85,"2,000",630.0,"3,000",53.0,57.3,"1,000",-0.15,54.55,33.77,12,4,80,
,487,-4,89,31.47,1.95,-0.05,"1,000",1.65,2.0,"2,000",640.0,"5,000",62.1,66.45,"1,000",0.05,65.25,40.15,3,-1,35,
,673,7,140,32.05,1.35,-0.10,"3,000",1.35,1.4,"1,000",650.0,"2,000",72.6,75.1,"1,000",2.15,73.5,38.35,1,-,241,
,264,-11,55,33.09,1.00,-0.05,"1,000",0.9,1.0,"1,000",660.0,"5,000",81.1,85.5,"1,000",8.30,85.3,48.49,1,-,70,
,170,-5,13,32.81,0.60,-0.20,"1,000",0.6,0.7,"2,000",670.0,"4,000",91.1,96.35,"3,000",-,77.3,-,-,-,4,
,266,-2,11,33.85,0.45,-0.15,"3,000",0.45,0.55,"2,000",680.0,"4,000",101.0,105.35,"2,000",-,81.25,-,-,-,124,
,510,-4,40,35.68,0.25,-0.10,"2,000",0.25,0.35,"1,000",700.0,"1,000",121.4,124.25,"3,000",-,127.0,-,-,-,209,
