Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,2,-,-,-,188.20,-,"3,675",226.45,241.25,"2,625",900.00,"1,050",1.5,2.95,"21,000",0.35,1.50,52.60,39,18,146,
,2,-,-,-,130.70,-,"3,675",206.8,221.4,"2,625",920.00,"2,100",1.55,1.95,"6,300",0.40,1.40,47.85,165,58,105,
,8,-,-,-,194.10,-,"2,100",186.65,201.8,525,940.00,525,1.5,2.5,525,0.25,1.85,46.04,60,1,45,
,-,-,-,-,-,-,"1,575",167.75,183.15,"2,625",960.00,525,2.5,3.45,525,0.90,2.75,45.34,840,19,46,
,-,-,-,-,-,-,"1,575",148.5,163.25,"5,250",980.00,525,2.9,3.45,525,0.95,3.30,42.64,"1,529",4,34,
,48,-,-,-,174.40,-0.30,"3,675",129.9,143.9,525,"1,000.00",525,4.05,4.7,525,1.95,5.00,42.33,730,-13,242,
,-,-,-,-,-,-,"3,675",111.0,126.65,"2,625","1,020.00","15,750",4.25,7.5,525,2.60,6.55,40.55,69,1,116,
,81,-6,11,30.34,103.35,-37.65,"3,675",94.1,112.4,"2,625","1,040.00","1,050",8.0,12.0,525,3.15,8.60,38.80,51,-13,41,
,70,-,3,30.26,86.15,-42.05,525,78.1,92.15,"2,625","1,060.00",525,9.8,13.2,"5,775",5.85,13.35,39.76,90,4,70,
,19,-,-,-,107.25,-,"1,575",61.4,78.6,"1,575","1,080.00",525,13.1,17.95,"1,050",3.05,13.05,33.27,172,-9,58,
,102,12,93,29.11,54.90,-32.60,"1,050",53.75,63.1,525,"1,100.00",525,18.55,24.95,525,8.20,21.80,36.12,681,-48,159,
,79,18,42,32.17,45.45,-25.55,525,41.0,49.85,525,"1,120.00",525,23.9,34.7,525,11.95,30.95,37.34,288,17,91,
,140,29,238,28.48,30.90,-27.10,525,33.5,37.0,525,"1,140.00",525,34.65,40.5,525,14.10,39.05,36.03,373,2,155,
,106,17,71,30.10,23.95,-25.05,525,20.2,32.0,525,"1,160.00",525,48.05,57.15,525,17.20,51.00,36.85,217,15,98,
,224,47,195,33.06,20.00,-17.25,525,16.25,20.9,525,"1,180.00",525,56.4,70.65,525,24.85,68.20,41.34,63,23,97,
,316,-5,446,32.38,13.80,-15.10,525,12.65,16.0,525,"1,200.00","1,050",73.75,83.45,525,26.90,81.50,41.02,21,4,19,
,49,13,49,33.02,10.10,-11.75,525,7.6,15.0,"10,500","1,220.00",525,91.15,102.45,525,-,65.00,-,-,-,6,
,180,26,180,33.59,7.30,-9.60,"15,750",5.2,8.95,525,"1,240.00","2,625",103.2,120.4,"2,625",-,-,-,-,-,-,
,85,43,78,33.89,5.10,-7.85,"1,050",4.0,5.8,525,"1,260.00","2,625",123.7,139.05,"1,575",-,-,-,-,-,-,
,50,5,27,35.41,4.05,-5.95,"15,750",2.5,5.85,"10,500","1,280.00","2,625",141.55,157.85,"3,675",-,129.00,-,-,-,5,
,351,45,491,35.52,2.75,-4.65,525,2.8,3.15,525,"1,300.00","2,625",160.75,176.7,"1,575",-,-,-,-,-,-,
,54,-3,66,36.23,2.00,-3.35,"1,050",2.0,2.5,525,"1,320.00","2,625",180.2,195.3,"1,575",-,-,-,-,-,-,
