Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"2,800",439.40,458.80,"2,000","1,400.00",400,0.10,5.70,"2,400",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,800",402.70,416.55,"1,200","1,440.00",400,0.20,0.95,400,-,1.00,-,-,-,35,
,-,-,-,-,-,-,"2,800",362.20,376.30,"1,200","1,480.00",400,0.35,1.25,400,-,1.00,44.71,1,-,25,
,-,-,-,-,-,-,"4,000",321.20,340.50,"2,000","1,520.00",400,0.25,9.05,"2,800",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,800",301.50,320.60,"2,000","1,540.00",400,0.25,9.05,"2,800",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,000",280.50,301.15,"2,000","1,560.00",400,0.25,9.00,"2,800",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,800",261.80,281.15,"2,000","1,580.00",400,0.35,9.00,"2,800",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,800",243.85,259.50,"1,200","1,600.00",400,2.05,2.30,800,-2.90,2.50,36.55,228,-85,63,
,4,-,4,-,205.00,15.65,"2,000",223.45,244.50,"2,800","1,620.00","4,400",1.40,9.05,"12,000",-1.65,2.40,33.81,10,-,29,
,4,-,-,-,186.15,-,"2,800",203.00,219.15,"1,200","1,640.00",400,2.60,4.40,"1,200",-5.25,3.25,33.35,171,5,49,
,-,-,-,-,-,-,"2,800",186.75,200.85,"1,200","1,660.00",400,3.80,4.50,400,-5.10,4.10,32.41,148,3,66,
,-,-,-,-,-,-,"2,000",167.10,180.70,"1,200","1,680.00",400,4.25,5.80,400,-8.60,5.45,31.91,50,-6,24,
,34,-8,38,-,155.20,49.65,"2,000",149.05,162.60,"1,200","1,700.00","4,400",6.50,6.90,"1,600",-11.20,6.80,30.92,"1,413",390,951,
,8,-,-,-,93.85,-,400,131.75,147.35,"1,200","1,720.00","12,000",7.85,9.85,400,-13.50,9.45,30.96,85,43,65,
,56,4,75,20.42,126.00,48.95,800,115.55,125.75,400,"1,740.00","12,000",10.65,13.20,400,-17.35,12.25,30.48,285,43,168,
,99,2,68,16.05,105.00,39.85,400,99.20,107.45,400,"1,760.00",400,14.30,20.65,400,-21.40,15.50,29.81,280,10,108,
,22,-15,50,18.06,88.85,33.55,"2,000",83.70,97.90,"1,200","1,780.00",400,18.75,26.95,400,-24.55,20.85,30.12,71,23,45,
,761,-40,"1,554",20.64,76.00,31.45,"2,800",69.95,79.90,400,"1,800.00",400,26.05,28.25,400,-28.45,27.80,30.74,893,220,389,
,75,-86,316,22.68,65.05,27.80,"6,400",57.65,72.15,400,"1,820.00","2,000",25.65,48.05,"1,200",-34.15,35.20,30.88,10,1,13,
,161,31,"1,129",24.01,55.00,24.90,400,51.00,56.05,400,"1,840.00","9,600",39.05,45.35,"1,200",-26.80,42.35,30.21,393,45,56,
,239,155,"2,912",24.05,44.35,19.85,400,40.05,44.30,400,"1,860.00",800,53.50,55.90,400,-24.65,53.50,31.18,391,74,75,
,147,136,"1,367",24.64,36.15,17.10,400,35.00,39.80,400,"1,880.00","2,000",59.35,70.00,400,22.05,65.60,32.03,51,14,14,
,295,-2,"2,856",25.46,29.70,13.90,"2,000",28.20,30.20,400,"1,900.00","1,600",72.25,81.50,400,-35.05,81.95,34.71,63,-,18,
,28,22,193,26.34,24.50,4.35,"12,000",20.65,30.00,"8,000","1,920.00","1,600",86.35,100.50,400,-21.55,95.00,34.99,5,-,5,
,32,24,84,27.37,20.50,7.40,400,17.30,20.50,400,"1,940.00","1,200",101.80,116.95,"2,000",-,-,-,-,-,-,
,121,93,357,27.76,16.35,7.50,400,12.80,19.30,"8,000","1,960.00",400,117.90,130.75,400,-,153.40,-,-,-,1,
,12,-5,10,28.44,13.35,7.40,400,10.05,24.35,400,"1,980.00","2,000",134.95,156.45,"4,000",-,-,-,-,-,-,
,295,19,"1,338",28.65,10.40,4.75,400,9.20,10.40,400,"2,000.00",800,151.95,166.45,"2,800",-44.05,158.00,38.25,3,1,13,
,48,43,164,28.71,7.90,0.40,400,7.80,9.90,"8,000","2,020.00","1,200",167.90,183.65,"2,800",-,-,-,-,-,-,
,64,64,98,29.28,6.35,-223.20,400,6.25,6.50,"2,000","2,040.00","1,200",187.80,202.00,"1,600",-,-,-,-,-,-,
,15,15,20,29.76,5.05,-113.70,400,5.00,5.10,"2,000","2,060.00","1,200",206.45,221.50,"4,800",-,-,-,-,-,-,
,1,-,-,-,13.75,-,800,2.50,9.70,"12,000","2,080.00","1,200",225.55,244.75,"1,200",-,-,-,-,-,-,
,234,-371,"1,512",31.39,3.55,1.10,800,3.55,3.60,400,"2,100.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"1,200",0.65,9.15,"12,000","2,120.00","2,800",264.25,280.50,"2,000",-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"2,140.00","1,600",280.15,299.50,"2,800",-,338.00,-,-,-,1,
,47,6,19,35.45,1.65,1.10,400,1.25,1.70,400,"2,200.00",-,-,-,-,-,-,-,-,-,-,-
