Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,080.00",400,0.65,8.25,"2,800",-1.15,1.25,46.93,2,-,44,
,-,-,-,-,-,-,"2,800",242.60,252.30,"1,200","1,100.00","12,000",1.8,3.5,"8,000",0.70,3.40,52.39,48,-30,134,
,-,-,-,-,-,-,"2,000",222.00,232.70,"2,800","1,120.00",400,2.9,3.25,400,-2.25,2.90,47.01,34,12,32,
,-,-,-,-,-,-,"2,000",202.80,213.95,"1,200","1,140.00",400,3.7,3.9,400,-,3.80,45.92,70,-38,30,
,11,-,-,-,172.70,-,"1,600",184.10,194.80,"2,000","1,160.00",400,4.4,4.8,400,0.05,4.95,44.82,22,-6,95,
,-,-,-,-,159.10,-,"2,800",163.15,177.50,"2,000","1,180.00",800,2.25,10.0,400,-2.15,6.10,43.13,7,1,25,
,28,1,3,-,146.25,-18.05,800,147.70,157.75,"1,600","1,200.00",400,6.05,9.0,800,-0.05,7.50,41.40,179,-32,192,
,19,-,1,38.82,135.60,17.40,800,129.25,141.15,800,"1,220.00",400,7.8,12.2,"8,000",0.10,9.60,40.17,725,19,124,
,26,-1,1,-,105.15,-20.65,800,111.60,122.85,400,"1,240.00",400,10.25,12.8,400,-0.35,11.90,38.53,178,49,242,
,65,1,5,38.07,103.05,-27.15,800,95.75,107.90,"2,000","1,260.00",800,13.15,19.5,"8,000",-0.45,15.15,37.30,140,-7,166,
,103,-,18,34.65,85.00,-12.10,800,80.40,89.75,400,"1,280.00",400,18.55,20.5,400,0.50,20.00,36.85,106,4,102,
,325,-2,114,35.68,72.55,-6.45,"4,000",64.95,72.50,400,"1,300.00",400,24.35,25.4,800,-0.55,24.50,35.12,256,3,302,
,390,-1,183,33.97,58.25,-7.35,800,54.20,61.00,400,"1,320.00",400,31.0,36.8,400,0.50,32.00,35.01,321,-41,353,
,478,65,446,34.25,47.70,-5.95,400,44.05,47.70,"1,200","1,340.00",800,36.1,45.15,"1,200",0.60,40.35,34.47,426,45,416,
,564,331,"2,262",33.31,37.05,-6.40,400,37.00,37.95,400,"1,360.00",800,49.15,55.45,"1,200",3.85,53.35,36.48,397,38,162,
,275,-15,332,33.25,28.95,-6.05,400,26.10,30.10,400,"1,380.00",800,58.4,67.2,400,1.85,62.45,34.35,60,3,75,
,853,-1,671,34.19,23.40,-4.25,400,22.60,24.00,800,"1,400.00","1,200",72.15,81.6,400,-,70.65,-,-,-,403,
,236,-31,327,33.88,17.55,-4.15,400,17.50,17.95,400,"1,420.00","1,200",86.15,99.15,"1,200",-,72.90,-,-,-,64,
,146,4,298,34.65,13.90,-2.70,400,12.65,17.35,"8,000","1,440.00",800,102.6,114.6,400,-0.90,107.75,36.75,15,6,15,
,136,9,186,34.95,10.60,-2.30,400,10.15,12.30,400,"1,460.00","1,200",118.95,129.1,400,-,110.55,-,-,-,5,
,182,24,112,35.15,7.95,-2.05,800,7.55,10.60,"8,400","1,480.00","1,600",135.9,146.0,"1,200",15.65,148.20,45.55,3,2,5,
,310,18,420,35.43,5.95,-1.65,400,5.75,6.50,400,"1,500.00",800,154.75,164.05,400,-,135.00,-,-,-,6,
,151,-8,57,36.06,4.60,-1.10,400,4.55,4.80,400,"1,520.00","1,600",173.55,183.45,"1,600",-16.75,167.25,-,2,-1,12,
,33,-1,30,37.56,2.85,-0.65,"12,000",2.10,3.20,400,"1,560.00","1,200",210.9,222.05,"2,000",-,-,-,-,-,-,
