Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"24,850",31.5,32.8,"10,650",105.0,-,-,0.15,"3,550",-,-,-,-,-,-,
,-,-,-,-,-,-,"24,850",26.7,28.05,"10,650",110.0,"10,650",0.10,0.35,"3,550",-,-,-,-,-,-,
,-,-,-,-,-,-,"42,600",24.1,25.7,"14,200",112.5,"74,550",0.05,0.60,"71,000",-,-,-,-,-,-,
,7,-,-,-,17.70,-0.20,"24,850",22.0,22.95,"14,200",115.0,"2,27,200",0.30,0.35,"88,750",-0.05,0.35,47.45,176,18,497,
,15,-,-,-,19.65,-,"24,850",19.55,20.6,"14,200",117.5,"10,650",0.40,0.50,"7,100",-0.10,0.45,45.36,48,34,122,
,42,6,6,37.25,17.80,-0.95,"3,550",17.65,18.35,"10,650",120.0,"35,500",0.65,0.75,"14,200",-0.10,0.70,45.50,126,16,444,
,34,3,3,55.33,16.80,0.35,"14,200",15.2,16.15,"3,550",122.5,"3,550",1.00,1.10,"7,100",-0.10,1.00,44.99,21,7,112,
,62,-2,15,40.55,13.60,-0.65,"7,100",13.4,13.8,"3,550",125.0,"10,650",1.25,1.45,"3,550",-0.15,1.40,44.51,127,-10,392,
,61,-,10,40.37,11.60,-0.30,"7,100",11.45,12.1,"3,550",127.5,"85,200",1.95,2.00,"17,750",-0.15,1.95,44.38,132,17,331,
,345,7,67,41.61,9.90,-0.20,"7,100",9.75,10.35,"10,650",130.0,"10,650",2.65,2.75,"14,200",-0.15,2.65,44.32,270,12,824,
,140,2,19,42.03,8.30,-0.30,"24,850",7.85,8.55,"3,550",132.5,"7,100",3.45,3.55,"7,100",-,3.60,45.02,103,12,377,
,370,-,217,41.78,6.80,-0.30,"7,100",6.8,7.05,"3,550",135.0,"17,750",4.45,4.60,"10,650",-0.15,4.50,43.94,270,-47,521,
,239,-10,250,41.71,5.50,-0.30,"10,650",5.4,5.8,"7,100",137.5,"3,550",5.70,5.75,"3,550",-0.05,5.80,44.68,247,-33,332,
,"1,326",51,913,41.40,4.35,-0.30,"3,550",4.4,4.45,"7,100",140.0,"3,550",7.00,7.30,"3,550",-0.10,7.15,44.50,175,-18,486,
,516,-19,190,42.10,3.50,-0.15,"14,200",3.4,3.85,"7,100",142.5,"3,550",8.55,9.30,"28,400",-0.10,8.70,44.62,29,-6,254,
,"1,283",-1,411,41.51,2.65,-0.25,"21,300",2.6,2.7,"7,100",145.0,"35,500",9.85,10.55,"3,550",-0.10,10.35,44.33,22,-6,374,
,282,2,135,42.74,2.15,-0.05,"3,550",2.0,2.1,"10,650",147.5,"3,550",11.75,12.45,"3,550",-0.05,12.25,-,-,-,66,
,"1,404",-17,494,41.35,1.50,-0.20,"49,700",1.45,1.55,"39,050",150.0,"3,550",13.80,14.35,"3,550",-0.05,14.15,44.59,9,-4,275,
,220,-40,76,41.88,1.15,-0.15,"17,750",1.05,1.15,"3,550",152.5,"3,550",15.80,16.70,"10,650",-0.10,16.25,45.13,3,1,37,
,569,18,250,42.01,0.85,-0.15,"56,800",0.8,0.9,"60,350",155.0,"24,850",18.00,18.65,"7,100",-0.05,18.50,46.60,6,3,126,
,124,-16,95,42.63,0.65,-0.15,"21,300",0.4,0.7,"17,750",157.5,"24,850",20.25,21.15,"14,200",0.05,20.90,49.50,4,1,17,
,976,77,355,43.32,0.50,-0.10,"63,900",0.5,0.55,"1,91,700",160.0,"17,750",22.65,23.45,"3,550",-,22.00,-,-,-,181,
,98,14,17,44.37,0.40,-0.05,"3,550",0.35,0.4,"7,100",162.5,"28,400",24.95,26.00,"14,200",-,22.30,-,-,-,7,
,215,4,40,44.77,0.30,-0.05,"67,450",0.3,0.35,"1,31,350",165.0,"17,750",27.40,28.40,"17,750",-,26.80,-,-,-,37,
,76,1,1,47.67,0.30,-,"39,050",0.2,0.65,"3,550",167.5,"10,650",29.85,31.15,"17,750",-,26.00,-,-,-,2,
,363,-,19,46.95,0.20,-0.05,"2,13,000",0.2,0.25,"3,19,500",170.0,"17,750",32.15,32.95,"3,550",-,33.60,-,-,-,244,
,1,-,-,-,1.85,-,"71,000",0.1,0.7,"17,750",172.5,-,-,-,-,-,-,-,-,-,-,-
,38,-,-,-,0.15,-,"2,76,900",0.1,0.15,"3,550",175.0,"17,750",37.15,38.05,"3,550",-,40.95,-,-,-,9,
,438,-,112,51.41,0.10,-0.05,"10,29,500",0.05,0.1,"1,91,700",180.0,"10,650",42.10,43.25,"3,550",-,43.45,-,-,-,448,
,205,-,2,51.05,0.05,-0.05,"99,400",0.05,0.1,"4,89,900",185.0,"14,200",47.05,47.75,"14,200",-,48.25,-,-,-,250,
