Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"99,000.00",100,43.05,-,-,-,331.30,-,-,-,3,
,6,6,10,32.18,"12,686.35","-11,098.45",20,"11,904.55","13,051.55",25,"1,02,000.00",210,148.90,487.00,5,-,-,-,-,-,-,
,6,6,17,29.43,"11,671.45","-17,852.45",15,"11,029.10","11,971.70",25,"1,03,000.00",50,227.60,450.00,105,-,-,-,-,-,-,
,8,-4,17,28.08,"10,705.05",-778.05,15,"10,043.25","10,977.55",25,"1,04,000.00",5,330.00,360.00,205,-166.00,330.10,30.07,"3,751",351,588,
,3,-,-,-,"10,100.00",-,35,"9,140.55","10,141.60",25,"1,05,000.00",20,310.35,510.00,5,-931.35,418.65,29.67,842,112,278,
,-,-,-,-,-,-,25,"8,384.75","9,904.75",25,"1,06,000.00",50,574.25,"1,204.85",15,-,-,-,-,-,-,
,-,-,-,-,-,-,15,"7,379.30","8,440.45",25,"1,07,000.00",25,544.20,800.00,5,-,-,-,-,-,-,
,-,-,-,-,-,-,15,"6,951.10","8,492.20",25,"1,07,500.00",25,651.80,"1,495.65",15,574.70,865.20,30.50,21,7,7,
,22,-4,13,28.67,"7,310.70",-689.30,50,"6,348.60","8,241.05",35,"1,08,000.00",10,474.60,"1,621.45",15,"-1,019.55",905.45,29.64,76,32,34,
,-,-,-,-,-,-,35,"5,882.45","7,888.20",25,"1,08,500.00",5,316.20,"1,862.20",15,-,-,-,-,-,-,
,-,-,-,-,-,-,20,"5,473.05","7,462.05",20,"1,09,000.00",10,480.35,"1,863.50",20,-,-,-,-,-,-,
,-,-,-,-,-,-,35,"5,344.30","6,972.30",20,"1,09,500.00",5,"1,031.00","1,850.05",20,-,-,-,-,-,-,
,48,23,331,26.24,"5,600.00",-968.85,30,"5,212.60","6,088.40",15,"1,10,000.00",10,"1,354.00","1,375.00",5,-138.65,"1,354.05",28.98,"8,475",608,823,
,4,4,16,17.40,"4,500.00","-12,822.70",15,"4,551.20","5,983.15",50,"1,10,500.00",10,"1,138.35","1,859.65",10,"1,234.10","1,533.95",29.28,50,11,11,
,61,61,664,27.62,"5,031.95","-10,869.05",15,"4,347.10","5,031.00",10,"1,11,000.00",25,"1,123.65","2,111.95",15,-478.35,"1,589.70",28.17,32,6,9,
,7,7,16,26.19,"4,564.50","-14,828.30",5,"4,524.70","5,315.30",15,"1,11,500.00",200,"1,369.20","2,414.20",20,-,-,-,-,-,-,
,46,37,"1,164",26.72,"4,299.50",-805.50,5,"4,226.10","4,300.00",5,"1,12,000.00",5,"1,976.30","2,000.00",5,-317.60,"1,975.80",28.45,805,106,121,
,11,11,147,25.56,"3,876.60","-15,824.90",5,"3,865.30","4,637.25",15,"1,12,500.00",10,"1,951.80","2,750.25",20,-,-,-,-,-,-,
