Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,23,-,-,-,38.55,-,"26,250",35.7,37.5,"11,250",160.0,"56,250",0.30,0.40,"3,750",-0.05,0.35,51.48,19,2,226,
,18,-,1,51.49,34.15,0.25,"3,750",31.1,32.8,"15,000",165.0,"11,250",0.50,0.65,"30,000",-0.10,0.60,50.69,47,6,131,
,27,1,5,-,27.25,-1.90,"30,000",26.4,27.95,"3,750",170.0,"7,500",0.90,1.00,"7,500",-0.10,0.95,49.39,94,20,267,
,29,-4,8,-,22.2,-1.80,"7,500",22.35,23.5,"3,750",175.0,"11,250",1.45,1.55,"11,250",0.05,1.50,48.47,124,14,143,
,50,-33,99,25.50,18.85,-1.75,"11,250",17.4,19.4,"3,750",180.0,"22,500",2.30,2.40,"3,750",-0.10,2.35,48.06,282,29,297,
,41,-8,65,31.50,14.95,-1.65,"3,750",14.4,15.6,"3,750",185.0,"3,750",3.45,3.60,"7,500",0.10,3.65,48.49,261,22,172,
,583,-21,198,35.35,11.75,-1.30,"3,750",10.85,12.05,"3,750",190.0,"3,750",4.50,5.15,"3,750",0.10,5.20,47.96,529,41,598,
,499,31,434,36.61,8.85,-1.20,"3,750",8.35,9.1,"3,750",195.0,"3,750",7.25,7.70,"7,500",0.20,7.25,47.92,525,-24,381,
,955,48,"1,208",37.06,6.4,-1.20,"3,750",6.25,6.55,"7,500",200.0,"3,750",9.35,10.30,"3,750",0.30,9.80,48.21,334,-14,547,
,439,42,557,38.90,4.75,-0.75,"3,750",4.65,4.75,"3,750",205.0,"30,000",12.30,13.50,"3,750",0.50,12.95,49.45,95,-4,163,
,484,-44,648,39.01,3.25,-0.65,"3,750",3.25,3.3,"7,500",210.0,"18,750",15.90,17.10,"3,750",0.95,16.65,51.73,51,1,227,
,275,34,252,39.43,2.2,-0.50,"3,750",2.2,2.3,"7,500",215.0,"3,750",20.05,21.05,"7,500",1.30,20.55,53.52,9,5,123,
,925,54,432,40.65,1.55,-0.35,"18,750",1.5,1.55,"7,500",220.0,"15,000",24.10,26.15,"18,750",1.30,24.80,56.10,15,-,306,
,377,4,317,39.70,0.9,-0.35,"7,500",0.9,1.0,"7,500",225.0,"15,000",28.45,30.10,"7,500",1.65,30.00,64.31,1,-,25,
,305,-16,139,41.30,0.65,-0.20,"18,750",0.6,0.7,"18,750",230.0,"3,750",33.25,34.70,"7,500",1.55,34.15,64.49,10,-1,180,
,90,36,54,43.31,0.5,-0.10,"7,500",0.45,0.6,"3,750",235.0,"15,000",37.95,39.70,"11,250",2.40,39.65,74.34,5,-2,16,
,195,12,25,44.34,0.35,-0.10,"37,500",0.3,0.4,"26,250",240.0,"15,000",42.80,44.25,"3,750",2.55,42.50,60.60,1,-1,50,
,141,3,16,47.31,0.2,-,"2,62,500",0.15,0.2,"7,500",250.0,"3,750",53.00,54.30,"15,000",-,56.60,-,-,-,28,
,16,-,-,-,0.25,-,"3,750",0.1,0.25,"37,500",255.0,-,-,-,-,-,-,-,-,-,-,-
,44,-,1,48.96,0.1,-,"2,77,500",0.05,0.15,"37,500",260.0,-,-,-,-,-,-,-,-,-,-,-
