Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"1,125","2,370.70","2,645.70","1,125","21,100.00",-,-,0.05,"9,42,675",-0.30,0.05,62.09,"3,73,702","-23,929","65,355",
,-,-,-,-,-,-,"1,125","2,337.65","2,597.95","1,125","21,150.00",-,-,0.05,"18,600",-0.25,0.05,60.87,"33,580","-2,481","12,886",
,-,-,-,-,-,-,"1,125","2,206.70","2,550.35","1,125","21,200.00",-,-,0.05,"41,175",-0.30,0.05,59.65,"68,973","-6,677","21,390",
,-,-,-,-,-,-,"1,125","2,226.30","2,494.90","1,125","21,250.00",-,-,0.05,"6,750",-0.30,0.05,58.43,"27,828",-33,"11,176",
,2,1,1,132.10,"2,355.75",-97.35,75,"2,192.30","2,443.75","1,125","21,300.00",-,-,0.05,"1,800",-0.35,0.05,57.21,"36,179","-1,463","20,266",
,4,-,-,-,"2,420.35",-,"1,200","2,141.65","2,391.75","1,125","21,350.00",-,-,0.05,"8,100",-0.25,0.05,55.99,"14,305","1,634","5,057",
,1,-,-,-,"2,353.40",-,"1,200","2,080.95","2,345.15","1,125","21,400.00",-,-,0.05,"1,275",-0.35,0.05,54.77,"32,372","-2,579","5,434",
,-,-,-,-,-,-,"1,125","2,032.30","2,289.70","1,125","21,450.00",-,-,0.05,"2,175",-0.25,0.05,53.55,"6,974",751,"2,509",
,20,-19,43,-,"2,095.00",-89.20,225,"2,099.50","2,106.70",225,"21,500.00",-,-,0.05,"57,150",-0.35,0.05,52.34,"82,041","-10,988","25,406",
,1,-,-,-,"1,789.75",-,"1,125","1,936.20","2,191.05","1,125","21,550.00",-,-,0.10,"15,225",-0.30,0.05,51.13,"10,477",-879,"1,959",
,3,-,1,-,"1,996.00",-129.00,"1,725","1,901.50","2,141.65","1,125","21,600.00",-,-,0.05,"27,075",-0.30,0.05,49.91,"25,116","-1,697","4,824",
,-,-,-,-,-,-,"1,125","1,840.25","2,090.15","1,125","21,650.00",-,-,0.05,"14,625",-0.35,0.05,48.70,"5,922",846,"2,412",
,1,-,-,-,"2,033.70",-,"1,125","1,792.40","2,041.10","1,125","21,700.00",-,-,0.05,"8,550",-0.35,0.05,47.49,"21,171",-696,"5,907",
,1,-,-,-,"1,731.20",-,"1,125","1,744.25","1,990.15","1,125","21,750.00",-,-,0.05,"3,900",-0.35,0.05,46.28,"7,081",-253,"1,830",
,-,-,-,-,-,-,"1,125","1,696.40","2,047.35","1,125","21,800.00",-,-,0.05,"25,350",-0.40,0.05,45.08,"20,984","-2,696","7,826",
,-,-,-,-,-,-,"1,125","1,648.60","1,983.20","1,125","21,850.00",-,-,0.05,"1,125",-0.40,0.05,43.87,"5,940",78,"2,556",
